reward,steps,rooms,charges,full_coverage,time_in_C,min_battery
14.0,50,3,12,1,0.7,100
14.0,50,3,12,1,0.58,100
14.0,50,3,14,1,0.54,100
14.0,50,3,12,1,0.62,100
14.0,50,3,13,1,0.58,100
14.0,50,3,14,1,0.54,100
13.0,50,3,15,1,0.52,100
14.0,50,3,13,1,0.6,100
14.0,50,3,14,1,0.58,100
14.0,50,3,11,1,0.62,100
13.0,50,3,14,1,0.54,100
13.0,50,3,14,1,0.54,100
14.0,50,3,15,1,0.62,100
14.0,50,3,15,1,0.52,100
14.0,50,3,13,1,0.62,100
14.0,50,3,15,1,0.62,100
13.0,50,3,13,1,0.56,100
14.0,50,3,11,1,0.66,100
14.0,50,3,12,1,0.62,100
14.0,50,3,12,1,0.6,100
13.0,50,3,14,1,0.58,100
14.0,50,3,15,1,0.6,100
14.0,50,3,11,1,0.7,100
14.0,50,3,15,1,0.52,100
14.0,50,3,14,1,0.64,100
14.0,50,3,15,1,0.56,100
14.0,50,3,13,1,0.66,100
14.0,50,3,14,1,0.58,100
14.0,50,3,15,1,0.54,100
14.0,50,3,15,1,0.56,100
14.0,50,3,13,1,0.68,100
14.0,50,3,13,1,0.6,100
14.0,50,3,14,1,0.62,100
14.0,50,3,14,1,0.62,100
14.0,50,3,13,1,0.56,100
14.0,50,3,15,1,0.5,100
14.0,50,3,13,1,0.58,100
14.0,50,3,14,1,0.56,100
14.0,50,3,13,1,0.64,100
14.0,50,3,12,1,0.66,100
14.0,50,3,12,1,0.64,100
14.0,50,3,12,1,0.64,100
14.0,50,3,13,1,0.62,100
14.0,50,3,14,1,0.58,100
14.0,50,3,15,1,0.6,100
14.0,50,3,12,1,0.64,100
14.0,50,3,15,1,0.58,100
14.0,50,3,14,1,0.56,100
14.0,50,3,12,1,0.62,100
14.0,50,3,14,1,0.58,100
14.0,50,3,13,1,0.56,100
14.0,50,3,13,1,0.66,100
14.0,50,3,13,1,0.62,100
14.0,50,3,14,1,0.64,100
14.0,50,3,14,1,0.58,100
13.0,50,3,13,1,0.54,100
14.0,50,3,13,1,0.58,100
14.0,50,3,13,1,0.56,100
14.0,50,3,13,1,0.56,100
13.0,50,3,13,1,0.54,100
14.0,50,3,13,1,0.56,100
14.0,50,3,14,1,0.64,100
14.0,50,3,11,1,0.54,100
14.0,50,3,16,1,0.58,100
14.0,50,3,14,1,0.6,100
14.0,50,3,13,1,0.58,100
14.0,50,3,14,1,0.6,100
14.0,50,3,14,1,0.58,100
14.0,50,3,12,1,0.6,100
14.0,50,3,12,1,0.62,100
14.0,50,3,12,1,0.58,100
14.0,50,3,14,1,0.64,100
14.0,50,3,15,1,0.52,100
13.0,50,3,12,1,0.62,100
14.0,50,3,13,1,0.56,100
14.0,50,3,12,1,0.54,100
14.0,50,3,13,1,0.58,100
13.0,50,3,13,1,0.58,100
14.0,50,3,14,1,0.6,100
14.0,50,3,15,1,0.54,100
14.0,50,3,11,1,0.62,100
