reward,steps,rooms,charges,full_coverage,time_in_C,min_battery
16.0,50,2,10,0,0.72,100
16.0,50,2,10,0,0.74,100
16.0,50,2,10,0,0.64,100
16.0,50,2,9,0,0.72,100
16.0,50,2,12,0,0.72,100
16.0,50,2,9,0,0.74,100
16.0,50,2,10,0,0.66,100
16.0,50,2,7,0,0.82,100
16.0,50,2,11,0,0.72,100
16.0,50,2,9,0,0.78,100
16.0,50,2,13,0,0.68,100
16.0,50,2,11,0,0.7,100
16.0,50,2,12,0,0.64,100
16.0,50,2,11,0,0.52,100
16.0,50,2,9,0,0.78,100
16.0,50,2,11,0,0.68,100
16.0,50,2,13,0,0.72,100
16.0,50,2,10,0,0.62,100
16.0,50,2,9,0,0.66,100
16.0,50,2,10,0,0.7,100
16.0,50,2,8,0,0.7,100
16.0,50,2,10,0,0.62,100
16.0,50,2,13,0,0.72,100
16.0,50,2,11,0,0.66,100
16.0,50,2,11,0,0.6,100
16.0,50,2,10,0,0.64,100
16.0,50,2,12,0,0.64,100
16.0,50,2,12,0,0.6,100
16.0,50,2,11,0,0.68,100
16.0,50,2,10,0,0.6,100
16.0,50,2,9,0,0.72,100
16.0,50,2,12,0,0.68,100
16.0,50,2,11,0,0.58,100
16.0,50,2,9,0,0.64,100
16.0,50,2,10,0,0.76,100
16.0,50,2,12,0,0.68,100
16.0,50,2,11,0,0.64,100
16.0,50,2,9,0,0.76,100
16.0,50,2,13,0,0.72,100
16.0,50,2,11,0,0.74,100
16.0,50,2,12,0,0.72,100
16.0,50,2,8,0,0.76,100
16.0,50,2,11,0,0.68,100
16.0,50,2,12,0,0.58,100
16.0,50,2,10,0,0.68,100
16.0,50,2,11,0,0.6,100
16.0,50,2,9,0,0.78,100
16.0,50,2,11,0,0.7,100
16.0,50,2,10,0,0.66,100
16.0,50,2,9,0,0.66,100
16.0,50,2,12,0,0.68,100
16.0,50,2,11,0,0.74,100
16.0,50,2,12,0,0.74,100
16.0,50,2,11,0,0.64,100
16.0,50,2,9,0,0.7,100
16.0,50,2,11,0,0.7,100
16.0,50,2,9,0,0.74,100
16.0,50,2,9,0,0.74,100
16.0,50,2,9,0,0.68,100
16.0,50,2,9,0,0.7,100
16.0,50,2,13,0,0.72,100
16.0,50,2,13,0,0.68,100
16.0,50,2,9,0,0.7,100
16.0,50,2,9,0,0.76,100
16.0,50,2,12,0,0.62,100
16.0,50,2,10,0,0.76,100
16.0,50,2,12,0,0.62,100
16.0,50,2,12,0,0.68,100
16.0,50,2,12,0,0.64,100
16.0,50,2,9,0,0.7,100
16.0,50,2,9,0,0.6,100
16.0,50,2,10,0,0.76,100
16.0,50,2,11,0,0.56,100
16.0,50,2,13,0,0.62,100
16.0,50,2,10,0,0.64,100
16.0,50,2,10,0,0.72,100
16.0,50,2,11,0,0.74,100
16.0,50,2,10,0,0.66,100
16.0,50,2,12,0,0.74,100
16.0,50,2,11,0,0.76,100
16.0,50,2,11,0,0.74,100
16.0,50,2,11,0,0.7,100
16.0,50,2,10,0,0.76,100
16.0,50,2,11,0,0.66,100
16.0,50,2,10,0,0.74,100
16.0,50,2,10,0,0.68,100
16.0,50,2,13,0,0.66,100
16.0,50,2,12,0,0.68,100
16.0,50,2,12,0,0.7,100
16.0,50,2,10,0,0.76,100
16.0,50,2,13,0,0.72,100
16.0,50,2,14,0,0.72,100
16.0,50,2,13,0,0.72,100
16.0,50,2,12,0,0.66,100
16.0,50,2,12,0,0.7,100
16.0,50,2,12,0,0.7,100
16.0,50,2,13,0,0.62,100
16.0,50,2,10,0,0.76,100
16.0,50,2,11,0,0.78,100
16.0,50,2,12,0,0.72,100
16.0,50,2,11,0,0.72,100
16.0,50,2,13,0,0.7,100
16.0,50,2,10,0,0.72,100
16.0,50,2,13,0,0.7,100
16.0,50,2,13,0,0.68,100
16.0,50,2,10,0,0.78,100
16.0,50,2,15,0,0.68,100
16.0,50,2,13,0,0.7,100
16.0,50,2,11,0,0.72,100
16.0,50,2,14,0,0.68,100
16.0,50,2,14,0,0.66,100
16.0,50,2,13,0,0.7,100
16.0,50,2,13,0,0.68,100
16.0,50,2,12,0,0.76,100
16.0,50,2,13,0,0.76,100
16.0,50,2,14,0,0.7,100
16.0,50,2,10,0,0.72,100
16.0,50,2,10,0,0.74,100
16.0,50,2,14,0,0.66,100
16.0,50,2,13,0,0.68,100
16.0,50,2,12,0,0.74,100
16.0,50,2,14,0,0.64,100
16.0,50,2,13,0,0.7,100
16.0,50,2,13,0,0.72,100
16.0,50,2,13,0,0.68,100
16.0,50,2,12,0,0.76,100
16.0,50,2,11,0,0.8,100
16.0,50,2,13,0,0.68,100
16.0,50,2,9,0,0.82,100
16.0,50,2,11,0,0.7,100
16.0,50,2,13,0,0.66,100
16.0,50,2,12,0,0.72,100
16.0,50,2,12,0,0.7,100
16.0,50,2,9,0,0.7,100
16.0,50,2,12,0,0.74,100
16.0,50,2,14,0,0.68,100
16.0,50,2,13,0,0.66,100
16.0,50,2,12,0,0.68,100
16.0,50,2,10,0,0.74,100
16.0,50,2,13,0,0.7,100
16.0,50,2,14,0,0.64,100
