episode,reward,reward_per_step,steps,rooms,charges,full_coverage,full_coverage_step,time_in_C,time_out_C,min_battery,hab1_visits,hab2_visits,hab3_visits,room_std,room_spread,recharge_battery_mean,recharge_battery_min,recharge_battery_max,recharge_battery_std,first_recharge_step,recharge_gap_mean,recharge_gap_min,recharge_gap_max,recharge_from_hab1,recharge_from_hab2,recharge_from_hab3,recharge_from_other
1,16.0,0.32,50,2,14,0,,0.66,0.33999999999999997,100,0,5,12,4.921607971191406,12.0,100.0,100.0,100.0,0.0,1,3.3846153846153846,2.0,13.0,0,3,10,1
2,16.0,0.32,50,2,14,0,,0.66,0.33999999999999997,100,0,5,12,4.921607971191406,12.0,100.0,100.0,100.0,0.0,1,3.230769230769231,2.0,13.0,0,5,8,1
3,16.0,0.32,50,2,13,0,,0.64,0.36,100,0,4,14,5.887840747833252,14.0,100.0,100.0,100.0,0.0,1,3.6666666666666665,2.0,14.0,0,4,8,1
4,16.0,0.32,50,2,9,0,,0.6,0.4,100,0,6,14,5.734883785247803,14.0,100.0,100.0,100.0,0.0,1,6.0,2.0,13.0,0,2,6,1
5,16.0,0.32,50,2,8,0,,0.8,0.19999999999999996,100,0,5,5,2.357022762298584,5.0,100.0,100.0,100.0,0.0,1,5.142857142857143,2.0,13.0,0,4,3,1
6,16.0,0.32,50,2,11,0,,0.66,0.33999999999999997,100,0,6,11,4.496912479400635,11.0,100.0,100.0,100.0,0.0,1,4.4,2.0,15.0,0,3,7,1
7,16.0,0.32,50,2,11,0,,0.68,0.31999999999999995,100,0,4,12,4.988876819610596,12.0,100.0,100.0,100.0,0.0,1,4.1,2.0,14.0,0,3,7,1
8,16.0,0.32,50,2,12,0,,0.68,0.31999999999999995,100,0,4,12,4.988876819610596,12.0,100.0,100.0,100.0,0.0,1,4.0,2.0,14.0,0,2,9,1
9,16.0,0.32,50,2,11,0,,0.74,0.26,100,0,3,10,4.189935207366943,10.0,100.0,100.0,100.0,0.0,1,3.9,2.0,14.0,0,2,8,1
10,16.0,0.32,50,2,11,0,,0.62,0.38,100,0,4,15,6.342098712921143,15.0,100.0,100.0,100.0,0.0,1,4.7,3.0,13.0,0,2,8,1
11,16.0,0.32,50,2,12,0,,0.64,0.36,100,0,5,13,5.3541259765625,13.0,100.0,100.0,100.0,0.0,1,3.909090909090909,2.0,13.0,0,2,9,1
12,16.0,0.32,50,2,12,0,,0.62,0.38,100,0,5,14,5.792716026306152,14.0,100.0,100.0,100.0,0.0,1,4.2727272727272725,2.0,14.0,0,3,8,1
13,16.0,0.32,50,2,11,0,,0.74,0.26,100,0,2,11,4.784233093261719,11.0,100.0,100.0,100.0,0.0,1,4.5,2.0,14.0,0,2,8,1
14,16.0,0.32,50,2,10,0,,0.76,0.24,100,0,4,8,3.265986442565918,8.0,100.0,100.0,100.0,0.0,1,5.0,2.0,14.0,0,3,6,1
15,16.0,0.32,50,2,9,0,,0.76,0.24,100,0,4,8,3.265986442565918,8.0,100.0,100.0,100.0,0.0,1,5.5,2.0,13.0,0,3,5,1
16,16.0,0.32,50,2,12,0,,0.68,0.31999999999999995,100,0,5,11,4.496912479400635,11.0,100.0,100.0,100.0,0.0,1,4.0,2.0,14.0,0,3,8,1
17,16.0,0.32,50,2,12,0,,0.7,0.30000000000000004,100,0,5,10,4.082482814788818,10.0,100.0,100.0,100.0,0.0,1,4.2727272727272725,2.0,14.0,0,2,9,1
18,16.0,0.32,50,2,13,0,,0.64,0.36,100,0,5,13,5.3541259765625,13.0,100.0,100.0,100.0,0.0,1,3.6666666666666665,2.0,14.0,0,3,9,1
19,16.0,0.32,50,2,10,0,,0.72,0.28,100,0,6,8,3.399346351623535,8.0,100.0,100.0,100.0,0.0,1,5.0,2.0,13.0,0,4,5,1
20,16.0,0.32,50,2,10,0,,0.7,0.30000000000000004,100,0,4,11,4.546060562133789,11.0,100.0,100.0,100.0,0.0,1,4.333333333333333,2.0,13.0,0,3,6,1
21,16.0,0.32,50,2,10,0,,0.7,0.30000000000000004,100,0,6,9,3.7416574954986572,9.0,100.0,100.0,100.0,0.0,1,4.888888888888889,2.0,14.0,0,2,7,1
22,16.0,0.32,50,2,12,0,,0.66,0.33999999999999997,100,0,5,12,4.921607971191406,12.0,100.0,100.0,100.0,0.0,1,4.090909090909091,2.0,13.0,0,4,7,1
23,16.0,0.32,50,2,10,0,,0.78,0.21999999999999997,100,0,3,8,3.2998316287994385,8.0,100.0,100.0,100.0,0.0,1,5.333333333333333,2.0,16.0,0,3,6,1
24,16.0,0.32,50,2,13,0,,0.66,0.33999999999999997,100,0,5,12,4.921607971191406,12.0,100.0,100.0,100.0,0.0,1,3.9166666666666665,2.0,13.0,0,4,8,1
25,16.0,0.32,50,2,10,0,,0.74,0.26,100,0,3,10,4.189935207366943,10.0,100.0,100.0,100.0,0.0,1,5.0,2.0,14.0,0,2,7,1
26,16.0,0.32,50,2,10,0,,0.6,0.4,100,0,3,17,7.4087042808532715,17.0,100.0,100.0,100.0,0.0,1,4.777777777777778,2.0,14.0,0,3,6,1
27,16.0,0.32,50,2,10,0,,0.6,0.4,100,0,6,14,5.734883785247803,14.0,100.0,100.0,100.0,0.0,1,4.888888888888889,2.0,13.0,0,2,7,1
28,16.0,0.32,50,2,12,0,,0.68,0.31999999999999995,100,0,5,11,4.496912479400635,11.0,100.0,100.0,100.0,0.0,1,4.2727272727272725,2.0,13.0,0,3,8,1
29,16.0,0.32,50,2,10,0,,0.72,0.28,100,0,5,9,3.6817867755889893,9.0,100.0,100.0,100.0,0.0,1,4.555555555555555,2.0,15.0,0,3,6,1
30,16.0,0.32,50,2,10,0,,0.76,0.24,100,0,5,7,2.943920373916626,7.0,100.0,100.0,100.0,0.0,1,4.555555555555555,2.0,14.0,0,4,5,1
31,16.0,0.32,50,2,12,0,,0.68,0.31999999999999995,100,0,7,9,3.858612298965454,9.0,100.0,100.0,100.0,0.0,1,4.0,2.0,14.0,0,4,7,1
32,16.0,0.32,50,2,11,0,,0.66,0.33999999999999997,100,0,6,11,4.496912479400635,11.0,100.0,100.0,100.0,0.0,1,4.5,2.0,15.0,0,3,7,1
33,16.0,0.32,50,2,12,0,,0.6,0.4,100,0,5,15,6.236095905303955,15.0,100.0,100.0,100.0,0.0,1,4.363636363636363,2.0,15.0,0,3,8,1
34,16.0,0.32,50,2,9,0,,0.7,0.30000000000000004,100,0,8,7,3.5590262413024902,8.0,100.0,100.0,100.0,0.0,1,4.75,2.0,13.0,0,2,6,1
35,16.0,0.32,50,2,11,0,,0.78,0.21999999999999997,100,0,4,7,2.8674418926239014,7.0,100.0,100.0,100.0,0.0,1,4.2,2.0,13.0,0,4,6,1
36,16.0,0.32,50,2,11,0,,0.68,0.31999999999999995,100,0,4,12,4.988876819610596,12.0,100.0,100.0,100.0,0.0,1,4.3,2.0,13.0,0,2,8,1
37,16.0,0.32,50,2,11,0,,0.78,0.21999999999999997,100,0,3,8,3.2998316287994385,8.0,100.0,100.0,100.0,0.0,1,4.4,2.0,14.0,0,3,7,1
38,16.0,0.32,50,2,10,0,,0.78,0.21999999999999997,100,0,4,7,2.8674418926239014,7.0,100.0,100.0,100.0,0.0,1,4.888888888888889,3.0,14.0,0,2,7,1
39,16.0,0.32,50,2,12,0,,0.62,0.38,100,0,7,12,4.921607971191406,12.0,100.0,100.0,100.0,0.0,1,4.090909090909091,2.0,13.0,0,3,8,1
40,16.0,0.32,50,2,14,0,,0.68,0.31999999999999995,100,0,3,13,5.557777404785156,13.0,100.0,100.0,100.0,0.0,1,3.6153846153846154,2.0,13.0,0,3,10,1
41,16.0,0.32,50,2,13,0,,0.7,0.30000000000000004,100,0,5,10,4.082482814788818,10.0,100.0,100.0,100.0,0.0,1,3.5833333333333335,2.0,13.0,0,4,8,1
42,16.0,0.32,50,2,11,0,,0.76,0.24,100,0,5,7,2.943920373916626,7.0,100.0,100.0,100.0,0.0,1,4.1,2.0,14.0,0,4,6,1
43,16.0,0.32,50,2,11,0,,0.66,0.33999999999999997,100,0,5,12,4.921607971191406,12.0,100.0,100.0,100.0,0.0,1,4.1,2.0,13.0,0,3,7,1
44,16.0,0.32,50,2,12,0,,0.7,0.30000000000000004,100,0,4,11,4.546060562133789,11.0,100.0,100.0,100.0,0.0,1,4.0,2.0,13.0,0,3,8,1
45,16.0,0.32,50,2,10,0,,0.62,0.38,100,0,6,13,5.312459468841553,13.0,100.0,100.0,100.0,0.0,1,5.333333333333333,2.0,14.0,0,2,7,1
46,16.0,0.32,50,2,11,0,,0.78,0.21999999999999997,100,0,4,7,2.8674418926239014,7.0,100.0,100.0,100.0,0.0,1,4.7,2.0,13.0,0,3,7,1
47,16.0,0.32,50,2,12,0,,0.68,0.31999999999999995,100,0,4,12,4.988876819610596,12.0,100.0,100.0,100.0,0.0,1,3.727272727272727,2.0,13.0,0,4,7,1
48,16.0,0.32,50,2,10,0,,0.76,0.24,100,0,4,8,3.265986442565918,8.0,100.0,100.0,100.0,0.0,1,5.0,2.0,13.0,0,4,5,1
49,16.0,0.32,50,2,13,0,,0.64,0.36,100,0,4,14,5.887840747833252,14.0,100.0,100.0,100.0,0.0,1,3.6666666666666665,2.0,13.0,0,4,8,1
50,16.0,0.32,50,2,13,0,,0.62,0.38,100,0,4,15,6.342098712921143,15.0,100.0,100.0,100.0,0.0,1,4.0,2.0,15.0,0,2,10,1
51,16.0,0.32,50,2,14,0,,0.64,0.36,100,0,3,15,6.480740547180176,15.0,100.0,100.0,100.0,0.0,1,3.6153846153846154,2.0,13.0,0,3,10,1
52,16.0,0.32,50,2,12,0,,0.68,0.31999999999999995,100,0,4,12,4.988876819610596,12.0,100.0,100.0,100.0,0.0,1,4.0,2.0,14.0,0,4,7,1
53,16.0,0.32,50,2,12,0,,0.64,0.36,100,0,5,13,5.3541259765625,13.0,100.0,100.0,100.0,0.0,1,4.0,2.0,13.0,0,2,9,1
54,16.0,0.32,50,2,14,0,,0.64,0.36,100,0,2,16,7.1180524826049805,16.0,100.0,100.0,100.0,0.0,1,3.6923076923076925,2.0,13.0,0,2,11,1
55,16.0,0.32,50,2,12,0,,0.7,0.30000000000000004,100,0,7,8,3.5590262413024902,8.0,100.0,100.0,100.0,0.0,1,3.8181818181818183,2.0,13.0,0,5,6,1
56,16.0,0.32,50,2,10,0,,0.58,0.42000000000000004,100,0,6,15,6.164413928985596,15.0,100.0,100.0,100.0,0.0,1,5.333333333333333,2.0,14.0,0,2,7,1
57,16.0,0.32,50,2,11,0,,0.58,0.42000000000000004,100,0,6,15,6.164413928985596,15.0,100.0,100.0,100.0,0.0,1,4.3,2.0,14.0,0,4,6,1
58,16.0,0.32,50,2,12,0,,0.62,0.38,100,0,7,12,4.921607971191406,12.0,100.0,100.0,100.0,0.0,1,4.0,2.0,13.0,0,5,6,1
59,16.0,0.32,50,2,15,0,,0.64,0.36,100,0,4,14,5.887840747833252,14.0,100.0,100.0,100.0,0.0,1,3.357142857142857,2.0,13.0,0,3,11,1
60,16.0,0.32,50,2,12,0,,0.62,0.38,100,0,5,14,5.792716026306152,14.0,100.0,100.0,100.0,0.0,1,4.2727272727272725,2.0,14.0,0,3,8,1
61,16.0,0.32,50,2,12,0,,0.72,0.28,100,0,4,10,4.109609603881836,10.0,100.0,100.0,100.0,0.0,1,4.0,2.0,14.0,0,3,8,1
62,16.0,0.32,50,2,11,0,,0.78,0.21999999999999997,100,0,3,8,3.2998316287994385,8.0,100.0,100.0,100.0,0.0,1,4.4,2.0,14.0,0,3,7,1
63,16.0,0.32,50,2,13,0,,0.7,0.30000000000000004,100,0,3,12,5.099019527435303,12.0,100.0,100.0,100.0,0.0,1,3.9166666666666665,2.0,13.0,0,3,9,1
64,16.0,0.32,50,2,12,0,,0.76,0.24,100,0,3,9,3.7416574954986572,9.0,100.0,100.0,100.0,0.0,1,4.0,2.0,14.0,0,3,8,1
65,16.0,0.32,50,2,13,0,,0.62,0.38,100,0,7,12,4.921607971191406,12.0,100.0,100.0,100.0,0.0,1,3.75,2.0,13.0,0,5,7,1
66,16.0,0.32,50,2,14,0,,0.64,0.36,100,0,4,14,5.887840747833252,14.0,100.0,100.0,100.0,0.0,1,3.6923076923076925,2.0,13.0,0,3,10,1
67,16.0,0.32,50,2,10,0,,0.66,0.33999999999999997,100,0,8,9,4.027682304382324,9.0,100.0,100.0,100.0,0.0,1,4.888888888888889,2.0,13.0,0,3,6,1
68,16.0,0.32,50,2,14,0,,0.64,0.36,100,0,7,11,4.546060562133789,11.0,100.0,100.0,100.0,0.0,1,3.4615384615384617,2.0,14.0,0,4,9,1
69,16.0,0.32,50,2,11,0,,0.72,0.28,100,0,5,9,3.6817867755889893,9.0,100.0,100.0,100.0,0.0,1,4.4,2.0,13.0,0,4,6,1
70,16.0,0.32,50,2,11,0,,0.72,0.28,100,0,4,10,4.109609603881836,10.0,100.0,100.0,100.0,0.0,1,4.1,2.0,14.0,0,3,7,1
71,16.0,0.32,50,2,13,0,,0.66,0.33999999999999997,100,0,4,13,5.436502456665039,13.0,100.0,100.0,100.0,0.0,1,3.8333333333333335,2.0,13.0,0,4,8,1
72,16.0,0.32,50,2,12,0,,0.64,0.36,100,0,5,13,5.3541259765625,13.0,100.0,100.0,100.0,0.0,1,4.090909090909091,2.0,13.0,0,4,7,1
73,16.0,0.32,50,2,13,0,,0.72,0.28,100,0,5,9,3.6817867755889893,9.0,100.0,100.0,100.0,0.0,1,3.6666666666666665,2.0,13.0,0,5,7,1
74,16.0,0.32,50,2,13,0,,0.68,0.31999999999999995,100,0,5,11,4.496912479400635,11.0,100.0,100.0,100.0,0.0,1,3.6666666666666665,2.0,13.0,0,5,7,1
75,16.0,0.32,50,2,8,0,,0.78,0.21999999999999997,100,0,5,6,2.624669313430786,6.0,100.0,100.0,100.0,0.0,1,6.428571428571429,2.0,15.0,0,4,3,1
76,16.0,0.32,50,2,9,0,,0.66,0.33999999999999997,100,0,6,11,4.496912479400635,11.0,100.0,100.0,100.0,0.0,1,5.625,3.0,14.0,0,3,5,1
77,16.0,0.32,50,2,11,0,,0.74,0.26,100,0,5,8,3.2998316287994385,8.0,100.0,100.0,100.0,0.0,1,3.9,2.0,14.0,0,4,6,1
78,16.0,0.32,50,2,11,0,,0.64,0.36,100,0,5,13,5.3541259765625,13.0,100.0,100.0,100.0,0.0,1,4.4,2.0,13.0,0,3,7,1
79,16.0,0.32,50,2,12,0,,0.62,0.38,100,0,5,14,5.792716026306152,14.0,100.0,100.0,100.0,0.0,1,4.2727272727272725,2.0,14.0,0,3,8,1
80,16.0,0.32,50,2,11,0,,0.66,0.33999999999999997,100,0,4,13,5.436502456665039,13.0,100.0,100.0,100.0,0.0,1,4.7,2.0,15.0,0,1,9,1
81,16.0,0.32,50,2,13,0,,0.66,0.33999999999999997,100,0,4,13,5.436502456665039,13.0,100.0,100.0,100.0,0.0,1,4.0,2.0,13.0,0,4,8,1
82,16.0,0.32,50,2,10,0,,0.64,0.36,100,0,6,12,4.898979663848877,12.0,100.0,100.0,100.0,0.0,1,4.888888888888889,2.0,15.0,0,2,7,1
83,16.0,0.32,50,2,12,0,,0.72,0.28,100,0,4,10,4.109609603881836,10.0,100.0,100.0,100.0,0.0,1,4.2727272727272725,2.0,13.0,0,4,7,1
84,16.0,0.32,50,2,14,0,,0.62,0.38,100,0,4,15,6.342098712921143,15.0,100.0,100.0,100.0,0.0,1,3.6153846153846154,2.0,15.0,0,2,11,1
85,16.0,0.32,50,2,13,0,,0.6,0.4,100,0,6,14,5.734883785247803,14.0,100.0,100.0,100.0,0.0,1,3.9166666666666665,2.0,13.0,0,2,10,1
86,16.0,0.32,50,2,12,0,,0.74,0.26,100,0,5,8,3.2998316287994385,8.0,100.0,100.0,100.0,0.0,1,4.0,2.0,14.0,0,4,7,1
87,16.0,0.32,50,2,13,0,,0.7,0.30000000000000004,100,0,2,13,5.715476036071777,13.0,100.0,100.0,100.0,0.0,1,3.6666666666666665,2.0,13.0,0,2,10,1
88,16.0,0.32,50,2,13,0,,0.68,0.31999999999999995,100,0,7,9,3.858612298965454,9.0,100.0,100.0,100.0,0.0,1,3.6666666666666665,2.0,14.0,0,4,8,1
89,16.0,0.32,50,2,11,0,,0.66,0.33999999999999997,100,0,5,12,4.921607971191406,12.0,100.0,100.0,100.0,0.0,1,4.1,2.0,13.0,0,3,7,1
90,16.0,0.32,50,2,15,0,,0.66,0.33999999999999997,100,0,4,13,5.436502456665039,13.0,100.0,100.0,100.0,0.0,1,3.142857142857143,2.0,13.0,0,3,11,1
91,16.0,0.32,50,2,13,0,,0.6,0.4,100,0,5,15,6.236095905303955,15.0,100.0,100.0,100.0,0.0,1,3.9166666666666665,2.0,14.0,0,2,10,1
92,16.0,0.32,50,2,12,0,,0.72,0.28,100,0,3,11,4.642796039581299,11.0,100.0,100.0,100.0,0.0,1,3.8181818181818183,2.0,14.0,0,3,8,1
93,16.0,0.32,50,2,14,0,,0.68,0.31999999999999995,100,0,4,12,4.988876819610596,12.0,100.0,100.0,100.0,0.0,1,3.3846153846153846,2.0,13.0,0,4,9,1
94,16.0,0.32,50,2,12,0,,0.72,0.28,100,0,6,8,3.399346351623535,8.0,100.0,100.0,100.0,0.0,1,4.0,2.0,13.0,0,5,6,1
95,16.0,0.32,50,2,12,0,,0.58,0.42000000000000004,100,0,4,17,7.257180213928223,17.0,100.0,100.0,100.0,0.0,1,4.090909090909091,2.0,13.0,0,4,7,1
96,16.0,0.32,50,2,13,0,,0.74,0.26,100,0,4,9,3.6817867755889893,9.0,100.0,100.0,100.0,0.0,1,3.4166666666666665,2.0,13.0,0,4,8,1
97,16.0,0.32,50,2,12,0,,0.66,0.33999999999999997,100,0,5,12,4.921607971191406,12.0,100.0,100.0,100.0,0.0,1,4.2727272727272725,2.0,14.0,0,2,9,1
98,16.0,0.32,50,2,12,0,,0.68,0.31999999999999995,100,0,6,10,4.109609603881836,10.0,100.0,100.0,100.0,0.0,1,4.090909090909091,2.0,13.0,0,5,6,1
99,16.0,0.32,50,2,11,0,,0.74,0.26,100,0,5,8,3.2998316287994385,8.0,100.0,100.0,100.0,0.0,1,3.9,2.0,14.0,0,4,6,1
100,16.0,0.32,50,2,15,0,,0.68,0.31999999999999995,100,0,4,12,4.988876819610596,12.0,100.0,100.0,100.0,0.0,1,3.142857142857143,2.0,14.0,0,4,10,1
101,16.0,0.32,50,2,12,0,,0.72,0.28,100,0,4,10,4.109609603881836,10.0,100.0,100.0,100.0,0.0,1,4.0,2.0,13.0,0,2,9,1
102,16.0,0.32,50,2,14,0,,0.7,0.30000000000000004,100,0,4,11,4.546060562133789,11.0,100.0,100.0,100.0,0.0,1,3.6153846153846154,2.0,13.0,0,4,9,1
103,16.0,0.32,50,2,13,0,,0.64,0.36,100,0,7,11,4.546060562133789,11.0,100.0,100.0,100.0,0.0,1,3.6666666666666665,2.0,13.0,0,4,8,1
104,16.0,0.32,50,2,10,0,,0.7,0.30000000000000004,100,0,2,13,5.715476036071777,13.0,100.0,100.0,100.0,0.0,1,5.333333333333333,2.0,13.0,0,2,7,1
105,16.0,0.32,50,2,10,0,,0.74,0.26,100,0,5,8,3.2998316287994385,8.0,100.0,100.0,100.0,0.0,1,4.333333333333333,2.0,13.0,0,4,5,1
106,16.0,0.32,50,2,15,0,,0.64,0.36,100,0,3,15,6.480740547180176,15.0,100.0,100.0,100.0,0.0,1,3.357142857142857,2.0,13.0,0,3,11,1
107,16.0,0.32,50,2,12,0,,0.68,0.31999999999999995,100,0,3,13,5.557777404785156,13.0,100.0,100.0,100.0,0.0,1,4.090909090909091,2.0,14.0,0,3,8,1
108,16.0,0.32,50,2,14,0,,0.6,0.4,100,0,4,16,6.79869270324707,16.0,100.0,100.0,100.0,0.0,1,3.6153846153846154,2.0,13.0,0,2,11,1
109,16.0,0.32,50,2,12,0,,0.66,0.33999999999999997,100,0,4,13,5.436502456665039,13.0,100.0,100.0,100.0,0.0,1,3.8181818181818183,2.0,13.0,0,3,8,1
110,16.0,0.32,50,2,12,0,,0.62,0.38,100,0,4,15,6.342098712921143,15.0,100.0,100.0,100.0,0.0,1,4.363636363636363,2.0,14.0,0,3,8,1
111,16.0,0.32,50,2,13,0,,0.66,0.33999999999999997,100,0,4,13,5.436502456665039,13.0,100.0,100.0,100.0,0.0,1,3.6666666666666665,2.0,14.0,0,4,8,1
112,16.0,0.32,50,2,12,0,,0.56,0.43999999999999995,100,0,4,18,7.717224597930908,18.0,100.0,100.0,100.0,0.0,1,4.363636363636363,2.0,13.0,0,4,7,1
113,16.0,0.32,50,2,12,0,,0.66,0.33999999999999997,100,0,5,12,4.921607971191406,12.0,100.0,100.0,100.0,0.0,1,4.090909090909091,2.0,13.0,0,3,8,1
114,16.0,0.32,50,2,12,0,,0.76,0.24,100,0,5,7,2.943920373916626,7.0,100.0,100.0,100.0,0.0,1,3.727272727272727,2.0,13.0,0,4,7,1
115,16.0,0.32,50,2,12,0,,0.7,0.30000000000000004,100,0,4,11,4.546060562133789,11.0,100.0,100.0,100.0,0.0,1,4.0,2.0,13.0,0,4,7,1
116,16.0,0.32,50,2,14,0,,0.62,0.38,100,0,3,16,6.9442219734191895,16.0,100.0,100.0,100.0,0.0,1,3.6923076923076925,2.0,14.0,0,3,10,1
117,16.0,0.32,50,2,12,0,,0.68,0.31999999999999995,100,0,4,12,4.988876819610596,12.0,100.0,100.0,100.0,0.0,1,3.909090909090909,2.0,13.0,0,4,7,1
118,16.0,0.32,50,2,13,0,,0.54,0.45999999999999996,100,0,5,18,7.586538314819336,18.0,100.0,100.0,100.0,0.0,1,4.0,2.0,13.0,0,3,9,1
