reward,steps,rooms,charges,full_coverage,time_in_C,min_battery
25.0,50,3,13,1,0.44,100.0
25.0,50,3,12,1,0.5,100.0
26.0,50,3,13,1,0.5,100.0
26.0,50,3,12,1,0.48,100.0
25.0,50,3,11,1,0.4,100.0
26.0,50,3,14,1,0.52,100.0
26.0,50,3,14,1,0.52,100.0
25.0,50,3,13,1,0.5,100.0
26.0,50,3,12,1,0.46,100.0
26.0,50,3,12,1,0.38,100.0
26.0,50,3,12,1,0.46,100.0
26.0,50,3,14,1,0.5,100.0
26.0,50,3,15,1,0.48,100.0
27.0,50,3,13,1,0.54,100.0
26.0,50,3,13,1,0.46,100.0
25.0,50,3,12,1,0.4,100.0
26.0,50,3,14,1,0.42,100.0
26.0,50,3,14,1,0.52,100.0
26.0,50,3,12,1,0.48,100.0
26.0,50,3,14,1,0.48,100.0
25.0,50,3,11,1,0.42,100.0
22.0,50,3,13,1,0.54,72.0
26.0,50,3,17,1,0.54,100.0
24.0,50,3,12,1,0.46,70.0
27.0,50,3,15,1,0.56,100.0
24.0,50,3,13,1,0.46,81.0
25.0,50,3,14,1,0.54,100.0
26.0,50,3,12,1,0.44,100.0
26.0,50,3,14,1,0.54,100.0
26.0,50,3,13,1,0.48,100.0
26.0,50,3,13,1,0.46,100.0
25.0,50,3,12,1,0.46,100.0
25.0,50,3,14,1,0.46,100.0
26.0,50,3,12,1,0.4,100.0
25.0,50,3,14,1,0.5,100.0
25.0,50,3,13,1,0.48,100.0
26.0,50,3,12,1,0.46,100.0
25.0,50,3,13,1,0.42,100.0
26.0,50,3,14,1,0.46,100.0
26.0,50,3,13,1,0.48,100.0
25.0,50,3,12,1,0.42,100.0
26.0,50,3,13,1,0.48,100.0
26.0,50,3,11,1,0.44,100.0
25.0,50,3,15,1,0.54,100.0
22.0,50,3,10,1,0.52,75.0
25.0,50,3,10,1,0.38,100.0
25.0,50,3,14,1,0.5,100.0
26.0,50,3,12,1,0.42,100.0
27.0,50,3,14,1,0.6,100.0
25.0,50,3,12,1,0.48,100.0
26.0,50,3,13,1,0.48,100.0
26.0,50,3,13,1,0.5,100.0
26.0,50,3,13,1,0.46,100.0
26.0,50,3,12,1,0.48,100.0
26.0,50,3,13,1,0.46,100.0
27.0,50,3,14,1,0.5,100.0
25.0,50,3,12,1,0.46,100.0
25.0,50,3,12,1,0.38,100.0
26.0,50,3,11,1,0.4,100.0
26.0,50,3,14,1,0.48,100.0
25.0,50,3,14,1,0.48,100.0
26.0,50,3,13,1,0.48,100.0
26.0,50,3,11,1,0.42,100.0
26.0,50,3,14,1,0.5,100.0
26.0,50,3,11,1,0.4,100.0
26.0,50,3,12,1,0.44,100.0
27.0,50,3,12,1,0.46,100.0
25.0,50,3,15,1,0.46,100.0
25.0,50,3,12,1,0.5,100.0
26.0,50,3,12,1,0.6,100.0
26.0,50,3,11,1,0.44,100.0
27.0,50,3,14,1,0.52,100.0
26.0,50,3,12,1,0.48,100.0
27.0,50,3,12,1,0.48,100.0
26.0,50,3,12,1,0.44,100.0
25.0,50,3,10,1,0.44,100.0
26.0,50,3,13,1,0.56,100.0
25.0,50,3,12,1,0.44,100.0
19.0,50,3,9,1,0.62,54.0
26.0,50,3,10,1,0.44,100.0
19.0,50,3,10,1,0.52,57.0
25.0,50,3,10,1,0.46,100.0
26.0,50,3,13,1,0.5,100.0
25.0,50,3,14,1,0.54,100.0
26.0,50,3,12,1,0.5,100.0
27.0,50,3,14,1,0.58,100.0
21.0,50,3,10,1,0.56,64.0
26.0,50,3,14,1,0.5,100.0
26.0,50,3,14,1,0.52,100.0
25.0,50,3,14,1,0.54,100.0
22.0,50,3,9,1,0.48,70.0
25.0,50,3,13,1,0.48,100.0
25.0,50,3,12,1,0.46,100.0
26.0,50,3,15,1,0.52,100.0
26.0,50,3,14,1,0.48,100.0
25.0,50,3,14,1,0.46,99.0
25.0,50,3,13,1,0.44,100.0
25.0,50,3,13,1,0.54,100.0
26.0,50,3,13,1,0.48,100.0
20.0,50,3,10,1,0.58,50.0
26.0,50,3,13,1,0.48,100.0
26.0,50,3,11,1,0.44,100.0
26.0,50,3,13,1,0.44,100.0
25.0,50,3,14,1,0.56,100.0
20.0,50,3,8,1,0.54,64.0
25.0,50,3,12,1,0.4,100.0
23.0,50,3,11,1,0.48,62.0
25.0,50,3,10,1,0.4,100.0
26.0,50,3,14,1,0.6,100.0
25.0,50,3,11,1,0.46,100.0
26.0,50,3,11,1,0.42,100.0
26.0,50,3,14,1,0.48,100.0
20.0,50,3,10,1,0.6,62.0
25.0,50,3,12,1,0.5,100.0
25.0,50,3,16,1,0.5,100.0
26.0,50,3,12,1,0.54,100.0
25.0,50,3,15,1,0.56,100.0
26.0,50,3,12,1,0.5,100.0
25.0,50,3,13,1,0.54,100.0
26.0,50,3,16,1,0.52,100.0
26.0,50,3,13,1,0.48,100.0
26.0,50,3,13,1,0.52,100.0
26.0,50,3,14,1,0.48,100.0
26.0,50,3,14,1,0.52,100.0
25.0,50,3,14,1,0.62,100.0
25.0,50,3,11,1,0.42,100.0
25.0,50,3,15,1,0.48,100.0
26.0,50,3,13,1,0.46,100.0
26.0,50,3,12,1,0.52,100.0
20.0,50,3,9,1,0.56,52.0
26.0,50,3,13,1,0.48,100.0
25.0,50,3,15,1,0.46,100.0
26.0,50,3,12,1,0.56,100.0
22.0,50,3,13,1,0.58,71.0
26.0,50,3,14,1,0.48,98.0
27.0,50,3,14,1,0.5,100.0
26.0,50,3,12,1,0.44,100.0
27.0,50,3,13,1,0.54,100.0
26.0,50,3,12,1,0.44,100.0
26.0,50,3,11,1,0.42,100.0
26.0,50,3,14,1,0.5,100.0
25.0,50,3,13,1,0.54,100.0
26.0,50,3,15,1,0.48,100.0
26.0,50,3,14,1,0.52,100.0
26.0,50,3,11,1,0.38,100.0
26.0,50,3,15,1,0.6,100.0
26.0,50,3,15,1,0.58,100.0
26.0,50,3,13,1,0.52,100.0
26.0,50,3,13,1,0.52,100.0
25.0,50,3,12,1,0.44,100.0
26.0,50,3,14,1,0.52,100.0
26.0,50,3,12,1,0.5,100.0
25.0,50,3,13,1,0.48,100.0
26.0,50,3,14,1,0.54,100.0
26.0,50,3,12,1,0.46,100.0
26.0,50,3,15,1,0.5,100.0
25.0,50,3,16,1,0.5,100.0
25.0,50,3,11,1,0.5,100.0
26.0,50,3,13,1,0.44,100.0
