episode,reward,reward_per_step,steps,rooms,charges,full_coverage,full_coverage_step,time_in_C,time_out_C,min_battery,hab1_visits,hab2_visits,hab3_visits,room_std,room_spread,recharge_battery_mean,recharge_battery_min,recharge_battery_max,recharge_battery_std,first_recharge_step,recharge_gap_mean,recharge_gap_min,recharge_gap_max,recharge_from_hab1,recharge_from_hab2,recharge_from_hab3,recharge_from_other
1,26.0,0.52,50,3,15,1,13,0.5,0.5,100.0,7,6,12,2.624669313430786,6.0,100.0,100.0,100.0,0.0,1,3.2857142857142856,2.0,10.0,6,5,3,1
2,19.0,0.38,50,3,10,1,25,0.6,0.4,61.0,8,2,10,3.399346351623535,8.0,85.1,65.0,100.0,14.982990355733397,1,5.444444444444445,3.0,8.0,5,1,3,1
3,22.0,0.44,50,3,11,1,15,0.52,0.48,70.0,10,6,8,1.632993221282959,4.0,94.81818181818181,73.0,100.0,9.925341137422677,1,4.8,2.0,9.0,6,2,2,1
4,26.0,0.52,50,3,14,1,19,0.56,0.43999999999999995,100.0,7,7,8,0.4714045226573944,1.0,100.0,100.0,100.0,0.0,1,3.6923076923076925,2.0,11.0,6,6,1,1
5,26.0,0.52,50,3,15,1,15,0.5,0.5,100.0,9,6,10,1.699673056602478,4.0,100.0,100.0,100.0,0.0,1,3.4285714285714284,2.0,11.0,7,6,1,1
6,26.0,0.52,50,3,18,1,13,0.5,0.5,100.0,7,7,11,1.885617971420288,4.0,100.0,100.0,100.0,0.0,1,2.823529411764706,2.0,8.0,7,7,3,1
7,26.0,0.52,50,3,16,1,19,0.58,0.42000000000000004,100.0,7,8,6,0.8164966106414795,2.0,100.0,100.0,100.0,0.0,1,3.2,2.0,11.0,7,7,1,1
8,26.0,0.52,50,3,16,1,13,0.56,0.43999999999999995,100.0,6,7,9,1.2472190856933594,3.0,100.0,100.0,100.0,0.0,1,3.2,2.0,10.0,6,5,4,1
9,26.0,0.52,50,3,16,1,13,0.44,0.56,100.0,8,7,13,2.624669313430786,6.0,100.0,100.0,100.0,0.0,1,3.2,2.0,8.0,7,6,2,1
10,25.0,0.5,50,3,14,1,13,0.44,0.56,100.0,7,10,11,1.699673056602478,4.0,100.0,100.0,100.0,0.0,1,3.6923076923076925,2.0,9.0,6,6,1,1
11,26.0,0.52,50,3,16,1,13,0.5,0.5,100.0,9,6,10,1.699673056602478,4.0,100.0,100.0,100.0,0.0,1,3.2,2.0,10.0,8,6,1,1
12,26.0,0.52,50,3,16,1,13,0.48,0.52,100.0,9,6,11,2.054804563522339,5.0,100.0,100.0,100.0,0.0,1,3.2,2.0,10.0,8,6,1,1
13,26.0,0.52,50,3,18,1,13,0.5,0.5,100.0,8,6,11,2.054804563522339,5.0,100.0,100.0,100.0,0.0,1,2.823529411764706,2.0,8.0,8,6,3,1
14,26.0,0.52,50,3,18,1,18,0.54,0.45999999999999996,100.0,7,5,11,2.494438409805298,6.0,100.0,100.0,100.0,0.0,1,2.8823529411764706,2.0,8.0,7,5,5,1
15,26.0,0.52,50,3,17,1,15,0.48,0.52,100.0,6,8,12,2.4944381713867188,6.0,100.0,100.0,100.0,0.0,1,3.0,2.0,8.0,6,7,3,1
16,27.0,0.54,50,3,15,1,15,0.52,0.48,100.0,6,7,11,2.1602468490600586,5.0,100.0,100.0,100.0,0.0,1,3.357142857142857,2.0,9.0,6,5,3,1
17,26.0,0.52,50,3,15,1,18,0.5,0.5,100.0,8,4,13,3.6817867755889893,9.0,100.0,100.0,100.0,0.0,1,3.357142857142857,2.0,8.0,6,3,5,1
18,19.0,0.38,50,3,11,1,14,0.56,0.43999999999999995,56.0,4,5,13,4.027682304382324,9.0,83.63636363636364,59.0,100.0,18.36633643516275,1,4.7,2.0,8.0,3,2,5,1
19,26.0,0.52,50,3,17,1,13,0.52,0.48,100.0,7,6,11,2.1602468490600586,5.0,100.0,100.0,100.0,0.0,1,3.0625,2.0,8.0,6,6,4,1
20,26.0,0.52,50,3,15,1,14,0.5,0.5,100.0,7,6,12,2.624669313430786,6.0,100.0,100.0,100.0,0.0,1,3.4285714285714284,2.0,9.0,7,6,1,1
21,26.0,0.52,50,3,15,1,13,0.56,0.43999999999999995,100.0,9,6,7,1.2472190856933594,3.0,100.0,100.0,100.0,0.0,1,3.4285714285714284,2.0,10.0,7,6,1,1
22,25.0,0.5,50,3,13,1,14,0.5,0.5,100.0,10,9,6,1.699673056602478,4.0,100.0,100.0,100.0,0.0,1,4.083333333333333,3.0,9.0,7,3,2,1
23,26.0,0.52,50,3,15,1,13,0.48,0.52,100.0,8,5,13,3.2998316287994385,8.0,100.0,100.0,100.0,0.0,1,3.357142857142857,2.0,8.0,7,4,3,1
24,26.0,0.52,50,3,13,1,15,0.5,0.5,100.0,8,7,10,1.247219204902649,3.0,100.0,100.0,100.0,0.0,1,4.0,2.0,11.0,5,6,1,1
25,26.0,0.52,50,3,15,1,23,0.5,0.5,100.0,8,7,10,1.247219204902649,3.0,100.0,100.0,100.0,0.0,1,3.4285714285714284,2.0,10.0,6,6,2,1
26,26.0,0.52,50,3,13,1,13,0.48,0.52,100.0,10,7,9,1.2472190856933594,3.0,100.0,100.0,100.0,0.0,1,4.0,2.0,10.0,8,3,1,1
27,26.0,0.52,50,3,16,1,14,0.54,0.45999999999999996,100.0,7,5,11,2.494438409805298,6.0,100.0,100.0,100.0,0.0,1,3.2,2.0,9.0,6,5,4,1
28,26.0,0.52,50,3,15,1,17,0.56,0.43999999999999995,100.0,8,6,8,0.942808985710144,2.0,100.0,100.0,100.0,0.0,1,3.5,2.0,10.0,6,5,3,1
29,19.0,0.38,50,3,10,1,13,0.6,0.4,58.0,4,5,11,3.0912060737609863,7.0,84.7,61.0,100.0,16.3159431232154,1,5.333333333333333,3.0,9.0,4,2,3,1
30,25.0,0.5,50,3,16,1,13,0.56,0.43999999999999995,100.0,9,7,6,1.2472190856933594,3.0,100.0,100.0,100.0,0.0,1,3.2666666666666666,2.0,8.0,7,7,1,1
31,26.0,0.52,50,3,14,1,13,0.52,0.48,100.0,7,8,9,0.8164966106414795,2.0,100.0,100.0,100.0,0.0,1,3.6923076923076925,2.0,10.0,7,5,1,1
32,25.0,0.5,50,3,13,1,14,0.4,0.6,100.0,9,7,14,2.943920373916626,7.0,100.0,100.0,100.0,0.0,1,4.083333333333333,2.0,9.0,7,3,2,1
33,26.0,0.52,50,3,14,1,15,0.5,0.5,100.0,7,8,10,1.247219204902649,3.0,100.0,100.0,100.0,0.0,1,3.769230769230769,2.0,11.0,6,6,1,1
34,26.0,0.52,50,3,16,1,13,0.52,0.48,100.0,10,4,10,2.8284270763397217,6.0,100.0,100.0,100.0,0.0,1,3.2,2.0,8.0,8,4,3,1
35,25.0,0.5,50,3,15,1,13,0.46,0.54,100.0,10,7,10,1.4142135381698608,3.0,100.0,100.0,100.0,0.0,1,3.5,2.0,8.0,6,6,2,1
36,26.0,0.52,50,3,14,1,13,0.48,0.52,100.0,8,7,11,1.699673056602478,4.0,100.0,100.0,100.0,0.0,1,3.6153846153846154,2.0,10.0,6,6,1,1
37,26.0,0.52,50,3,15,1,22,0.48,0.52,100.0,5,4,17,5.906681537628174,13.0,100.0,100.0,100.0,0.0,1,3.357142857142857,2.0,9.0,5,3,6,1
38,25.0,0.5,50,3,13,1,13,0.44,0.56,100.0,10,8,10,0.9428090453147888,2.0,100.0,100.0,100.0,0.0,1,4.083333333333333,2.0,9.0,6,4,2,1
39,26.0,0.52,50,3,14,1,19,0.44,0.56,100.0,9,5,14,3.6817867755889893,9.0,100.0,100.0,100.0,0.0,1,3.6923076923076925,2.0,8.0,7,3,3,1
40,26.0,0.52,50,3,16,1,18,0.52,0.48,100.0,6,7,11,2.1602468490600586,5.0,100.0,100.0,100.0,0.0,1,3.2,2.0,10.0,6,7,2,1
41,25.0,0.5,50,3,13,1,15,0.5,0.5,100.0,10,7,8,1.2472190856933594,3.0,100.0,100.0,100.0,0.0,1,4.0,2.0,9.0,7,4,1,1
42,22.0,0.44,50,3,13,1,13,0.56,0.43999999999999995,69.0,5,6,11,2.624669313430786,6.0,92.23076923076923,72.0,100.0,11.369012176518348,1,3.75,2.0,8.0,4,5,3,1
43,26.0,0.52,50,3,15,1,13,0.5,0.5,100.0,9,6,10,1.699673056602478,4.0,100.0,100.0,100.0,0.0,1,3.4285714285714284,2.0,10.0,7,6,1,1
44,25.0,0.5,50,3,14,1,14,0.42,0.5800000000000001,100.0,11,5,13,3.399346113204956,8.0,100.0,100.0,100.0,0.0,1,3.769230769230769,2.0,8.0,8,3,2,1
45,26.0,0.52,50,3,15,1,14,0.5,0.5,100.0,6,6,13,3.2998316287994385,7.0,100.0,100.0,100.0,0.0,1,3.357142857142857,2.0,8.0,6,6,2,1
46,26.0,0.52,50,3,14,1,13,0.4,0.6,100.0,9,8,13,2.1602468490600586,5.0,100.0,100.0,100.0,0.0,1,3.6923076923076925,2.0,8.0,7,4,2,1
