reward,steps,rooms,charges,full_coverage,time_in_C,min_battery
19.5,50,3,20,1,0.5,100
19.5,50,3,17,1,0.48,100
22.499999999999993,50,3,19,1,0.48,100
20.5,50,3,18,1,0.52,100
21.5,50,3,20,1,0.48,100
19.5,50,3,17,1,0.42,100
19.5,50,3,19,1,0.48,100
22.499999999999993,50,3,19,1,0.58,100
19.5,50,3,19,1,0.54,100
22.499999999999993,50,3,20,1,0.52,100
21.499999999999993,50,3,20,1,0.56,100
21.5,50,3,20,1,0.5,100
20.5,50,3,18,1,0.42,100
20.5,50,3,18,1,0.52,100
21.5,50,3,20,1,0.54,100
22.499999999999993,50,3,20,1,0.52,100
21.499999999999996,50,3,17,1,0.52,100
20.5,50,3,16,1,0.5,100
20.5,50,3,15,1,0.52,100
22.499999999999993,50,3,16,1,0.52,100
21.5,50,3,15,1,0.46,100
21.5,50,3,14,1,0.5,100
20.5,50,3,18,1,0.52,100
18.5,50,3,17,1,0.5,100
21.5,50,3,20,1,0.52,100
21.5,50,3,18,1,0.52,100
19.5,50,3,18,1,0.46,100
20.5,50,3,17,1,0.52,100
20.4,50,3,17,1,0.5,100
21.499999999999993,50,3,18,1,0.56,100
19.5,50,3,16,1,0.48,100
20.5,50,3,17,1,0.48,100
19.5,50,3,18,1,0.42,100
20.5,50,3,17,1,0.48,100
22.499999999999993,50,3,17,1,0.48,100
20.5,50,3,17,1,0.52,100
20.5,50,3,18,1,0.5,100
19.4,50,3,16,1,0.48,100
20.5,50,3,17,1,0.52,100
22.499999999999993,50,3,17,1,0.54,100
21.39999999999999,50,3,17,1,0.58,100
22.499999999999993,50,3,19,1,0.5,100
20.5,50,3,16,1,0.48,100
21.39999999999999,50,3,18,1,0.54,100
22.5,50,3,17,1,0.52,100
21.5,50,3,16,1,0.48,100
21.5,50,3,17,1,0.6,100
22.499999999999993,50,3,20,1,0.56,100
21.5,50,3,19,1,0.54,100
21.499999999999996,50,3,18,1,0.46,100
21.5,50,3,15,1,0.48,100
20.5,50,3,19,1,0.52,100
21.39999999999999,50,3,19,1,0.52,100
19.5,50,3,17,1,0.5,100
21.499999999999996,50,3,17,1,0.56,100
21.499999999999993,50,3,21,1,0.56,100
21.5,50,3,18,1,0.44,100
21.499999999999993,50,3,17,1,0.58,100
21.5,50,3,20,1,0.54,100
22.5,50,3,19,1,0.54,100
19.5,50,3,17,1,0.54,100
20.5,50,3,19,1,0.5,100
22.499999999999993,50,3,18,1,0.5,100
19.5,50,3,17,1,0.5,100
22.499999999999993,50,3,19,1,0.48,100
20.4,50,3,19,1,0.52,100
21.5,50,3,19,1,0.5,100
22.499999999999993,50,3,16,1,0.54,100
22.499999999999993,50,3,20,1,0.6,100
21.5,50,3,17,1,0.52,100
21.499999999999993,50,3,20,1,0.54,100
18.4,50,3,16,1,0.44,100
20.5,50,3,19,1,0.5,100
22.499999999999993,50,3,17,1,0.56,100
21.499999999999993,50,3,20,1,0.58,100
22.499999999999993,50,3,18,1,0.5,100
19.5,50,3,18,1,0.52,100
21.5,50,3,18,1,0.54,100
20.5,50,3,17,1,0.46,100
19.5,50,3,17,1,0.46,100
22.499999999999993,50,3,16,1,0.58,100
21.499999999999993,50,3,19,1,0.56,100
21.5,50,3,17,1,0.5,100
20.5,50,3,15,1,0.54,100
22.499999999999993,50,3,17,1,0.62,100
22.499999999999993,50,3,18,1,0.54,100
20.5,50,3,16,1,0.5,100
21.5,50,3,17,1,0.46,100
21.499999999999993,50,3,15,1,0.54,100
20.5,50,3,15,1,0.58,100
22.499999999999993,50,3,21,1,0.52,100
21.499999999999996,50,3,19,1,0.56,100
21.499999999999993,50,3,16,1,0.44,100
19.5,50,3,19,1,0.5,100
21.5,50,3,20,1,0.48,100
22.499999999999993,50,3,20,1,0.6,100
21.5,50,3,17,1,0.5,100
21.5,50,3,17,1,0.48,100
20.5,50,3,21,1,0.48,100
20.5,50,3,19,1,0.5,100
21.499999999999993,50,3,19,1,0.54,100
20.5,50,3,14,1,0.44,100
22.499999999999993,50,3,18,1,0.52,100
21.499999999999993,50,3,17,1,0.54,100
19.5,50,3,17,1,0.48,100
20.5,50,3,17,1,0.44,100
22.499999999999993,50,3,17,1,0.44,100
19.4,50,3,19,1,0.46,100
20.5,50,3,17,1,0.48,100
20.5,50,3,15,1,0.48,100
22.499999999999993,50,3,16,1,0.56,100
20.5,50,3,17,1,0.5,100
20.5,50,3,19,1,0.52,100
20.5,50,3,20,1,0.56,100
20.5,50,3,18,1,0.48,100
19.4,50,3,20,1,0.5,100
21.5,50,3,17,1,0.52,100
22.499999999999993,50,3,18,1,0.52,100
21.5,50,3,15,1,0.46,100
21.5,50,3,18,1,0.54,100
22.499999999999993,50,3,16,1,0.48,100
19.5,50,3,16,1,0.48,100
22.5,50,3,19,1,0.44,100
21.5,50,3,18,1,0.54,100
21.5,50,3,17,1,0.5,100
22.499999999999993,50,3,21,1,0.52,100
20.5,50,3,19,1,0.48,100
20.4,50,3,21,1,0.5,100
18.4,50,3,17,1,0.5,100
22.5,50,3,18,1,0.56,100
21.499999999999993,50,3,19,1,0.56,100
19.5,50,3,15,1,0.52,100
19.4,50,3,16,1,0.44,100
21.499999999999993,50,3,22,1,0.54,100
21.5,50,3,21,1,0.52,100
20.5,50,3,21,1,0.5,100
20.5,50,3,20,1,0.46,100
22.499999999999993,50,3,22,1,0.54,100
21.5,50,3,22,1,0.52,100
20.5,50,3,19,1,0.46,100
22.5,50,3,21,1,0.54,100
19.5,50,3,19,1,0.5,100
20.5,50,3,20,1,0.56,100
22.499999999999993,50,3,19,1,0.52,100
20.5,50,3,20,1,0.5,100
21.499999999999996,50,3,19,1,0.56,100
20.5,50,3,19,1,0.5,100
21.5,50,3,22,1,0.5,100
21.5,50,3,20,1,0.5,100
22.499999999999993,50,3,21,1,0.5,100
19.5,50,3,20,1,0.48,100
20.4,50,3,22,1,0.5,100
21.5,50,3,18,1,0.44,100
21.5,50,3,20,1,0.54,100
21.5,50,3,20,1,0.5,100
21.5,50,3,18,1,0.52,100
21.499999999999996,50,3,22,1,0.5,100
21.5,50,3,20,1,0.48,100
22.499999999999993,50,3,20,1,0.56,100
21.499999999999996,50,3,21,1,0.5,100
20.5,50,3,20,1,0.48,100
22.499999999999993,50,3,20,1,0.54,100
22.499999999999993,50,3,21,1,0.5,100
19.4,50,3,19,1,0.52,100
20.5,50,3,20,1,0.52,100
20.5,50,3,20,1,0.5,100
20.39999999999999,50,3,20,1,0.52,100
21.5,50,3,19,1,0.46,100
22.499999999999993,50,3,21,1,0.58,100
21.5,50,3,22,1,0.5,100
20.4,50,3,19,1,0.46,100
21.5,50,3,21,1,0.54,100
19.5,50,3,19,1,0.5,100
22.499999999999993,50,3,19,1,0.52,100
22.5,50,3,21,1,0.5,100
22.499999999999993,50,3,21,1,0.5,100
21.5,50,3,20,1,0.52,100
21.5,50,3,21,1,0.52,100
22.499999999999993,50,3,21,1,0.5,100
21.5,50,3,19,1,0.56,100
21.5,50,3,21,1,0.56,100
21.5,50,3,22,1,0.5,100
21.5,50,3,19,1,0.52,100
20.5,50,3,20,1,0.52,100
21.5,50,3,22,1,0.5,100
19.4,50,3,21,1,0.5,100
21.499999999999993,50,3,20,1,0.5,100
21.5,50,3,22,1,0.5,100
21.5,50,3,20,1,0.54,100
21.5,50,3,22,1,0.5,100
19.4,50,3,21,1,0.48,100
21.5,50,3,22,1,0.5,100
21.39999999999999,50,3,20,1,0.5,100
20.5,50,3,19,1,0.48,100
20.5,50,3,19,1,0.48,100
20.5,50,3,21,1,0.5,100
21.5,50,3,19,1,0.5,100
21.5,50,3,22,1,0.54,100
20.4,50,3,21,1,0.48,100
21.5,50,3,21,1,0.56,100
20.5,50,3,21,1,0.48,100
19.5,50,3,20,1,0.46,100
20.5,50,3,21,1,0.48,100
22.499999999999993,50,3,22,1,0.52,100
21.5,50,3,22,1,0.54,100
22.499999999999993,50,3,21,1,0.58,100
22.499999999999993,50,3,21,1,0.5,100
22.499999999999993,50,3,22,1,0.52,100
21.5,50,3,19,1,0.56,100
20.5,50,3,20,1,0.5,100
21.499999999999993,50,3,21,1,0.48,100
22.499999999999993,50,3,21,1,0.56,100
21.5,50,3,21,1,0.56,100
21.5,50,3,20,1,0.48,100
21.5,50,3,21,1,0.54,100
20.5,50,3,21,1,0.5,100
21.5,50,3,21,1,0.56,100
20.399999999999995,50,3,22,1,0.52,100
22.499999999999993,50,3,21,1,0.58,100
21.5,50,3,21,1,0.52,100
22.499999999999993,50,3,21,1,0.56,100
21.499999999999993,50,3,21,1,0.52,100
21.5,50,3,22,1,0.5,100
20.5,50,3,19,1,0.48,100
22.499999999999993,50,3,18,1,0.56,100
21.5,50,3,22,1,0.5,100
21.499999999999996,50,3,21,1,0.54,100
22.499999999999993,50,3,21,1,0.54,100
20.4,50,3,20,1,0.48,100
20.4,50,3,22,1,0.5,100
21.5,50,3,19,1,0.5,100
21.499999999999993,50,3,21,1,0.56,100
18.4,50,3,19,1,0.46,100
20.5,50,3,20,1,0.5,100
20.5,50,3,20,1,0.48,100
21.5,50,3,21,1,0.48,100
21.5,50,3,20,1,0.52,100
21.5,50,3,20,1,0.48,100
21.5,50,3,20,1,0.5,100
20.5,50,3,19,1,0.48,100
21.499999999999993,50,3,22,1,0.52,100
20.5,50,3,20,1,0.54,100
20.5,50,3,20,1,0.54,100
20.5,50,3,20,1,0.46,100
21.5,50,3,21,1,0.48,100
20.4,50,3,19,1,0.5,100
21.5,50,3,19,1,0.46,100
22.499999999999993,50,3,22,1,0.54,100
21.499999999999993,50,3,20,1,0.58,100
20.5,50,3,18,1,0.44,100
21.5,50,3,20,1,0.52,100
21.499999999999993,50,3,20,1,0.58,100
21.5,50,3,21,1,0.54,100
21.5,50,3,22,1,0.52,100
21.5,50,3,20,1,0.58,100
21.5,50,3,22,1,0.5,100
21.499999999999993,50,3,21,1,0.54,100
21.5,50,3,21,1,0.5,100
21.5,50,3,21,1,0.52,100
21.39999999999999,50,3,20,1,0.56,100
20.5,50,3,19,1,0.52,100
21.5,50,3,20,1,0.48,100
21.5,50,3,19,1,0.48,100
22.499999999999993,50,3,22,1,0.52,100
21.499999999999993,50,3,21,1,0.5,100
22.499999999999993,50,3,22,1,0.52,100
22.499999999999993,50,3,22,1,0.56,100
20.5,50,3,21,1,0.5,100
21.5,50,3,21,1,0.54,100
21.5,50,3,21,1,0.52,100
22.499999999999993,50,3,21,1,0.58,100
22.499999999999993,50,3,21,1,0.52,100
21.5,50,3,21,1,0.48,100
21.5,50,3,21,1,0.48,100
22.499999999999993,50,3,22,1,0.52,100
22.499999999999993,50,3,21,1,0.56,100
21.5,50,3,22,1,0.52,100
20.5,50,3,21,1,0.48,100
22.499999999999993,50,3,21,1,0.5,100
22.499999999999993,50,3,22,1,0.54,100
20.4,50,3,21,1,0.52,100
20.5,50,3,20,1,0.54,100
21.5,50,3,21,1,0.52,100
20.5,50,3,21,1,0.48,100
21.5,50,3,22,1,0.52,100
20.5,50,3,21,1,0.5,100
21.499999999999993,50,3,22,1,0.52,100
21.5,50,3,21,1,0.52,100
22.499999999999993,50,3,20,1,0.48,100
21.5,50,3,21,1,0.5,100
21.5,50,3,20,1,0.48,100
20.5,50,3,19,1,0.46,100
20.5,50,3,21,1,0.5,100
20.5,50,3,20,1,0.48,100
22.499999999999993,50,3,21,1,0.56,100
20.5,50,3,21,1,0.48,100
20.5,50,3,21,1,0.48,100
21.5,50,3,22,1,0.5,100
22.499999999999993,50,3,21,1,0.54,100
22.5,50,3,20,1,0.5,100
21.499999999999993,50,3,21,1,0.5,100
21.5,50,3,21,1,0.52,100
20.5,50,3,20,1,0.5,100
22.499999999999993,50,3,22,1,0.54,100
19.5,50,3,20,1,0.46,100
22.499999999999993,50,3,20,1,0.56,100
22.499999999999993,50,3,22,1,0.52,100
21.5,50,3,20,1,0.54,100
21.5,50,3,22,1,0.52,100
20.5,50,3,20,1,0.5,100
21.39999999999999,50,3,22,1,0.54,100
22.499999999999993,50,3,20,1,0.52,100
22.499999999999993,50,3,22,1,0.52,100
21.5,50,3,22,1,0.5,100
21.499999999999996,50,3,22,1,0.54,100
21.5,50,3,21,1,0.52,100
20.5,50,3,19,1,0.46,100
21.5,50,3,21,1,0.52,100
22.499999999999993,50,3,21,1,0.48,100
20.5,50,3,21,1,0.5,100
21.5,50,3,21,1,0.5,100
20.5,50,3,21,1,0.5,100
22.499999999999993,50,3,21,1,0.52,100
20.5,50,3,21,1,0.48,100
21.5,50,3,21,1,0.48,100
20.4,50,3,22,1,0.5,100
20.5,50,3,20,1,0.52,100
21.5,50,3,22,1,0.5,100
20.5,50,3,18,1,0.46,100
21.5,50,3,21,1,0.48,100
21.5,50,3,20,1,0.46,100
22.499999999999993,50,3,22,1,0.54,100
21.5,50,3,22,1,0.5,100
22.499999999999993,50,3,20,1,0.48,100
20.5,50,3,21,1,0.48,100
20.5,50,3,20,1,0.46,100
21.5,50,3,22,1,0.5,100
22.499999999999993,50,3,21,1,0.54,100
20.5,50,3,21,1,0.5,100
21.5,50,3,20,1,0.46,100
21.5,50,3,20,1,0.48,100
21.5,50,3,21,1,0.52,100
21.499999999999993,50,3,22,1,0.52,100
21.5,50,3,22,1,0.5,100
22.499999999999993,50,3,20,1,0.54,100
21.5,50,3,21,1,0.52,100
21.5,50,3,22,1,0.5,100
21.39999999999999,50,3,21,1,0.52,100
20.5,50,3,18,1,0.46,100
20.5,50,3,21,1,0.48,100
21.5,50,3,22,1,0.5,100
20.5,50,3,21,1,0.54,100
21.5,50,3,20,1,0.48,100
20.5,50,3,21,1,0.48,100
22.499999999999993,50,3,21,1,0.52,100
20.5,50,3,18,1,0.46,100
22.499999999999993,50,3,21,1,0.58,100
21.5,50,3,21,1,0.54,100
21.5,50,3,21,1,0.5,100
20.5,50,3,17,1,0.5,100
20.5,50,3,21,1,0.48,100
21.5,50,3,19,1,0.48,100
22.499999999999993,50,3,21,1,0.54,100
21.5,50,3,22,1,0.52,100
22.499999999999993,50,3,22,1,0.56,100
21.5,50,3,22,1,0.5,100
22.499999999999993,50,3,21,1,0.58,100
21.5,50,3,20,1,0.48,100
21.5,50,3,20,1,0.52,100
21.5,50,3,20,1,0.48,100
22.499999999999993,50,3,21,1,0.58,100
20.5,50,3,21,1,0.52,100
21.499999999999993,50,3,21,1,0.52,100
21.5,50,3,21,1,0.52,100
22.499999999999993,50,3,21,1,0.54,100
19.4,50,3,21,1,0.52,100
20.5,50,3,21,1,0.5,100
21.5,50,3,19,1,0.56,100
22.499999999999993,50,3,21,1,0.54,100
21.5,50,3,22,1,0.5,100
22.499999999999993,50,3,21,1,0.52,100
20.5,50,3,20,1,0.52,100
20.5,50,3,19,1,0.46,100
21.5,50,3,21,1,0.48,100
20.5,50,3,20,1,0.5,100
20.5,50,3,20,1,0.46,100
21.39999999999999,50,3,22,1,0.54,100
21.5,50,3,22,1,0.5,100
20.5,50,3,21,1,0.5,100
21.39999999999999,50,3,19,1,0.54,100
21.5,50,3,21,1,0.48,100
20.5,50,3,21,1,0.48,100
21.5,50,3,21,1,0.52,100
21.5,50,3,22,1,0.48,100
20.4,50,3,22,1,0.5,100
22.499999999999993,50,3,20,1,0.52,100
21.5,50,3,21,1,0.5,100
19.5,50,3,19,1,0.46,100
22.499999999999993,50,3,20,1,0.56,100
20.5,50,3,20,1,0.46,100
21.5,50,3,22,1,0.52,100
20.5,50,3,21,1,0.48,100
19.5,50,3,19,1,0.52,100
21.5,50,3,22,1,0.52,100
20.5,50,3,19,1,0.5,100
21.5,50,3,22,1,0.5,100
20.5,50,3,20,1,0.46,100
