episode,reward,reward_per_step,steps,rooms,charges,full_coverage,full_coverage_step,time_in_C,time_out_C,min_battery,hab1_visits,hab2_visits,hab3_visits,room_std,room_spread,recharge_battery_mean,recharge_battery_min,recharge_battery_max,recharge_battery_std,first_recharge_step,recharge_gap_mean,recharge_gap_min,recharge_gap_max,recharge_from_hab1,recharge_from_hab2,recharge_from_hab3,recharge_from_other
1,13.500000000000004,0.2700000000000001,50,3,19,1,15,0.48,0.52,100.0,9,6,11,2.054804563522339,5.0,100.0,100.0,100.0,0.0,1,2.7222222222222223,2.0,5.0,8,5,5,1
2,13.500000000000004,0.2700000000000001,50,3,18,1,13,0.54,0.45999999999999996,100.0,6,8,9,1.2472190856933594,3.0,100.0,100.0,100.0,0.0,1,2.8823529411764706,2.0,9.0,6,6,5,1
3,13.500000000000005,0.27000000000000013,50,3,17,1,13,0.64,0.36,100.0,6,7,5,0.8164966106414795,2.0,100.0,100.0,100.0,0.0,1,2.9375,2.0,5.0,5,6,5,1
4,13.500000000000004,0.2700000000000001,50,3,17,1,10,0.46,0.54,100.0,10,9,8,0.8164966106414795,2.0,100.0,100.0,100.0,0.0,1,3.0,2.0,4.0,7,6,3,1
5,13.500000000000004,0.2700000000000001,50,3,13,1,29,0.62,0.38,100.0,6,6,7,0.4714045226573944,1.0,100.0,100.0,100.0,0.0,1,4.083333333333333,2.0,10.0,2,6,4,1
6,13.500000000000005,0.27000000000000013,50,3,16,1,13,0.62,0.38,100.0,8,3,8,2.357022523880005,5.0,100.0,100.0,100.0,0.0,1,3.2,2.0,5.0,6,2,7,1
7,13.400000000000004,0.26800000000000007,50,3,15,1,14,0.44,0.56,100.0,9,13,6,2.8674418926239014,7.0,100.0,100.0,100.0,0.0,1,3.5,2.0,6.0,5,7,2,1
8,13.400000000000004,0.26800000000000007,50,3,16,1,16,0.48,0.52,100.0,10,5,11,2.624669313430786,6.0,100.0,100.0,100.0,0.0,1,3.2666666666666666,2.0,4.0,6,4,5,1
9,13.500000000000004,0.2700000000000001,50,3,16,1,20,0.6,0.4,100.0,7,5,8,1.2472190856933594,3.0,100.0,100.0,100.0,0.0,1,3.2,2.0,5.0,6,3,6,1
10,13.500000000000005,0.27000000000000013,50,3,16,1,9,0.5,0.5,100.0,6,8,11,2.054804563522339,5.0,100.0,100.0,100.0,0.0,1,3.1333333333333333,2.0,5.0,5,5,5,1
11,13.500000000000004,0.2700000000000001,50,3,16,1,12,0.54,0.45999999999999996,100.0,8,6,9,1.2472190856933594,3.0,100.0,100.0,100.0,0.0,1,3.2666666666666666,2.0,8.0,7,5,3,1
12,13.500000000000005,0.27000000000000013,50,3,14,1,14,0.56,0.43999999999999995,100.0,8,7,7,0.4714045226573944,1.0,100.0,100.0,100.0,0.0,1,3.6923076923076925,2.0,9.0,5,5,3,1
