reward,steps,rooms,charges,full_coverage,time_in_C,min_battery
20.2,50,3,10,1,0.26,99.0
16.999999999999993,50,3,9,1,0.3,34.0
17.749999999999996,50,3,12,1,0.36,33.0
17.749999999999996,50,3,7,1,0.26,32.0
17.849999999999994,50,3,8,1,0.3,33.0
20.2,50,3,11,1,0.38,76.0
19.5,50,3,11,1,0.32,35.0
20.400000000000002,50,3,11,1,0.28,51.0
20.2,50,3,11,1,0.3,73.0
17.949999999999996,50,3,9,1,0.28,38.0
20.2,50,3,9,1,0.28,74.0
20.2,50,3,7,1,0.2,77.0
20.2,50,3,9,1,0.26,76.0
16.849999999999994,50,3,11,1,0.4,30.0
20.2,50,3,11,1,0.3,75.0
17.699999999999996,50,3,11,1,0.34,37.0
17.899999999999995,50,3,8,1,0.28,34.0
16.849999999999994,50,3,10,1,0.36,30.0
20.2,50,3,10,1,0.26,75.0
20.2,50,3,11,1,0.28,98.0
20.2,50,3,7,1,0.2,95.0
19.6,50,3,6,1,0.18,49.0
16.849999999999994,50,3,6,1,0.32,29.0
17.3,50,3,10,1,0.26,40.0
17.899999999999995,50,3,7,1,0.28,34.0
20.2,50,3,9,1,0.3,74.0
20.2,50,3,9,1,0.26,74.0
19.35,50,3,12,1,0.32,36.0
19.6,50,3,9,1,0.24,50.0
20.2,50,3,9,1,0.24,77.0
19.400000000000002,50,3,6,1,0.16,49.0
20.2,50,3,11,1,0.28,74.0
19.35,50,3,9,1,0.26,40.0
19.5,50,3,8,1,0.22,39.0
18.2,50,3,8,1,0.2,100.0
20.2,50,3,11,1,0.34,75.0
20.2,50,3,9,1,0.26,72.0
20.2,50,3,8,1,0.2,100.0
18.5,50,3,5,1,0.18,40.0
17.899999999999995,50,3,9,1,0.34,27.0
18.849999999999998,50,3,10,1,0.32,33.0
20.2,50,3,10,1,0.3,100.0
18.599999999999998,50,3,8,1,0.3,37.0
16.849999999999994,50,3,10,1,0.32,34.0
17.35,50,3,7,1,0.32,40.0
17.749999999999996,50,3,10,1,0.38,30.0
17.899999999999995,50,3,7,1,0.26,34.0
17.899999999999995,50,3,8,1,0.32,33.0
17.999999999999993,50,3,8,1,0.34,29.0
20.2,50,3,7,1,0.22,98.0
20.2,50,3,4,1,0.12,77.0
16.699999999999996,50,3,9,1,0.22,34.0
19.6,50,3,8,1,0.24,48.0
18.599999999999998,50,3,6,1,0.24,36.0
19.2,50,3,5,1,0.16,71.0
20.2,50,3,11,1,0.28,75.0
20.2,50,3,9,1,0.32,77.0
17.899999999999995,50,3,8,1,0.34,35.0
16.699999999999996,50,3,6,1,0.3,35.0
20.2,50,3,8,1,0.24,100.0
17.999999999999993,50,3,10,1,0.42,31.0
19.65,50,3,8,1,0.26,34.0
17.849999999999994,50,3,9,1,0.36,28.0
20.2,50,3,7,1,0.24,99.0
20.2,50,3,10,1,0.32,75.0
19.5,50,3,7,1,0.22,33.0
18.6,50,3,9,1,0.26,60.0
18.400000000000002,50,3,7,1,0.18,46.0
17.999999999999993,50,3,11,1,0.36,29.0
20.2,50,3,10,1,0.28,77.0
18.2,50,3,7,1,0.22,100.0
20.2,50,3,6,1,0.2,77.0
17.999999999999993,50,3,7,1,0.3,32.0
20.2,50,3,10,1,0.32,77.0
19.2,50,3,8,1,0.24,100.0
19.2,50,3,8,1,0.24,100.0
18.2,50,3,8,1,0.24,100.0
20.2,50,3,8,1,0.26,76.0
20.2,50,3,10,1,0.3,73.0
17.949999999999996,50,3,10,1,0.34,39.0
17.849999999999994,50,3,6,1,0.26,28.0
18.400000000000002,50,3,8,1,0.18,42.0
18.55,50,3,10,1,0.28,41.0
19.55,50,3,7,1,0.22,39.0
20.400000000000002,50,3,6,1,0.16,53.0
20.2,50,3,8,1,0.22,78.0
20.2,50,3,9,1,0.24,99.0
17.899999999999995,50,3,8,1,0.32,36.0
19.6,50,3,7,1,0.2,48.0
19.55,50,3,6,1,0.18,38.0
17.849999999999994,50,3,9,1,0.4,31.0
16.899999999999995,50,3,10,1,0.36,36.0
20.400000000000002,50,3,10,1,0.32,43.0
20.2,50,3,5,1,0.16,100.0
18.2,50,3,7,1,0.24,100.0
20.2,50,3,7,1,0.26,78.0
20.2,50,3,9,1,0.28,76.0
16.899999999999995,50,3,6,1,0.32,36.0
20.400000000000002,50,3,8,1,0.24,51.0
20.2,50,3,8,1,0.26,78.0
18.2,50,3,7,1,0.2,100.0
16.699999999999996,50,3,10,1,0.34,28.0
17.999999999999993,50,3,9,1,0.36,28.0
16.849999999999994,50,3,8,1,0.24,35.0
19.6,50,3,7,1,0.2,54.0
17.999999999999993,50,3,9,1,0.34,29.0
17.999999999999993,50,3,11,1,0.38,31.0
20.2,50,3,8,1,0.22,75.0
17.999999999999993,50,3,9,1,0.34,34.0
17.749999999999996,50,3,8,1,0.34,39.0
20.2,50,3,10,1,0.3,75.0
