episode,reward,reward_per_step,steps,rooms,charges,full_coverage,full_coverage_step,time_in_C,time_out_C,min_battery,hab1_visits,hab2_visits,hab3_visits,room_std,room_spread
1,20.2,0.40399999999999997,50,3,11,1,17,0.28,0.72,75.0,11,13,12,0.8164966106414795,2.0
2,19.4,0.38799999999999996,50,3,9,1,17,0.2,0.8,61.0,14,13,13,0.471404492855072,1.0
3,20.2,0.40399999999999997,50,3,10,1,16,0.26,0.74,100.0,13,12,12,0.471404492855072,1.0
4,18.999999999999996,0.37999999999999995,50,3,8,1,19,0.28,0.72,34.0,15,10,11,2.1602468490600586,5.0
5,20.2,0.40399999999999997,50,3,10,1,17,0.3,0.7,73.0,12,13,10,1.247219204902649,3.0
6,18.849999999999998,0.37699999999999995,50,3,12,1,19,0.28,0.72,32.0,13,8,15,2.943920373916626,7.0
7,17.899999999999995,0.3579999999999999,50,3,9,1,16,0.28,0.72,27.0,14,10,12,1.632993221282959,4.0
8,20.2,0.40399999999999997,50,3,9,1,17,0.2,0.8,75.0,14,14,12,0.9428090453147888,2.0
9,20.2,0.40399999999999997,50,3,10,1,16,0.22,0.78,72.0,12,13,14,0.8164966106414795,2.0
10,17.899999999999995,0.3579999999999999,50,3,9,1,19,0.34,0.6599999999999999,33.0,12,10,11,0.8164966106414795,2.0
11,16.999999999999993,0.33999999999999986,50,3,12,1,17,0.34,0.6599999999999999,32.0,8,12,13,2.1602468490600586,5.0
12,16.899999999999995,0.3379999999999999,50,3,8,1,17,0.3,0.7,34.0,10,12,13,1.247219204902649,3.0
13,17.899999999999995,0.3579999999999999,50,3,11,1,17,0.32,0.6799999999999999,34.0,10,13,11,1.2472190856933594,3.0
14,20.2,0.40399999999999997,50,3,10,1,16,0.2,0.8,72.0,17,9,14,3.2998316287994385,8.0
15,17.749999999999996,0.3549999999999999,50,3,12,1,18,0.32,0.6799999999999999,31.0,10,11,13,1.247219204902649,3.0
16,20.2,0.40399999999999997,50,3,10,1,20,0.26,0.74,77.0,12,12,13,0.471404492855072,1.0
17,20.2,0.40399999999999997,50,3,12,1,17,0.3,0.7,74.0,12,11,12,0.471404492855072,1.0
18,19.65,0.39299999999999996,50,3,9,1,19,0.28,0.72,36.0,13,9,14,2.1602468490600586,5.0
19,17.899999999999995,0.3579999999999999,50,3,11,1,19,0.34,0.6599999999999999,30.0,12,7,14,2.943920373916626,7.0
20,17.899999999999995,0.3579999999999999,50,3,8,1,17,0.26,0.74,35.0,8,15,14,3.0912060737609863,7.0
21,20.2,0.40399999999999997,50,3,10,1,19,0.2,0.8,99.0,14,12,14,0.9428090453147888,2.0
22,17.899999999999995,0.3579999999999999,50,3,12,1,19,0.3,0.7,30.0,11,10,14,1.699673056602478,4.0
23,17.849999999999994,0.3569999999999999,50,3,8,1,17,0.26,0.74,32.0,14,11,12,1.2472190856933594,3.0
24,17.749999999999996,0.3549999999999999,50,3,11,1,16,0.3,0.7,39.0,14,9,12,2.054804563522339,5.0
25,17.899999999999995,0.3579999999999999,50,3,9,1,18,0.26,0.74,34.0,12,13,12,0.471404492855072,1.0
26,18.049999999999994,0.3609999999999999,50,3,8,1,16,0.34,0.6599999999999999,25.0,10,10,13,1.4142135381698608,3.0
27,17.65,0.353,50,3,12,1,17,0.34,0.6599999999999999,40.0,12,8,13,2.1602468490600586,5.0
28,19.6,0.392,50,3,9,1,17,0.18,0.8200000000000001,45.0,13,13,15,0.9428090453147888,2.0
29,20.2,0.40399999999999997,50,3,9,1,17,0.24,0.76,74.0,17,8,13,3.6817870140075684,9.0
30,17.899999999999995,0.3579999999999999,50,3,9,1,17,0.36,0.64,34.0,10,14,8,2.4944381713867188,6.0
31,16.699999999999996,0.3339999999999999,50,3,11,1,16,0.32,0.6799999999999999,34.0,6,14,14,3.771235942840576,8.0
32,16.699999999999996,0.3339999999999999,50,3,9,1,16,0.24,0.76,34.0,12,12,14,0.9428090453147888,2.0
33,20.2,0.40399999999999997,50,3,8,1,16,0.2,0.8,99.0,16,12,12,1.885617971420288,4.0
34,17.899999999999995,0.3579999999999999,50,3,8,1,18,0.36,0.64,33.0,11,10,11,0.471404492855072,1.0
35,16.849999999999994,0.3369999999999999,50,3,11,1,17,0.38,0.62,28.0,9,11,11,0.9428090453147888,2.0
36,17.899999999999995,0.3579999999999999,50,3,11,1,17,0.34,0.6599999999999999,20.0,10,12,11,0.8164966106414795,2.0
37,18.5,0.37,50,3,10,1,17,0.3,0.7,33.0,10,11,14,1.699673056602478,4.0
38,20.2,0.40399999999999997,50,3,8,1,17,0.2,0.8,99.0,15,12,13,1.2472190856933594,3.0
39,17.049999999999994,0.34099999999999986,50,3,12,1,20,0.34,0.6599999999999999,27.0,8,10,15,2.943920373916626,7.0
40,16.999999999999993,0.33999999999999986,50,3,12,1,17,0.36,0.64,34.0,11,9,12,1.247219204902649,3.0
41,20.2,0.40399999999999997,50,3,7,1,17,0.14,0.86,78.0,11,16,16,2.357022523880005,5.0
42,17.749999999999996,0.3549999999999999,50,3,11,1,21,0.36,0.64,23.0,7,9,16,3.858612298965454,9.0
43,19.6,0.392,50,3,8,1,16,0.18,0.8200000000000001,44.0,15,13,13,0.9428090453147888,2.0
44,16.849999999999994,0.3369999999999999,50,3,12,1,17,0.38,0.62,29.0,11,8,12,1.699673056602478,4.0
45,17.749999999999996,0.3549999999999999,50,3,11,1,17,0.3,0.7,32.0,9,12,14,2.054804563522339,5.0
46,19.55,0.391,50,3,9,1,19,0.24,0.76,38.0,14,10,14,1.885617971420288,4.0
47,16.849999999999994,0.3369999999999999,50,3,10,1,16,0.32,0.6799999999999999,29.0,12,8,14,2.4944381713867188,6.0
48,20.2,0.40399999999999997,50,3,12,1,19,0.3,0.7,74.0,13,12,10,1.247219204902649,3.0
49,20.2,0.40399999999999997,50,3,12,1,17,0.3,0.7,73.0,12,11,12,0.471404492855072,1.0
50,16.849999999999994,0.3369999999999999,50,3,9,1,16,0.28,0.72,35.0,13,11,12,0.8164966106414795,2.0
51,16.699999999999996,0.3339999999999999,50,3,11,1,17,0.34,0.6599999999999999,34.0,7,12,14,2.943920373916626,7.0
52,20.2,0.40399999999999997,50,3,10,1,16,0.32,0.6799999999999999,76.0,10,12,12,0.9428090453147888,2.0
53,16.699999999999996,0.3339999999999999,50,3,11,1,18,0.36,0.64,29.0,9,11,12,1.247219204902649,3.0
54,16.699999999999996,0.3339999999999999,50,3,9,1,17,0.32,0.6799999999999999,34.0,9,13,12,1.699673056602478,4.0
55,16.699999999999996,0.3339999999999999,50,3,11,1,19,0.32,0.6799999999999999,32.0,10,10,14,1.885617971420288,4.0
56,20.2,0.40399999999999997,50,3,8,1,17,0.18,0.8200000000000001,75.0,11,15,15,1.885617971420288,4.0
57,17.999999999999993,0.3599999999999999,50,3,10,1,17,0.38,0.62,28.0,12,9,10,1.2472190856933594,3.0
58,20.2,0.40399999999999997,50,3,10,1,17,0.22,0.78,100.0,15,13,11,1.632993221282959,4.0
59,16.849999999999994,0.3369999999999999,50,3,12,1,17,0.38,0.62,29.0,10,10,11,0.471404492855072,1.0
60,17.999999999999993,0.3599999999999999,50,3,8,1,17,0.3,0.7,27.0,9,13,13,1.885617971420288,4.0
61,16.699999999999996,0.3339999999999999,50,3,10,1,16,0.32,0.6799999999999999,29.0,12,11,11,0.471404492855072,1.0
62,16.899999999999995,0.3379999999999999,50,3,10,1,17,0.28,0.72,36.0,9,14,13,2.1602468490600586,5.0
63,17.849999999999994,0.3569999999999999,50,3,9,1,17,0.34,0.6599999999999999,30.0,7,13,13,2.8284270763397217,6.0
64,20.2,0.40399999999999997,50,3,8,1,17,0.22,0.78,77.0,12,15,12,1.4142135381698608,3.0
65,18.749999999999996,0.37499999999999994,50,3,8,1,19,0.26,0.74,35.0,14,11,12,1.2472190856933594,3.0
66,18.65,0.373,50,3,10,1,17,0.24,0.76,34.0,12,13,13,0.471404492855072,1.0
67,17.899999999999995,0.3579999999999999,50,3,11,1,17,0.38,0.62,37.0,13,8,10,2.054804563522339,5.0
68,20.2,0.40399999999999997,50,3,9,1,17,0.2,0.8,98.0,10,17,13,2.8674418926239014,7.0
69,19.2,0.384,50,3,6,1,18,0.12,0.88,98.0,16,13,15,1.2472190856933594,3.0
70,17.749999999999996,0.3549999999999999,50,3,9,1,17,0.3,0.7,33.0,10,12,13,1.247219204902649,3.0
71,18.099999999999994,0.3619999999999999,50,3,10,1,22,0.32,0.6799999999999999,38.0,12,10,12,0.9428090453147888,2.0
72,20.2,0.40399999999999997,50,3,11,1,17,0.26,0.74,73.0,10,16,11,2.624669313430786,6.0
73,16.799999999999994,0.33599999999999985,50,3,9,1,19,0.36,0.64,28.0,10,10,12,0.9428090453147888,2.0
74,17.899999999999995,0.3579999999999999,50,3,9,1,17,0.32,0.6799999999999999,34.0,11,12,11,0.471404492855072,1.0
75,17.049999999999994,0.34099999999999986,50,3,12,1,17,0.34,0.6599999999999999,27.0,10,9,14,2.1602468490600586,5.0
76,16.999999999999993,0.33999999999999986,50,3,11,1,17,0.32,0.6799999999999999,32.0,8,12,14,2.4944381713867188,6.0
