episode,reward,reward_per_step,steps,rooms,charges,full_coverage,full_coverage_step,time_in_C,time_out_C,min_battery,hab1_visits,hab2_visits,hab3_visits,room_std,room_spread,recharge_battery_mean,recharge_battery_min,recharge_battery_max,recharge_battery_std,first_recharge_step,recharge_gap_mean,recharge_gap_min,recharge_gap_max,recharge_from_hab1,recharge_from_hab2,recharge_from_hab3,recharge_from_other
1,19.7,0.39399999999999996,50,3,8,1,17,0.22,0.78,35.0,14,13,12,0.8164966106414795,2.0,87.625,46.0,100.0,21.551899568251518,9,5.571428571428571,2.0,16.0,3,4,1,0
2,16.699999999999996,0.3339999999999999,50,3,11,1,16,0.34,0.6599999999999999,31.0,12,9,12,1.4142135381698608,3.0,83.45454545454545,34.0,100.0,26.172030998980002,7,3.8,2.0,7.0,4,4,3,0
3,16.699999999999996,0.3339999999999999,50,3,10,1,16,0.28,0.72,34.0,11,11,14,1.4142135381698608,3.0,81.8,36.0,100.0,27.888348821685373,9,4.444444444444445,3.0,7.0,4,4,2,0
4,18.2,0.364,50,3,9,1,16,0.26,0.74,100.0,15,12,10,2.054804563522339,5.0,100.0,100.0,100.0,0.0,7,3.625,2.0,5.0,5,2,2,0
5,16.849999999999994,0.3369999999999999,50,3,11,1,18,0.4,0.6,31.0,7,10,13,2.4494898319244385,6.0,83.27272727272727,33.0,100.0,26.485299212585183,9,3.6,2.0,7.0,4,5,2,0
6,17.899999999999995,0.3579999999999999,50,3,11,1,17,0.34,0.6599999999999999,35.0,8,14,11,2.4494898319244385,6.0,83.0,37.0,100.0,27.761975303052065,7,4.2,2.0,16.0,3,4,4,0
7,17.899999999999995,0.3579999999999999,50,3,11,1,18,0.4,0.6,32.0,6,11,13,2.943920373916626,7.0,83.63636363636364,35.0,100.0,25.691430220539676,7,4.3,2.0,7.0,2,7,2,0
8,18.35,0.36700000000000005,50,3,11,1,17,0.28,0.72,36.0,12,12,12,0.0,0.0,85.27272727272727,39.0,100.0,24.346330352907245,7,4.3,2.0,10.0,5,3,3,0
9,20.2,0.40399999999999997,50,3,9,1,17,0.22,0.78,74.0,13,14,12,0.8164966106414795,2.0,97.33333333333333,76.0,100.0,7.542472332656507,9,5.125,2.0,12.0,4,4,1,0
10,18.099999999999994,0.3619999999999999,50,3,8,1,16,0.36,0.64,39.0,13,8,11,2.054804563522339,5.0,93.125,45.0,100.0,18.18954026356906,7,5.0,3.0,9.0,4,3,1,0
11,19.400000000000002,0.38800000000000007,50,3,8,1,16,0.3,0.7,26.0,13,11,11,0.9428090453147888,2.0,93.375,47.0,100.0,17.528102435802914,7,5.285714285714286,2.0,7.0,4,3,1,0
12,17.749999999999996,0.3549999999999999,50,3,9,1,17,0.4,0.6,31.0,10,10,10,0.0,0.0,80.55555555555556,34.0,100.0,27.701227855301976,9,4.625,2.0,7.0,2,5,2,0
13,17.799999999999997,0.3559999999999999,50,3,11,1,19,0.28,0.72,37.0,12,9,15,2.4494898319244385,6.0,83.9090909090909,41.0,100.0,25.324995002977325,9,3.8,2.0,8.0,4,5,2,0
14,19.6,0.392,50,3,8,1,16,0.22,0.78,45.0,10,15,14,2.1602468490600586,5.0,94.625,57.0,100.0,14.220913296972174,7,5.571428571428571,2.0,11.0,3,3,2,0
15,18.7,0.374,50,3,11,1,18,0.34,0.6599999999999999,33.0,12,8,13,2.1602468490600586,5.0,89.36363636363636,41.0,100.0,21.469948246000744,8,3.7,2.0,9.0,4,4,3,0
16,19.6,0.392,50,3,9,1,16,0.22,0.78,48.0,13,15,11,1.632993221282959,4.0,90.55555555555556,57.0,100.0,17.670509714783183,7,5.125,2.0,10.0,4,2,3,0
17,16.699999999999996,0.3339999999999999,50,3,10,1,17,0.34,0.6599999999999999,30.0,13,8,12,2.1602468490600586,5.0,82.5,34.0,100.0,26.919323914244206,9,4.0,2.0,7.0,6,2,2,0
18,20.2,0.40399999999999997,50,3,10,1,16,0.22,0.78,72.0,18,8,13,4.082482814788818,10.0,97.7,77.0,100.0,6.9,7,4.777777777777778,3.0,8.0,5,3,2,0
19,17.749999999999996,0.3549999999999999,50,3,10,1,17,0.28,0.72,33.0,9,14,13,2.1602468490600586,5.0,81.8,37.0,100.0,27.036271932350438,7,4.777777777777778,2.0,8.0,2,5,3,0
20,18.45,0.369,50,3,10,1,19,0.28,0.72,37.0,13,11,12,0.8164966106414795,2.0,89.1,41.0,100.0,20.651634317893585,7,4.555555555555555,2.0,8.0,4,4,2,0
21,20.2,0.40399999999999997,50,3,9,1,18,0.26,0.74,74.0,15,10,12,2.054804563522339,5.0,98.44444444444444,86.0,100.0,4.399775527382962,9,5.125,3.0,8.0,5,2,2,0
22,16.699999999999996,0.3339999999999999,50,3,10,1,21,0.36,0.64,34.0,9,10,13,1.699673056602478,4.0,81.8,36.0,100.0,27.106456795383643,7,4.555555555555555,2.0,7.0,3,5,2,0
23,19.2,0.384,50,3,9,1,18,0.28,0.72,100.0,15,9,12,2.4494898319244385,6.0,100.0,100.0,100.0,0.0,7,4.875,2.0,15.0,5,3,1,0
24,19.6,0.392,50,3,9,1,22,0.22,0.78,58.0,12,13,14,0.8164966106414795,2.0,91.44444444444444,60.0,100.0,16.021590371267497,8,5.0,2.0,13.0,4,2,3,0
25,18.6,0.37200000000000005,50,3,7,1,17,0.22,0.78,48.0,14,11,14,1.4142135381698608,3.0,85.42857142857143,49.0,100.0,23.03945152408391,9,6.5,2.0,15.0,2,2,3,0
26,17.749999999999996,0.3549999999999999,50,3,9,1,16,0.32,0.6799999999999999,33.0,10,10,14,1.885617971420288,4.0,80.33333333333333,37.0,100.0,26.78722747048592,9,4.5,2.0,7.0,4,3,2,0
27,18.2,0.364,50,3,8,1,16,0.18,0.8200000000000001,100.0,13,17,11,2.4944381713867188,6.0,100.0,100.0,100.0,0.0,7,4.142857142857143,2.0,9.0,4,2,2,0
