episode,reward,reward_per_step,steps,rooms,charges,full_coverage,full_coverage_step,time_in_C,time_out_C,min_battery,hab1_visits,hab2_visits,hab3_visits,room_std,room_spread
1,18.799999999999997,0.37599999999999995,50,3,11,1,7,0.24,0.76,84.0,10,14,14,1.885617971420288,4.0
2,16.19999999999999,0.3239999999999998,50,3,7,1,13,0.44,0.56,17.0,7,12,9,2.054804563522339,5.0
3,19.299999999999997,0.38599999999999995,50,3,7,1,8,0.16,0.84,24.0,17,14,11,2.4494898319244385,6.0
4,19.15,0.38299999999999995,50,3,10,1,3,0.3,0.7,22.0,12,15,8,2.8674418926239014,7.0
5,14.24999999999999,0.2849999999999998,50,3,8,1,9,0.48,0.52,11.0,9,9,8,0.471404492855072,1.0
6,18.999999999999996,0.37999999999999995,50,3,10,1,8,0.34,0.6599999999999999,54.0,5,18,10,5.3541259765625,13.0
7,19.15,0.38299999999999995,50,3,9,1,17,0.26,0.74,24.0,12,14,11,1.247219204902649,3.0
8,18.999999999999996,0.37999999999999995,50,3,9,1,9,0.2,0.8,42.0,12,15,13,1.2472190856933594,3.0
9,16.499999999999996,0.3299999999999999,50,3,10,1,6,0.24,0.76,30.0,12,10,16,2.4944381713867188,6.0
10,19.000000000000004,0.38000000000000006,50,3,11,1,3,0.28,0.72,67.0,12,11,13,0.8164966106414795,2.0
11,18.799999999999997,0.37599999999999995,50,3,10,1,9,0.28,0.72,100.0,10,19,7,5.099019527435303,12.0
12,19.299999999999997,0.38599999999999995,50,3,10,1,3,0.3,0.7,31.0,12,13,10,1.247219204902649,3.0
13,18.799999999999997,0.37599999999999995,50,3,12,1,7,0.34,0.6599999999999999,82.0,11,13,9,1.632993221282959,4.0
14,17.499999999999993,0.34999999999999987,50,3,10,1,12,0.34,0.6599999999999999,32.0,9,11,13,1.632993221282959,4.0
15,18.249999999999996,0.36499999999999994,50,3,10,1,12,0.3,0.7,31.0,13,13,9,1.885617971420288,4.0
16,19.400000000000002,0.38800000000000007,50,3,9,1,12,0.24,0.76,43.0,13,9,16,2.8674418926239014,7.0
17,18.799999999999997,0.37599999999999995,50,3,10,1,3,0.24,0.76,83.0,12,14,12,0.9428090453147888,2.0
18,18.999999999999996,0.37999999999999995,50,3,11,1,13,0.28,0.72,54.0,10,15,11,2.1602468490600586,5.0
19,19.299999999999997,0.38599999999999995,50,3,11,1,4,0.28,0.72,29.0,8,14,14,2.8284270763397217,6.0
20,18.099999999999998,0.36199999999999993,50,3,11,1,6,0.32,0.6799999999999999,39.0,13,13,8,2.357022523880005,5.0
21,18.099999999999998,0.36199999999999993,50,3,10,1,21,0.26,0.74,38.0,14,7,16,3.858612298965454,9.0
22,15.699999999999992,0.31399999999999983,50,3,7,1,6,0.34,0.6599999999999999,28.0,15,8,10,2.943920373916626,7.0
23,17.349999999999998,0.347,50,3,11,1,3,0.34,0.6599999999999999,31.0,14,9,10,2.1602468490600586,5.0
24,14.899999999999991,0.2979999999999998,50,3,9,1,3,0.38,0.62,21.0,10,10,11,0.471404492855072,1.0
25,18.999999999999996,0.37999999999999995,50,3,9,1,13,0.22,0.78,52.0,13,10,16,2.4494898319244385,6.0
26,16.949999999999992,0.33899999999999986,50,3,8,1,3,0.3,0.7,28.0,8,14,13,2.624669313430786,6.0
27,18.799999999999997,0.37599999999999995,50,3,9,1,17,0.26,0.74,82.0,17,9,11,3.399346351623535,8.0
28,20.199999999999996,0.4039999999999999,50,3,11,1,9,0.28,0.72,76.0,9,16,11,2.943920373916626,7.0
29,12.999999999999988,0.25999999999999973,50,3,8,1,6,0.48,0.52,23.0,8,8,10,0.9428090453147888,2.0
30,20.199999999999996,0.4039999999999999,50,3,9,1,3,0.2,0.8,58.0,11,15,14,1.699673056602478,4.0
31,18.799999999999997,0.37599999999999995,50,3,11,1,3,0.3,0.7,91.0,13,10,12,1.2472190856933594,3.0
32,12.149999999999988,0.24299999999999977,50,3,6,1,3,0.42,0.5800000000000001,22.0,10,8,11,1.247219204902649,3.0
