episode,reward,reward_per_step,steps,rooms,charges,full_coverage,full_coverage_step,time_in_C,time_out_C,min_battery,hab1_visits,hab2_visits,hab3_visits,room_std,room_spread,recharge_battery_mean,recharge_battery_min,recharge_battery_max,recharge_battery_std,first_recharge_step,recharge_gap_mean,recharge_gap_min,recharge_gap_max,recharge_from_hab1,recharge_from_hab2,recharge_from_hab3,recharge_from_other
1,18.8,0.376,50,3,13,1,3,0.28,0.72,100.0,11,10,15,2.1602468490600586,5.0,100.0,100.0,100.0,0.0,4,3.75,2.0,4.0,11,1,1,0
2,18.799999999999997,0.37599999999999995,50,3,10,1,3,0.22,0.78,50.0,15,10,14,2.1602468490600586,5.0,94.6,53.0,100.0,14.022838514366482,4,5.0,2.0,8.0,9,0,1,0
3,19.299999999999997,0.38599999999999995,50,3,12,1,3,0.28,0.72,35.0,9,15,12,2.4494898319244385,6.0,87.58333333333333,37.0,100.0,22.06980717833504,4,4.090909090909091,2.0,6.0,8,3,1,0
4,18.799999999999997,0.37599999999999995,50,3,11,1,3,0.22,0.78,92.0,14,8,17,3.7416574954986572,9.0,99.54545454545455,95.0,100.0,1.4373989364401722,5,4.3,4.0,6.0,11,0,0,0
5,20.2,0.40399999999999997,50,3,12,1,7,0.28,0.72,95.0,10,13,13,1.4142135381698608,3.0,100.0,100.0,100.0,0.0,4,3.727272727272727,3.0,4.0,9,2,1,0
6,18.8,0.376,50,3,13,1,3,0.28,0.72,100.0,10,13,13,1.4142135381698608,3.0,100.0,100.0,100.0,0.0,4,3.75,3.0,4.0,10,2,1,0
7,18.799999999999997,0.37599999999999995,50,3,12,1,3,0.26,0.74,82.0,12,13,12,0.471404492855072,1.0,99.5,94.0,100.0,1.6583123951777,4,4.0,3.0,6.0,10,2,0,0
8,20.2,0.40399999999999997,50,3,12,1,13,0.24,0.76,95.0,8,16,14,3.399346351623535,8.0,100.0,100.0,100.0,0.0,4,3.727272727272727,2.0,5.0,7,4,1,0
9,18.799999999999997,0.37599999999999995,50,3,11,1,3,0.26,0.74,83.0,12,13,12,0.471404492855072,1.0,99.45454545454545,94.0,100.0,1.7248787237282068,5,4.3,2.0,7.0,8,3,0,0
10,18.8,0.376,50,3,12,1,3,0.28,0.72,100.0,11,13,12,0.8164966106414795,2.0,100.0,100.0,100.0,0.0,4,3.727272727272727,3.0,4.0,9,3,0,0
11,18.8,0.376,50,3,13,1,3,0.32,0.6799999999999999,100.0,11,11,12,0.471404492855072,1.0,100.0,100.0,100.0,0.0,4,3.75,3.0,4.0,11,2,0,0
12,18.799999999999997,0.37599999999999995,50,3,10,1,3,0.22,0.78,100.0,14,13,12,0.8164966106414795,2.0,100.0,100.0,100.0,0.0,4,4.555555555555555,4.0,7.0,10,0,0,0
13,18.799999999999997,0.37599999999999995,50,3,12,1,3,0.24,0.76,83.0,13,12,13,0.471404492855072,1.0,99.58333333333333,95.0,100.0,1.3819269959814167,4,4.0,3.0,6.0,11,1,0,0
14,19.2,0.384,50,3,9,1,21,0.26,0.74,57.0,14,8,15,3.0912060737609863,7.0,95.55555555555556,60.0,100.0,12.570787221094179,5,5.5,4.0,11.0,9,0,0,0
15,19.499999999999996,0.3899999999999999,50,3,12,1,13,0.3,0.7,29.0,10,11,14,1.699673056602478,4.0,87.5,32.0,100.0,22.122763540450066,4,4.090909090909091,2.0,6.0,9,2,1,0
16,19.2,0.384,50,3,8,1,3,0.16,0.84,45.0,15,11,16,2.1602468490600586,5.0,95.0,60.0,100.0,13.228756555322953,4,6.428571428571429,2.0,22.0,6,1,1,0
17,17.499999999999993,0.34999999999999987,50,3,9,1,10,0.28,0.72,32.0,12,13,11,0.8164966106414795,2.0,80.22222222222223,34.0,100.0,27.498597046143516,5,5.375,3.0,9.0,6,2,1,0
