episode,reward,reward_per_step,steps,rooms,charges,full_coverage,full_coverage_step,time_in_C,time_out_C,min_battery,hab1_visits,hab2_visits,hab3_visits,room_std,room_spread
1,12.099999999999987,0.24199999999999974,50,3,9,1,3,0.46,0.54,26.0,8,9,10,0.8164966106414795,2.0
2,16.800000000000004,0.3360000000000001,50,3,10,1,3,0.26,0.74,100.0,14,11,12,1.2472190856933594,3.0
3,16.800000000000004,0.3360000000000001,50,3,11,1,10,0.26,0.74,99.0,11,16,10,2.624669313430786,6.0
4,16.800000000000004,0.3360000000000001,50,3,11,1,3,0.24,0.76,100.0,12,13,13,0.471404492855072,1.0
5,16.800000000000004,0.3360000000000001,50,3,12,1,7,0.26,0.74,100.0,9,14,14,2.357022523880005,5.0
6,16.800000000000004,0.3360000000000001,50,3,10,1,14,0.24,0.76,99.0,12,13,13,0.471404492855072,1.0
7,16.800000000000004,0.3360000000000001,50,3,9,1,8,0.24,0.76,100.0,12,14,12,0.9428090453147888,2.0
8,7.9999999999999885,0.15999999999999978,50,3,7,1,3,0.62,0.38,26.0,6,7,6,0.4714045226573944,1.0
9,16.800000000000004,0.3360000000000001,50,3,11,1,3,0.24,0.76,100.0,10,15,13,2.054804563522339,5.0
10,16.800000000000004,0.3360000000000001,50,3,9,1,3,0.22,0.78,100.0,14,15,10,2.1602468490600586,5.0
11,16.2,0.324,50,3,12,1,3,0.28,0.72,100.0,9,14,13,2.1602468490600586,5.0
12,16.200000000000003,0.32400000000000007,50,3,12,1,10,0.3,0.7,100.0,14,8,13,2.624669313430786,6.0
13,7.84999999999999,0.1569999999999998,50,3,7,1,3,0.66,0.33999999999999997,26.0,7,6,4,1.2472190856933594,3.0
14,16.200000000000003,0.32400000000000007,50,3,9,1,3,0.26,0.74,100.0,14,15,8,3.0912060737609863,7.0
15,16.800000000000004,0.3360000000000001,50,3,10,1,3,0.28,0.72,100.0,13,13,10,1.4142135381698608,3.0
16,12.59999999999999,0.25199999999999984,50,3,9,1,6,0.52,0.48,34.0,8,8,8,0.0,0.0
17,16.200000000000003,0.32400000000000007,50,3,7,1,3,0.18,0.8200000000000001,100.0,16,14,11,2.054804563522339,5.0
18,12.99999999999999,0.2599999999999998,50,3,9,1,3,0.44,0.56,34.0,7,10,11,1.699673056602478,4.0
19,8.149999999999988,0.16299999999999976,50,3,6,1,7,0.62,0.38,24.0,5,7,7,0.942808985710144,2.0
20,10.299999999999985,0.20599999999999968,50,3,6,1,3,0.58,0.42000000000000004,23.0,9,8,4,2.1602468490600586,5.0
21,16.200000000000003,0.32400000000000007,50,3,10,1,3,0.22,0.78,99.0,14,14,11,1.4142135381698608,3.0
22,16.200000000000003,0.32400000000000007,50,3,9,1,3,0.28,0.72,99.0,11,17,8,3.7416574954986572,9.0
23,10.449999999999983,0.20899999999999966,50,3,6,1,3,0.64,0.36,19.0,8,5,5,1.4142135381698608,3.0
24,8.449999999999985,0.1689999999999997,50,3,6,1,3,0.6,0.4,27.0,8,6,6,0.942808985710144,2.0
25,16.800000000000004,0.3360000000000001,50,3,12,1,6,0.28,0.72,100.0,11,13,12,0.8164966106414795,2.0
26,16.200000000000003,0.32400000000000007,50,3,9,1,6,0.22,0.78,100.0,12,17,10,2.943920373916626,7.0
27,16.800000000000004,0.3360000000000001,50,3,9,1,3,0.2,0.8,98.0,14,12,14,0.9428090453147888,2.0
28,16.200000000000003,0.32400000000000007,50,3,10,1,3,0.24,0.76,100.0,12,13,13,0.471404492855072,1.0
29,12.19999999999999,0.2439999999999998,50,3,8,1,7,0.5,0.5,34.0,8,9,8,0.471404492855072,1.0
30,8.749999999999982,0.17499999999999966,50,3,7,1,8,0.58,0.42000000000000004,25.0,6,6,9,1.4142135381698608,3.0
31,16.200000000000003,0.32400000000000007,50,3,8,1,6,0.22,0.78,100.0,12,15,12,1.4142135381698608,3.0
32,10.849999999999987,0.21699999999999975,50,3,6,1,3,0.52,0.48,28.0,8,7,9,0.8164966106414795,2.0
33,16.800000000000004,0.3360000000000001,50,3,10,1,6,0.3,0.7,100.0,12,14,9,2.054804563522339,5.0
34,16.200000000000003,0.32400000000000007,50,3,11,1,7,0.3,0.7,100.0,12,11,12,0.471404492855072,1.0
35,10.149999999999991,0.20299999999999982,50,3,6,1,12,0.48,0.52,31.0,4,14,8,4.109609603881836,10.0
36,10.049999999999983,0.20099999999999965,50,3,7,1,4,0.54,0.45999999999999996,26.0,8,8,7,0.4714045226573944,1.0
37,16.200000000000003,0.32400000000000007,50,3,8,1,6,0.16,0.84,100.0,12,17,13,2.1602468490600586,5.0
38,16.800000000000004,0.3360000000000001,50,3,11,1,6,0.26,0.74,100.0,14,11,12,1.2472190856933594,3.0
39,16.800000000000004,0.3360000000000001,50,3,8,1,3,0.16,0.84,100.0,17,14,11,2.4494898319244385,6.0
40,16.800000000000004,0.3360000000000001,50,3,8,1,3,0.18,0.8200000000000001,99.0,13,13,15,0.9428090453147888,2.0
41,16.200000000000003,0.32400000000000007,50,3,8,1,11,0.22,0.78,100.0,11,13,15,1.632993221282959,4.0
42,16.200000000000003,0.32400000000000007,50,3,10,1,3,0.26,0.74,100.0,15,13,9,2.4944381713867188,6.0
43,16.800000000000004,0.3360000000000001,50,3,9,1,3,0.24,0.76,100.0,12,13,13,0.471404492855072,1.0
44,10.349999999999984,0.20699999999999968,50,3,8,1,6,0.5,0.5,28.0,8,4,13,3.6817867755889893,9.0
45,16.200000000000003,0.32400000000000007,50,3,9,1,3,0.22,0.78,100.0,13,14,12,0.8164966106414795,2.0
46,8.89999999999998,0.1779999999999996,50,3,6,1,4,0.56,0.43999999999999995,23.0,5,7,10,2.054804563522339,5.0
47,8.599999999999984,0.17199999999999968,50,3,7,1,3,0.64,0.36,25.0,6,4,8,1.632993221282959,4.0
48,16.800000000000004,0.3360000000000001,50,3,12,1,3,0.28,0.72,100.0,12,12,12,0.0,0.0
49,16.800000000000004,0.3360000000000001,50,3,10,1,3,0.26,0.74,99.0,13,13,11,0.9428090453147888,2.0
50,16.800000000000004,0.3360000000000001,50,3,9,1,3,0.24,0.76,100.0,14,13,11,1.247219204902649,3.0
51,16.800000000000004,0.3360000000000001,50,3,10,1,14,0.28,0.72,100.0,11,12,13,0.8164966106414795,2.0
52,16.800000000000004,0.3360000000000001,50,3,9,1,3,0.26,0.74,100.0,14,14,9,2.357022523880005,5.0
53,16.200000000000003,0.32400000000000007,50,3,11,1,10,0.26,0.74,100.0,13,8,16,3.2998316287994385,8.0
54,16.800000000000004,0.3360000000000001,50,3,10,1,6,0.24,0.76,100.0,7,18,13,4.496912479400635,11.0
55,8.449999999999985,0.1689999999999997,50,3,5,1,3,0.64,0.36,25.0,7,6,5,0.8164966106414795,2.0
56,16.200000000000003,0.32400000000000007,50,3,8,1,3,0.18,0.8200000000000001,100.0,13,15,13,0.9428090453147888,2.0
57,10.949999999999996,0.21899999999999992,50,3,8,1,6,0.5,0.5,32.0,8,9,8,0.471404492855072,1.0
58,16.200000000000003,0.32400000000000007,50,3,9,1,7,0.22,0.78,100.0,15,12,12,1.4142135381698608,3.0
59,9.749999999999991,0.1949999999999998,50,3,8,1,7,0.6,0.4,30.0,7,6,7,0.4714045226573944,1.0
60,16.800000000000004,0.3360000000000001,50,3,9,1,3,0.22,0.78,100.0,17,10,12,2.943920373916626,7.0
61,8.449999999999985,0.1689999999999997,50,3,7,1,4,0.62,0.38,27.0,6,8,5,1.2472190856933594,3.0
62,16.200000000000003,0.32400000000000007,50,3,11,1,3,0.28,0.72,100.0,15,12,9,2.4494898319244385,6.0
63,16.800000000000004,0.3360000000000001,50,3,10,1,3,0.28,0.72,99.0,12,13,11,0.8164966106414795,2.0
64,16.800000000000004,0.3360000000000001,50,3,11,1,3,0.22,0.78,100.0,12,13,14,0.8164966106414795,2.0
65,16.200000000000003,0.32400000000000007,50,3,11,1,3,0.26,0.74,100.0,12,12,13,0.471404492855072,1.0
66,16.800000000000004,0.3360000000000001,50,3,8,1,3,0.22,0.78,100.0,15,16,8,3.5590262413024902,8.0
67,11.14999999999999,0.22299999999999978,50,3,9,1,10,0.46,0.54,32.0,11,7,9,1.632993221282959,4.0
68,16.800000000000004,0.3360000000000001,50,3,10,1,3,0.26,0.74,100.0,11,14,12,1.2472190856933594,3.0
69,16.200000000000003,0.32400000000000007,50,3,11,1,3,0.3,0.7,100.0,12,13,10,1.247219204902649,3.0
70,16.200000000000003,0.32400000000000007,50,3,11,1,3,0.3,0.7,98.0,12,15,8,2.8674418926239014,7.0
71,10.799999999999997,0.21599999999999994,50,3,9,1,7,0.48,0.52,35.0,10,8,8,0.9428090453147888,2.0
72,16.800000000000004,0.3360000000000001,50,3,10,1,3,0.26,0.74,100.0,11,15,11,1.885617971420288,4.0
73,16.800000000000004,0.3360000000000001,50,3,9,1,3,0.2,0.8,100.0,13,14,13,0.471404492855072,1.0
74,16.200000000000003,0.32400000000000007,50,3,8,1,3,0.2,0.8,100.0,14,11,15,1.699673056602478,4.0
75,16.200000000000003,0.32400000000000007,50,3,10,1,10,0.24,0.76,100.0,16,11,11,2.357022523880005,5.0
76,16.200000000000003,0.32400000000000007,50,3,7,1,3,0.24,0.76,100.0,17,11,10,3.0912060737609863,7.0
77,16.200000000000003,0.32400000000000007,50,3,11,1,7,0.28,0.72,100.0,13,12,11,0.8164966106414795,2.0
78,10.449999999999982,0.20899999999999963,50,3,6,1,3,0.52,0.48,21.0,8,8,8,0.0,0.0
79,16.800000000000004,0.3360000000000001,50,3,8,1,3,0.26,0.74,100.0,15,15,7,3.771235942840576,8.0
80,8.89999999999998,0.1779999999999996,50,3,7,1,3,0.64,0.36,25.0,7,6,5,0.8164966106414795,2.0
81,16.200000000000003,0.32400000000000007,50,3,13,1,7,0.32,0.6799999999999999,100.0,9,12,13,1.699673056602478,4.0
82,16.800000000000004,0.3360000000000001,50,3,10,1,3,0.24,0.76,99.0,14,13,11,1.247219204902649,3.0
83,16.800000000000004,0.3360000000000001,50,3,10,1,3,0.26,0.74,100.0,12,15,10,2.054804563522339,5.0
84,16.200000000000003,0.32400000000000007,50,3,11,1,3,0.28,0.72,100.0,13,11,12,0.8164966106414795,2.0
85,16.800000000000004,0.3360000000000001,50,3,11,1,7,0.26,0.74,100.0,15,9,13,2.4944381713867188,6.0
86,16.800000000000004,0.3360000000000001,50,3,9,1,3,0.22,0.78,100.0,16,12,11,2.1602468490600586,5.0
87,8.89999999999998,0.1779999999999996,50,3,7,1,3,0.62,0.38,26.0,8,5,6,1.2472190856933594,3.0
88,16.800000000000004,0.3360000000000001,50,3,11,1,3,0.26,0.74,99.0,12,14,11,1.247219204902649,3.0
89,16.200000000000003,0.32400000000000007,50,3,8,1,3,0.22,0.78,100.0,20,9,10,4.966554641723633,11.0
90,16.800000000000004,0.3360000000000001,50,3,10,1,3,0.28,0.72,100.0,12,15,9,2.4494898319244385,6.0
91,10.449999999999983,0.20899999999999966,50,3,6,1,3,0.56,0.43999999999999995,20.0,9,7,6,1.2472190856933594,3.0
92,10.799999999999997,0.21599999999999994,50,3,8,1,4,0.48,0.52,36.0,6,8,12,2.4944381713867188,6.0
93,16.200000000000003,0.32400000000000007,50,3,12,1,3,0.3,0.7,100.0,11,12,12,0.471404492855072,1.0
94,12.700000000000008,0.25400000000000017,50,3,11,1,3,0.4,0.6,40.0,10,8,12,1.632993221282959,4.0
95,16.800000000000004,0.3360000000000001,50,3,10,1,7,0.28,0.72,100.0,9,16,11,2.943920373916626,7.0
96,16.200000000000003,0.32400000000000007,50,3,10,1,3,0.28,0.72,100.0,15,13,8,2.943920373916626,7.0
97,16.800000000000004,0.3360000000000001,50,3,8,1,7,0.22,0.78,99.0,16,13,10,2.4494898319244385,6.0
98,16.800000000000004,0.3360000000000001,50,3,9,1,11,0.22,0.78,100.0,10,17,12,2.943920373916626,7.0
99,16.800000000000004,0.3360000000000001,50,3,11,1,3,0.28,0.72,100.0,13,13,10,1.4142135381698608,3.0
