episode,reward,reward_per_step,steps,rooms,charges,full_coverage,full_coverage_step,time_in_C,time_out_C,min_battery,hab1_visits,hab2_visits,hab3_visits,room_std,room_spread,recharge_battery_mean,recharge_battery_min,recharge_battery_max,recharge_battery_std,first_recharge_step,recharge_gap_mean,recharge_gap_min,recharge_gap_max,recharge_from_hab1,recharge_from_hab2,recharge_from_hab3,recharge_from_other
1,16.800000000000004,0.3360000000000001,50,3,10,1,7,0.26,0.74,100.0,15,11,11,1.885617971420288,4.0,100.0,100.0,100.0,0.0,5,4.555555555555555,4.0,8.0,8,2,0,0
2,16.800000000000004,0.3360000000000001,50,3,10,1,3,0.28,0.72,98.0,12,16,8,3.265986442565918,8.0,100.0,100.0,100.0,0.0,4,4.666666666666667,4.0,8.0,6,4,0,0
3,16.200000000000003,0.32400000000000007,50,3,12,1,3,0.32,0.6799999999999999,100.0,16,7,11,3.6817870140075684,9.0,100.0,100.0,100.0,0.0,4,4.181818181818182,4.0,5.0,11,1,0,0
4,16.800000000000004,0.3360000000000001,50,3,11,1,4,0.26,0.74,99.0,10,14,13,1.699673056602478,4.0,100.0,100.0,100.0,0.0,5,4.1,3.0,5.0,6,5,0,0
5,16.200000000000003,0.32400000000000007,50,3,12,1,3,0.3,0.7,100.0,11,14,10,1.699673056602478,4.0,100.0,100.0,100.0,0.0,4,4.181818181818182,3.0,5.0,8,4,0,0
6,16.200000000000003,0.32400000000000007,50,3,8,1,3,0.16,0.84,99.0,13,15,14,0.8164966106414795,2.0,100.0,100.0,100.0,0.0,5,4.714285714285714,4.0,8.0,7,1,0,0
7,10.049999999999983,0.20099999999999965,50,3,6,1,7,0.54,0.45999999999999996,26.0,7,7,9,0.942808985710144,2.0,69.33333333333333,31.0,100.0,28.749879226799468,5,5.0,3.0,8.0,4,1,1,0
8,16.200000000000003,0.32400000000000007,50,3,11,1,7,0.38,0.62,100.0,13,11,7,2.4944381713867188,6.0,100.0,100.0,100.0,0.0,4,4.6,3.0,9.0,6,5,0,0
9,16.200000000000003,0.32400000000000007,50,3,9,1,7,0.18,0.8200000000000001,100.0,11,15,15,1.885617971420288,4.0,100.0,100.0,100.0,0.0,4,5.75,4.0,17.0,6,3,0,0
10,16.800000000000004,0.3360000000000001,50,3,9,1,6,0.28,0.72,99.0,18,11,7,4.546060562133789,11.0,100.0,100.0,100.0,0.0,4,5.25,4.0,12.0,6,3,0,0
11,9.949999999999985,0.1989999999999997,50,3,6,1,7,0.52,0.48,27.0,8,7,9,0.8164966106414795,2.0,69.33333333333333,30.0,100.0,29.072705794649078,5,6.0,4.0,8.0,4,0,2,0
12,16.200000000000003,0.32400000000000007,50,3,8,1,10,0.2,0.8,100.0,12,17,11,2.624669313430786,6.0,100.0,100.0,100.0,0.0,4,5.428571428571429,4.0,13.0,5,3,0,0
13,16.800000000000004,0.3360000000000001,50,3,7,1,6,0.24,0.76,100.0,10,16,12,2.4944381713867188,6.0,100.0,100.0,100.0,0.0,4,6.333333333333333,3.0,9.0,4,3,0,0
14,11.849999999999998,0.23699999999999996,50,3,7,1,7,0.48,0.52,35.0,10,6,10,1.885617971420288,4.0,76.28571428571429,40.0,100.0,24.63861247087173,4,5.833333333333333,3.0,12.0,5,2,0,0
15,16.800000000000004,0.3360000000000001,50,3,8,1,10,0.28,0.72,100.0,16,12,8,3.265986442565918,8.0,100.0,100.0,100.0,0.0,5,5.857142857142857,4.0,12.0,5,3,0,0
16,16.800000000000004,0.3360000000000001,50,3,6,1,3,0.18,0.8200000000000001,100.0,9,17,15,3.399346351623535,8.0,100.0,100.0,100.0,0.0,4,7.8,4.0,13.0,4,2,0,0
17,8.749999999999982,0.17499999999999966,50,3,6,1,3,0.6,0.4,24.0,7,8,5,1.2472190856933594,3.0,58.833333333333336,27.0,100.0,27.8532862613293,5,5.0,4.0,7.0,4,1,1,0
18,16.800000000000004,0.3360000000000001,50,3,9,1,6,0.28,0.72,100.0,5,21,10,6.68331241607666,16.0,100.0,100.0,100.0,0.0,4,4.75,4.0,8.0,3,6,0,0
19,16.800000000000004,0.3360000000000001,50,3,9,1,6,0.26,0.74,100.0,13,12,12,0.471404492855072,1.0,100.0,100.0,100.0,0.0,4,5.375,4.0,8.0,6,3,0,0
20,16.200000000000003,0.32400000000000007,50,3,10,1,7,0.32,0.6799999999999999,100.0,18,7,9,4.784233570098877,11.0,100.0,100.0,100.0,0.0,4,5.111111111111111,4.0,12.0,8,2,0,0
21,10.499999999999984,0.2099999999999997,50,3,8,1,7,0.54,0.45999999999999996,28.0,6,10,7,1.6996731758117676,4.0,65.75,31.0,100.0,27.788261910382232,4,4.428571428571429,2.0,7.0,3,4,1,0
22,12.74999999999999,0.2549999999999998,50,3,9,1,6,0.5,0.5,36.0,9,6,10,1.699673056602478,4.0,72.33333333333333,39.0,100.0,25.9101009904117,4,4.375,3.0,7.0,6,1,2,0
23,8.149999999999988,0.16299999999999976,50,3,7,1,8,0.66,0.33999999999999997,27.0,6,7,4,1.2472190856933594,3.0,61.57142857142857,30.0,100.0,27.432291414406087,5,4.166666666666667,2.0,7.0,3,3,1,0
24,16.200000000000003,0.32400000000000007,50,3,12,1,3,0.26,0.74,100.0,11,11,15,1.885617971420288,4.0,100.0,100.0,100.0,0.0,4,4.181818181818182,4.0,5.0,8,4,0,0
25,16.200000000000003,0.32400000000000007,50,3,8,1,3,0.22,0.78,99.0,14,13,12,0.8164966106414795,2.0,100.0,100.0,100.0,0.0,4,6.571428571428571,4.0,9.0,6,2,0,0
26,16.200000000000003,0.32400000000000007,50,3,10,1,3,0.24,0.76,100.0,15,11,12,1.699673056602478,4.0,100.0,100.0,100.0,0.0,4,5.111111111111111,4.0,13.0,9,1,0,0
27,16.200000000000003,0.32400000000000007,50,3,13,1,7,0.36,0.64,100.0,9,11,12,1.247219204902649,3.0,100.0,100.0,100.0,0.0,4,3.8333333333333335,2.0,4.0,6,7,0,0
28,16.200000000000003,0.32400000000000007,50,3,9,1,7,0.24,0.76,100.0,15,11,12,1.699673056602478,4.0,100.0,100.0,100.0,0.0,4,4.25,3.0,5.0,7,2,0,0
29,10.349999999999985,0.2069999999999997,50,3,7,1,6,0.54,0.45999999999999996,28.0,6,8,9,1.2472190856933594,3.0,67.28571428571429,30.0,100.0,29.182745810859274,4,5.0,3.0,7.0,4,2,1,0
30,9.04999999999998,0.18099999999999958,50,3,6,1,3,0.64,0.36,21.0,6,5,7,0.8164966106414795,2.0,59.666666666666664,25.0,100.0,26.662499674428293,5,4.0,2.0,7.0,5,1,0,0
31,16.200000000000003,0.32400000000000007,50,3,9,1,6,0.28,0.72,100.0,15,11,10,2.1602468490600586,5.0,100.0,100.0,100.0,0.0,4,5.75,4.0,8.0,8,1,0,0
32,16.200000000000003,0.32400000000000007,50,3,10,1,3,0.22,0.78,100.0,14,16,9,2.943920373916626,7.0,100.0,100.0,100.0,0.0,4,5.111111111111111,2.0,9.0,8,2,0,0
33,16.200000000000003,0.32400000000000007,50,3,7,1,3,0.22,0.78,100.0,13,14,12,0.8164966106414795,2.0,100.0,100.0,100.0,0.0,4,6.333333333333333,4.0,12.0,3,4,0,0
34,16.200000000000003,0.32400000000000007,50,3,10,1,3,0.22,0.78,100.0,10,14,15,2.1602468490600586,5.0,100.0,100.0,100.0,0.0,4,5.111111111111111,4.0,13.0,6,4,0,0
35,10.29999999999999,0.2059999999999998,50,3,7,1,3,0.5,0.5,27.0,8,7,10,1.247219204902649,3.0,75.42857142857143,32.0,100.0,26.41891715558133,5,4.5,3.0,8.0,6,1,0,0
36,16.200000000000003,0.32400000000000007,50,3,10,1,3,0.2,0.8,100.0,15,13,12,1.247219204902649,3.0,100.0,100.0,100.0,0.0,5,4.555555555555555,4.0,8.0,8,2,0,0
37,8.599999999999984,0.17199999999999968,50,3,7,1,4,0.64,0.36,25.0,6,7,5,0.8164966106414795,2.0,54.285714285714285,27.0,100.0,27.737104008448867,5,4.0,3.0,7.0,5,0,2,0
38,16.800000000000004,0.3360000000000001,50,3,10,1,3,0.22,0.78,99.0,14,12,13,0.8164966106414795,2.0,100.0,100.0,100.0,0.0,4,4.666666666666667,3.0,9.0,8,2,0,0
39,10.299999999999983,0.20599999999999966,50,3,6,1,3,0.54,0.45999999999999996,24.0,8,6,9,1.2472190856933594,3.0,71.83333333333333,28.0,100.0,29.40757649918734,4,5.2,3.0,7.0,4,2,0,0
40,16.800000000000004,0.3360000000000001,50,3,8,1,4,0.18,0.8200000000000001,98.0,13,15,13,0.9428090453147888,2.0,100.0,100.0,100.0,0.0,5,5.857142857142857,4.0,9.0,7,1,0,0
41,10.349999999999984,0.20699999999999968,50,3,8,1,7,0.52,0.48,29.0,9,8,7,0.8164966106414795,2.0,61.25,31.0,100.0,28.481353549296074,4,4.285714285714286,2.0,7.0,5,1,2,0
42,16.800000000000004,0.3360000000000001,50,3,10,1,11,0.26,0.74,100.0,11,13,13,0.9428090453147888,2.0,100.0,100.0,100.0,0.0,4,4.666666666666667,4.0,9.0,7,3,0,0
43,11.400000000000002,0.22800000000000004,50,3,6,1,3,0.42,0.5800000000000001,35.0,10,11,8,1.247219204902649,3.0,70.33333333333333,39.0,100.0,25.355253674315485,4,6.8,3.0,16.0,4,2,0,0
44,16.200000000000003,0.32400000000000007,50,3,11,1,3,0.24,0.76,98.0,13,13,12,0.471404492855072,1.0,100.0,100.0,100.0,0.0,4,4.2,4.0,5.0,7,4,0,0
45,16.200000000000003,0.32400000000000007,50,3,11,1,3,0.26,0.74,100.0,14,13,10,1.699673056602478,4.0,100.0,100.0,100.0,0.0,5,4.5,3.0,8.0,9,2,0,0
46,16.800000000000004,0.3360000000000001,50,3,11,1,7,0.24,0.76,100.0,13,11,14,1.247219204902649,3.0,100.0,100.0,100.0,0.0,4,4.2,4.0,5.0,8,3,0,0
47,16.200000000000003,0.32400000000000007,50,3,9,1,6,0.18,0.8200000000000001,99.0,9,16,16,3.2998316287994385,7.0,100.0,100.0,100.0,0.0,4,5.375,4.0,9.0,5,4,0,0
48,16.200000000000003,0.32400000000000007,50,3,13,1,6,0.38,0.62,100.0,12,8,11,1.699673056602478,4.0,100.0,100.0,100.0,0.0,4,3.8333333333333335,2.0,5.0,9,4,0,0
49,10.699999999999994,0.21399999999999988,50,3,8,1,16,0.46,0.54,34.0,10,5,12,2.943920373916626,7.0,68.375,37.0,100.0,30.20321795769451,4,5.0,2.0,9.0,5,1,2,0
50,12.149999999999995,0.2429999999999999,50,3,9,1,10,0.52,0.48,35.0,8,6,10,1.632993221282959,4.0,72.55555555555556,38.0,100.0,26.550208666730168,4,4.625,3.0,7.0,6,2,1,0
51,10.149999999999991,0.20299999999999982,50,3,7,1,7,0.52,0.48,28.0,6,10,8,1.632993221282959,4.0,75.14285714285714,32.0,100.0,26.642761393929828,4,4.666666666666667,3.0,8.0,5,2,0,0
52,10.249999999999998,0.20499999999999996,50,3,8,1,3,0.48,0.52,35.0,9,7,10,1.247219204902649,3.0,67.5,37.0,100.0,26.80951323690902,4,4.857142857142857,2.0,9.0,6,0,2,0
53,16.800000000000004,0.3360000000000001,50,3,10,1,3,0.26,0.74,100.0,12,15,10,2.054804563522339,5.0,100.0,100.0,100.0,0.0,4,4.666666666666667,3.0,8.0,6,4,0,0
54,16.800000000000004,0.3360000000000001,50,3,10,1,11,0.24,0.76,99.0,9,16,13,2.8674418926239014,7.0,100.0,100.0,100.0,0.0,4,4.666666666666667,3.0,10.0,4,6,0,0
55,16.800000000000004,0.3360000000000001,50,3,11,1,6,0.26,0.74,99.0,9,15,13,2.4944381713867188,6.0,100.0,100.0,100.0,0.0,4,4.3,2.0,9.0,6,5,0,0
56,16.800000000000004,0.3360000000000001,50,3,10,1,3,0.24,0.76,100.0,8,16,14,3.399346351623535,8.0,100.0,100.0,100.0,0.0,4,4.222222222222222,4.0,6.0,6,4,0,0
57,16.200000000000003,0.32400000000000007,50,3,11,1,3,0.3,0.7,100.0,10,15,10,2.357022523880005,5.0,100.0,100.0,100.0,0.0,4,4.6,4.0,8.0,7,4,0,0
58,16.800000000000004,0.3360000000000001,50,3,10,1,7,0.2,0.8,100.0,11,16,13,2.054804563522339,5.0,100.0,100.0,100.0,0.0,4,4.666666666666667,4.0,8.0,6,4,0,0
59,16.800000000000004,0.3360000000000001,50,3,12,1,3,0.34,0.6599999999999999,100.0,14,12,7,2.943920373916626,7.0,100.0,100.0,100.0,0.0,4,3.8181818181818183,2.0,4.0,8,4,0,0
60,16.200000000000003,0.32400000000000007,50,3,11,1,7,0.26,0.74,100.0,15,10,12,2.054804563522339,5.0,100.0,100.0,100.0,0.0,4,4.6,4.0,8.0,8,3,0,0
61,10.349999999999985,0.2069999999999997,50,3,8,1,3,0.52,0.48,28.0,7,9,8,0.8164966106414795,2.0,63.375,31.0,100.0,28.41626954756729,4,4.428571428571429,2.0,7.0,5,2,1,0
62,16.200000000000003,0.32400000000000007,50,3,12,1,3,0.24,0.76,100.0,16,9,13,2.8674418926239014,7.0,100.0,100.0,100.0,0.0,4,4.181818181818182,4.0,5.0,11,1,0,0
63,16.800000000000004,0.3360000000000001,50,3,10,1,3,0.24,0.76,100.0,13,13,12,0.471404492855072,1.0,100.0,100.0,100.0,0.0,4,4.666666666666667,4.0,8.0,6,4,0,0
64,16.200000000000003,0.32400000000000007,50,3,11,1,3,0.22,0.78,100.0,11,12,16,2.1602468490600586,5.0,100.0,100.0,100.0,0.0,4,4.6,4.0,9.0,8,3,0,0
65,16.800000000000004,0.3360000000000001,50,3,10,1,3,0.24,0.76,100.0,12,14,12,0.9428090453147888,2.0,100.0,100.0,100.0,0.0,4,4.666666666666667,4.0,8.0,8,2,0,0
66,16.800000000000004,0.3360000000000001,50,3,9,1,3,0.18,0.8200000000000001,100.0,13,14,14,0.471404492855072,1.0,100.0,100.0,100.0,0.0,4,5.25,4.0,13.0,6,3,0,0
67,16.800000000000004,0.3360000000000001,50,3,11,1,3,0.24,0.76,100.0,12,11,15,1.699673056602478,4.0,100.0,100.0,100.0,0.0,4,3.8,2.0,4.0,8,3,0,0
68,16.200000000000003,0.32400000000000007,50,3,11,1,3,0.24,0.76,100.0,13,12,13,0.471404492855072,1.0,100.0,100.0,100.0,0.0,4,4.2,4.0,5.0,8,3,0,0
