episode,reward,reward_per_step,steps,rooms,charges,full_coverage,full_coverage_step,time_in_C,time_out_C,min_battery,hab1_visits,hab2_visits,hab3_visits,room_std,room_spread
1,17.400000000000006,0.3480000000000001,50,3,17,1,7,0.42,0.5800000000000001,100.0,9,9,11,0.9428090453147888,2.0
2,16.000000000000004,0.32000000000000006,50,3,13,1,5,0.28,0.72,100.0,16,9,11,2.943920373916626,7.0
3,16.20000000000001,0.3240000000000002,50,3,14,1,17,0.44,0.56,100.0,8,11,9,1.2472190856933594,3.0
4,16.200000000000003,0.32400000000000007,50,3,13,1,10,0.32,0.6799999999999999,100.0,16,10,8,3.399346113204956,8.0
5,16.200000000000006,0.3240000000000001,50,3,16,1,4,0.38,0.62,100.0,12,8,11,1.699673056602478,4.0
6,16.200000000000003,0.32400000000000007,50,3,16,1,4,0.38,0.62,100.0,11,10,10,0.471404492855072,1.0
7,16.200000000000003,0.32400000000000007,50,3,15,1,4,0.32,0.6799999999999999,100.0,10,14,10,1.885617971420288,4.0
8,16.200000000000006,0.3240000000000001,50,3,15,1,7,0.38,0.62,100.0,12,10,9,1.247219204902649,3.0
9,16.200000000000003,0.32400000000000007,50,3,18,1,4,0.38,0.62,100.0,8,12,11,1.699673056602478,4.0
10,16.200000000000003,0.32400000000000007,50,3,16,1,4,0.36,0.64,100.0,11,12,9,1.247219204902649,3.0
11,16.200000000000003,0.32400000000000007,50,3,17,1,4,0.34,0.6599999999999999,100.0,10,13,10,1.4142135381698608,3.0
12,17.400000000000006,0.3480000000000001,50,3,18,1,7,0.42,0.5800000000000001,100.0,9,10,10,0.471404492855072,1.0
13,16.20000000000001,0.3240000000000002,50,3,16,1,8,0.42,0.5800000000000001,100.0,10,10,9,0.471404492855072,1.0
14,17.400000000000006,0.3480000000000001,50,3,16,1,12,0.44,0.56,100.0,10,12,6,2.4944381713867188,6.0
15,16.200000000000003,0.32400000000000007,50,3,15,1,12,0.36,0.64,100.0,7,15,10,3.2998316287994385,8.0
16,17.400000000000002,0.34800000000000003,50,3,16,1,9,0.42,0.5800000000000001,100.0,8,13,8,2.357022523880005,5.0
17,16.200000000000006,0.3240000000000001,50,3,18,1,7,0.44,0.56,100.0,8,12,8,1.885617971420288,4.0
18,16.200000000000003,0.32400000000000007,50,3,17,1,4,0.4,0.6,100.0,10,10,10,0.0,0.0
19,17.400000000000006,0.3480000000000001,50,3,15,1,5,0.38,0.62,100.0,9,10,12,1.247219204902649,3.0
20,16.200000000000003,0.32400000000000007,50,3,15,1,4,0.32,0.6799999999999999,100.0,11,13,10,1.247219204902649,3.0
21,16.200000000000003,0.32400000000000007,50,3,14,1,9,0.36,0.64,100.0,10,12,10,0.9428090453147888,2.0
22,16.200000000000006,0.3240000000000001,50,3,16,1,7,0.42,0.5800000000000001,100.0,10,12,7,2.054804563522339,5.0
23,16.200000000000003,0.32400000000000007,50,3,14,1,5,0.32,0.6799999999999999,100.0,12,14,8,2.4944381713867188,6.0
24,16.200000000000003,0.32400000000000007,50,3,13,1,4,0.32,0.6799999999999999,95.0,11,13,10,1.247219204902649,3.0
25,16.200000000000003,0.32400000000000007,50,3,18,1,13,0.4,0.6,100.0,3,14,13,4.966554641723633,11.0
26,16.200000000000003,0.32400000000000007,50,3,13,1,9,0.28,0.72,100.0,10,14,12,1.632993221282959,4.0
27,16.000000000000007,0.3200000000000001,50,3,16,1,4,0.38,0.62,100.0,10,10,11,0.471404492855072,1.0
28,16.200000000000006,0.3240000000000001,50,3,15,1,4,0.38,0.62,100.0,8,12,11,1.699673056602478,4.0
29,16.200000000000006,0.3240000000000001,50,3,14,1,5,0.4,0.6,100.0,11,7,12,2.1602468490600586,5.0
30,16.200000000000006,0.3240000000000001,50,3,16,1,7,0.42,0.5800000000000001,100.0,9,11,9,0.9428090453147888,2.0
31,17.400000000000006,0.3480000000000001,50,3,13,1,4,0.3,0.7,100.0,12,10,13,1.247219204902649,3.0
32,16.200000000000003,0.32400000000000007,50,3,15,1,4,0.34,0.6599999999999999,100.0,13,8,12,2.1602468490600586,5.0
33,16.200000000000006,0.3240000000000001,50,3,17,1,5,0.4,0.6,100.0,8,10,12,1.632993221282959,4.0
34,17.400000000000002,0.34800000000000003,50,3,15,1,9,0.38,0.62,100.0,8,10,13,2.054804563522339,5.0
35,16.200000000000006,0.3240000000000001,50,3,17,1,4,0.38,0.62,99.0,11,10,10,0.471404492855072,1.0
36,16.200000000000003,0.32400000000000007,50,3,14,1,4,0.28,0.72,100.0,11,13,12,0.8164966106414795,2.0
37,16.200000000000006,0.3240000000000001,50,3,15,1,4,0.34,0.6599999999999999,100.0,11,12,10,0.8164966106414795,2.0
38,17.400000000000002,0.34800000000000003,50,3,14,1,5,0.34,0.6599999999999999,100.0,13,11,9,1.632993221282959,4.0
39,17.400000000000002,0.34800000000000003,50,3,16,1,4,0.36,0.64,100.0,8,12,12,1.885617971420288,4.0
40,16.200000000000006,0.3240000000000001,50,3,17,1,4,0.4,0.6,100.0,11,9,10,0.8164966106414795,2.0
41,17.400000000000006,0.3480000000000001,50,3,15,1,7,0.44,0.56,100.0,10,6,12,2.4944381713867188,6.0
42,16.200000000000003,0.32400000000000007,50,3,17,1,4,0.4,0.6,100.0,8,14,8,2.8284270763397217,6.0
43,16.20000000000001,0.3240000000000002,50,3,16,1,7,0.42,0.5800000000000001,100.0,11,10,8,1.247219204902649,3.0
44,16.200000000000006,0.3240000000000001,50,3,14,1,5,0.32,0.6799999999999999,100.0,11,11,12,0.471404492855072,1.0
45,16.200000000000003,0.32400000000000007,50,3,16,1,4,0.36,0.64,100.0,9,12,11,1.2472190856933594,3.0
46,17.400000000000002,0.34800000000000003,50,3,17,1,18,0.44,0.56,100.0,4,14,10,4.109609603881836,10.0
47,16.000000000000007,0.3200000000000001,50,3,16,1,9,0.4,0.6,100.0,12,10,8,1.632993221282959,4.0
48,17.400000000000006,0.3480000000000001,50,3,16,1,12,0.46,0.54,100.0,10,8,9,0.8164966106414795,2.0
49,16.200000000000003,0.32400000000000007,50,3,15,1,12,0.38,0.62,100.0,12,10,9,1.247219204902649,3.0
50,17.400000000000006,0.3480000000000001,50,3,17,1,4,0.42,0.5800000000000001,100.0,10,9,10,0.471404492855072,1.0
51,16.200000000000003,0.32400000000000007,50,3,15,1,4,0.32,0.6799999999999999,100.0,11,13,10,1.247219204902649,3.0
52,17.400000000000006,0.3480000000000001,50,3,11,1,4,0.26,0.74,65.0,13,12,12,0.471404492855072,1.0
53,16.200000000000006,0.3240000000000001,50,3,17,1,5,0.44,0.56,100.0,11,9,8,1.247219204902649,3.0
54,16.200000000000003,0.32400000000000007,50,3,17,1,13,0.4,0.6,100.0,10,12,8,1.632993221282959,4.0
55,17.400000000000006,0.3480000000000001,50,3,16,1,4,0.34,0.6599999999999999,100.0,10,9,14,2.1602468490600586,5.0
56,16.200000000000003,0.32400000000000007,50,3,16,1,4,0.36,0.64,100.0,11,12,9,1.247219204902649,3.0
57,16.200000000000003,0.32400000000000007,50,3,14,1,4,0.34,0.6599999999999999,100.0,13,9,11,1.632993221282959,4.0
58,16.200000000000006,0.3240000000000001,50,3,18,1,5,0.4,0.6,100.0,8,11,11,1.4142135381698608,3.0
59,17.400000000000006,0.3480000000000001,50,3,14,1,4,0.32,0.6799999999999999,100.0,11,12,11,0.471404492855072,1.0
60,16.200000000000006,0.3240000000000001,50,3,15,1,5,0.4,0.6,100.0,8,10,12,1.632993221282959,4.0
61,16.200000000000003,0.32400000000000007,50,3,16,1,4,0.38,0.62,100.0,11,12,8,1.699673056602478,4.0
62,16.200000000000003,0.32400000000000007,50,3,16,1,4,0.34,0.6599999999999999,100.0,9,14,10,2.1602468490600586,5.0
63,17.400000000000006,0.3480000000000001,50,3,12,1,4,0.3,0.7,100.0,7,13,15,3.399346113204956,8.0
64,16.200000000000003,0.32400000000000007,50,3,14,1,4,0.34,0.6599999999999999,100.0,10,11,12,0.8164966106414795,2.0
65,16.200000000000003,0.32400000000000007,50,3,15,1,7,0.4,0.6,100.0,9,11,10,0.8164966106414795,2.0
66,16.200000000000006,0.3240000000000001,50,3,14,1,4,0.32,0.6799999999999999,100.0,9,16,9,3.2998316287994385,7.0
67,16.200000000000003,0.32400000000000007,50,3,14,1,5,0.28,0.72,100.0,10,13,13,1.4142135381698608,3.0
68,16.200000000000006,0.3240000000000001,50,3,17,1,7,0.36,0.64,100.0,8,12,12,1.885617971420288,4.0
69,16.20000000000001,0.3240000000000002,50,3,15,1,4,0.46,0.54,100.0,10,7,10,1.4142135381698608,3.0
70,16.200000000000003,0.32400000000000007,50,3,15,1,5,0.38,0.62,100.0,13,9,9,1.885617971420288,4.0
71,17.400000000000006,0.3480000000000001,50,3,16,1,4,0.42,0.5800000000000001,95.0,8,11,10,1.2472190856933594,3.0
72,17.400000000000006,0.3480000000000001,50,3,16,1,4,0.4,0.6,100.0,10,9,11,0.8164966106414795,2.0
73,17.400000000000006,0.3480000000000001,50,3,16,1,7,0.46,0.54,93.0,9,11,7,1.632993221282959,4.0
