episode,reward,reward_per_step,steps,rooms,charges,full_coverage,full_coverage_step,time_in_C,time_out_C,min_battery,hab1_visits,hab2_visits,hab3_visits,room_std,room_spread,recharge_battery_mean,recharge_battery_min,recharge_battery_max,recharge_battery_std,first_recharge_step,recharge_gap_mean,recharge_gap_min,recharge_gap_max,recharge_from_hab1,recharge_from_hab2,recharge_from_hab3,recharge_from_other
1,17.400000000000002,0.34800000000000003,50,3,13,1,4,0.34,0.6599999999999999,98.0,10,8,15,2.943920373916626,7.0,100.0,100.0,100.0,0.0,3,3.8333333333333335,2.0,5.0,7,4,2,0
2,16.200000000000006,0.3240000000000001,50,3,16,1,5,0.36,0.64,99.0,10,11,11,0.471404492855072,1.0,100.0,100.0,100.0,0.0,4,3.066666666666667,2.0,5.0,8,6,2,0
3,16.00000000000001,0.32000000000000023,50,3,15,1,7,0.4,0.6,100.0,13,7,10,2.4494898319244385,6.0,100.0,100.0,100.0,0.0,3,3.357142857142857,2.0,5.0,10,5,0,0
4,17.400000000000006,0.3480000000000001,50,3,13,1,7,0.4,0.6,100.0,12,5,13,3.5590262413024902,8.0,100.0,100.0,100.0,0.0,3,3.8333333333333335,2.0,5.0,8,3,2,0
5,16.200000000000003,0.32400000000000007,50,3,11,1,5,0.3,0.7,100.0,14,11,10,1.699673056602478,4.0,100.0,100.0,100.0,0.0,4,4.4,3.0,6.0,9,2,0,0
6,16.000000000000007,0.3200000000000001,50,3,15,1,9,0.4,0.6,100.0,12,11,7,2.1602468490600586,5.0,100.0,100.0,100.0,0.0,3,3.357142857142857,2.0,5.0,10,4,1,0
7,17.400000000000006,0.3480000000000001,50,3,16,1,7,0.48,0.52,100.0,6,7,13,3.0912060737609863,7.0,100.0,100.0,100.0,0.0,3,3.066666666666667,2.0,5.0,6,5,5,0
8,16.200000000000006,0.3240000000000001,50,3,16,1,22,0.42,0.5800000000000001,100.0,7,12,10,2.054804563522339,5.0,100.0,100.0,100.0,0.0,3,3.1333333333333333,2.0,5.0,5,7,4,0
9,16.200000000000006,0.3240000000000001,50,3,13,1,5,0.4,0.6,100.0,12,7,11,2.1602468490600586,5.0,100.0,100.0,100.0,0.0,4,3.8333333333333335,2.0,5.0,9,2,2,0
10,16.200000000000003,0.32400000000000007,50,3,13,1,13,0.38,0.62,100.0,9,14,8,2.624669313430786,6.0,100.0,100.0,100.0,0.0,3,3.75,2.0,6.0,6,5,2,0
11,17.400000000000006,0.3480000000000001,50,3,13,1,13,0.42,0.5800000000000001,100.0,10,10,9,0.471404492855072,1.0,100.0,100.0,100.0,0.0,3,3.75,2.0,5.0,8,4,1,0
12,16.200000000000003,0.32400000000000007,50,3,11,1,5,0.28,0.72,100.0,16,10,10,2.8284270763397217,6.0,100.0,100.0,100.0,0.0,4,4.4,2.0,6.0,9,1,1,0
13,16.200000000000006,0.3240000000000001,50,3,16,1,13,0.44,0.56,100.0,9,13,6,2.8674418926239014,7.0,100.0,100.0,100.0,0.0,3,3.066666666666667,2.0,4.0,7,7,2,0
14,16.200000000000006,0.3240000000000001,50,3,12,1,10,0.34,0.6599999999999999,100.0,12,14,7,2.943920373916626,7.0,100.0,100.0,100.0,0.0,4,3.909090909090909,2.0,5.0,7,4,1,0
15,16.200000000000006,0.3240000000000001,50,3,13,1,12,0.44,0.56,100.0,11,10,7,1.699673056602478,4.0,100.0,100.0,100.0,0.0,3,3.8333333333333335,2.0,6.0,8,3,2,0
16,16.000000000000007,0.3200000000000001,50,3,12,1,4,0.28,0.72,100.0,15,10,11,2.1602468490600586,5.0,100.0,100.0,100.0,0.0,3,4.181818181818182,2.0,5.0,10,1,1,0
17,16.200000000000006,0.3240000000000001,50,3,13,1,4,0.4,0.6,100.0,11,9,10,0.8164966106414795,2.0,100.0,100.0,100.0,0.0,3,3.6666666666666665,3.0,5.0,9,2,2,0
18,16.200000000000003,0.32400000000000007,50,3,12,1,10,0.34,0.6599999999999999,100.0,11,12,10,0.8164966106414795,2.0,100.0,100.0,100.0,0.0,4,4.0,3.0,5.0,7,4,1,0
19,17.400000000000006,0.3480000000000001,50,3,14,1,4,0.42,0.5800000000000001,94.0,9,10,10,0.471404492855072,1.0,100.0,100.0,100.0,0.0,3,3.230769230769231,2.0,4.0,7,4,3,0
20,16.200000000000003,0.32400000000000007,50,3,14,1,9,0.4,0.6,100.0,10,11,9,0.8164966106414795,2.0,100.0,100.0,100.0,0.0,3,3.6153846153846154,2.0,5.0,8,4,2,0
21,16.200000000000003,0.32400000000000007,50,3,11,1,5,0.3,0.7,100.0,16,10,9,3.0912060737609863,7.0,100.0,100.0,100.0,0.0,4,4.4,3.0,6.0,9,2,0,0
22,16.200000000000003,0.32400000000000007,50,3,15,1,4,0.4,0.6,100.0,7,11,12,2.1602468490600586,5.0,100.0,100.0,100.0,0.0,3,3.357142857142857,2.0,5.0,6,7,2,0
23,16.200000000000003,0.32400000000000007,50,3,12,1,18,0.32,0.6799999999999999,100.0,14,13,7,3.0912060737609863,7.0,100.0,100.0,100.0,0.0,3,4.090909090909091,2.0,6.0,9,3,0,0
