episode,reward,reward_per_step,steps,rooms,charges,full_coverage,full_coverage_step,time_in_C,time_out_C,min_battery,hab1_visits,hab2_visits,hab3_visits,room_std,room_spread,recharge_battery_mean,recharge_battery_min,recharge_battery_max,recharge_battery_std,first_recharge_step,recharge_gap_mean,recharge_gap_min,recharge_gap_max,recharge_from_hab1,recharge_from_hab2,recharge_from_hab3,recharge_from_other,mean_action_elapsed_s,episode_elapsed_s
1,7.891156300902367,0.15782312601804732,50,3,4,1,42.0,0.62,0.38,100,11,7,1,4.109609603881836,10.0,100.0,100.0,100.0,0.0,1,14.0,4.0,30.0,2,0,1,1,0.0,0.0
2,7.747933939099312,0.15495867878198624,50,3,4,1,41.0,0.52,0.48,100,14,8,2,4.898979663848877,12.0,100.0,100.0,100.0,0.0,1,14.0,4.0,30.0,2,0,1,1,0.0,0.0
3,7.891156300902367,0.15782312601804732,50,3,3,1,42.0,0.62,0.38,100,10,8,1,3.858612298965454,9.0,100.0,100.0,100.0,0.0,1,21.0,12.0,30.0,1,0,1,1,0.0,0.0
4,7.074829787015915,0.1414965957403183,50,2,4,0,,0.6,0.4,100,13,7,0,5.312459468841553,13.0,100.0,100.0,100.0,0.0,1,12.666666666666666,4.0,30.0,3,0,0,1,0.0,0.0
5,7.891156300902367,0.15782312601804732,50,3,3,1,42.0,0.6,0.4,100,11,8,1,4.189935207366943,10.0,100.0,100.0,100.0,0.0,1,21.0,11.0,31.0,1,0,1,1,0.0,0.0
6,7.891156300902367,0.15782312601804732,50,3,4,1,42.0,0.56,0.43999999999999995,100,12,8,2,4.109609603881836,10.0,100.0,100.0,100.0,0.0,1,14.333333333333334,3.0,31.0,2,0,1,1,0.0,0.0
7,7.891156300902367,0.15782312601804732,50,3,4,1,43.0,0.56,0.43999999999999995,100,12,9,1,4.642796039581299,11.0,100.0,100.0,100.0,0.0,1,14.333333333333334,6.0,30.0,2,0,1,1,0.0,0.0
8,7.074829787015915,0.1414965957403183,50,2,3,0,,0.62,0.38,100,12,7,0,4.921607971191406,12.0,100.0,100.0,100.0,0.0,1,19.0,8.0,30.0,2,0,0,1,0.0,0.0
9,7.891156300902367,0.15782312601804732,50,3,4,1,42.0,0.56,0.43999999999999995,100,13,8,1,4.921607971191406,12.0,100.0,100.0,100.0,0.0,1,14.0,6.0,30.0,2,0,1,1,0.0,0.0
10,7.891156300902367,0.15782312601804732,50,2,3,0,,0.58,0.42000000000000004,100,12,9,0,5.099019527435303,12.0,100.0,100.0,100.0,0.0,1,18.0,6.0,30.0,2,0,0,1,0.0,0.0
