episode,reward,reward_per_step,steps,rooms,charges,full_coverage,full_coverage_step,time_in_C,time_out_C,min_battery,hab1_visits,hab2_visits,hab3_visits,room_std,room_spread,recharge_battery_mean,recharge_battery_min,recharge_battery_max,recharge_battery_std,first_recharge_step,recharge_gap_mean,recharge_gap_min,recharge_gap_max,recharge_from_hab1,recharge_from_hab2,recharge_from_hab3,recharge_from_other,mean_action_elapsed_s,episode_elapsed_s
1,4.587666716337203,0.09175333432674407,50,2,18,0,,0.54,0.45999999999999996,100,14,0,9,5.792715549468994,14.0,100.0,100.0,100.0,0.0,1,2.823529411764706,2.0,8.0,12,0,5,1,0.0,0.0
2,4.891999885439873,0.09783999770879745,50,2,18,0,,0.56,0.43999999999999995,100,12,0,10,5.249338626861572,12.0,100.0,100.0,100.0,0.0,1,2.8823529411764706,2.0,8.0,12,0,5,1,0.0,0.0
3,4.587666716337203,0.09175333432674407,50,2,19,0,,0.54,0.45999999999999996,100,13,0,10,5.557777404785156,13.0,100.0,100.0,100.0,0.0,1,2.6666666666666665,2.0,8.0,13,0,5,1,0.0,0.0
4,4.587666716337203,0.09175333432674407,50,2,18,0,,0.52,0.48,100,14,0,10,5.887840747833252,14.0,100.0,100.0,100.0,0.0,1,2.8823529411764706,2.0,8.0,13,0,4,1,0.0,0.0
5,4.891999885439873,0.09783999770879745,50,2,18,0,,0.54,0.45999999999999996,100,14,0,9,5.792715549468994,14.0,100.0,100.0,100.0,0.0,1,2.764705882352941,2.0,9.0,12,0,5,1,0.0,0.0
6,4.587666716337203,0.09175333432674407,50,2,19,0,,0.56,0.43999999999999995,100,13,0,9,5.436501979827881,13.0,100.0,100.0,100.0,0.0,1,2.6666666666666665,2.0,8.0,13,0,5,1,0.0,0.0
7,4.587666716337203,0.09175333432674407,50,2,14,0,,0.62,0.38,100,10,0,9,4.496912479400635,10.0,100.0,100.0,100.0,0.0,1,3.6923076923076925,2.0,9.0,9,0,4,1,0.0,0.0
8,4.587666716337203,0.09175333432674407,50,2,17,0,,0.6,0.4,100,12,0,8,4.9888763427734375,12.0,100.0,100.0,100.0,0.0,1,2.875,2.0,8.0,11,0,5,1,0.0,0.0
9,4.587666716337203,0.09175333432674407,50,2,17,0,,0.54,0.45999999999999996,100,13,0,10,5.557777404785156,13.0,100.0,100.0,100.0,0.0,1,2.9375,2.0,8.0,12,0,4,1,0.0,0.0
10,4.743916567325591,0.09487833134651183,50,2,16,0,,0.5,0.5,100,15,0,10,6.236095905303955,15.0,100.0,100.0,100.0,0.0,1,3.1333333333333333,2.0,9.0,11,0,4,1,0.0,0.0
11,4.587666716337203,0.09175333432674407,50,2,16,0,,0.5,0.5,100,14,0,11,6.018490314483643,14.0,100.0,100.0,100.0,0.0,1,3.2666666666666666,2.0,8.0,12,0,3,1,0.0,0.0
12,4.587666716337203,0.09175333432674407,50,2,20,0,,0.54,0.45999999999999996,100,14,0,9,5.792715549468994,14.0,100.0,100.0,100.0,0.0,1,2.5789473684210527,2.0,8.0,14,0,5,1,0.0,0.0
13,4.587666716337203,0.09175333432674407,50,2,17,0,,0.52,0.48,100,15,0,9,6.164413928985596,15.0,100.0,100.0,100.0,0.0,1,3.0,2.0,11.0,12,0,4,1,0.0,0.0
14,4.456400984168052,0.08912801968336105,50,2,16,0,,0.48,0.52,100,15,0,11,6.342099189758301,15.0,100.0,100.0,100.0,0.0,1,3.2666666666666666,2.0,8.0,11,0,4,1,0.0,0.0
15,4.587666716337203,0.09175333432674407,50,2,19,0,,0.54,0.45999999999999996,100,14,0,9,5.792715549468994,14.0,100.0,100.0,100.0,0.0,1,2.7222222222222223,2.0,9.0,13,0,5,1,0.0,0.0
16,4.587666716337203,0.09175333432674407,50,2,18,0,,0.52,0.48,100,14,0,10,5.887840747833252,14.0,100.0,100.0,100.0,0.0,1,2.8823529411764706,2.0,8.0,12,0,5,1,0.0,0.0
17,4.587666716337203,0.09175333432674407,50,2,18,0,,0.56,0.43999999999999995,100,13,0,9,5.436501979827881,13.0,100.0,100.0,100.0,0.0,1,2.823529411764706,2.0,9.0,12,0,5,1,0.0,0.0
18,4.587666716337203,0.09175333432674407,50,2,18,0,,0.58,0.42000000000000004,100,13,0,8,5.3541259765625,13.0,100.0,100.0,100.0,0.0,1,2.823529411764706,2.0,8.0,12,0,5,1,0.0,0.0
19,4.587666716337203,0.09175333432674407,50,2,16,0,,0.52,0.48,100,12,0,12,5.656854152679443,12.0,100.0,100.0,100.0,0.0,1,3.2,2.0,11.0,12,0,3,1,0.0,0.0
20,4.587666716337203,0.09175333432674407,50,2,16,0,,0.58,0.42000000000000004,100,11,0,10,4.966554641723633,11.0,100.0,100.0,100.0,0.0,1,3.2,2.0,8.0,11,0,4,1,0.0,0.0
21,4.587666716337203,0.09175333432674407,50,2,16,0,,0.54,0.45999999999999996,100,15,0,8,6.12825870513916,15.0,100.0,100.0,100.0,0.0,1,3.1333333333333333,2.0,9.0,10,0,5,1,0.0,0.0
22,4.456400984168052,0.08912801968336105,50,2,16,0,,0.46,0.54,100,16,0,11,6.68331241607666,16.0,100.0,100.0,100.0,0.0,1,3.1333333333333333,2.0,8.0,11,0,4,1,0.0,0.0
23,4.891999885439873,0.09783999770879745,50,2,16,0,,0.52,0.48,100,13,0,11,5.715476036071777,13.0,100.0,100.0,100.0,0.0,1,3.2,2.0,8.0,10,0,5,1,0.0,0.0
24,4.891999885439873,0.09783999770879745,50,2,14,0,,0.54,0.45999999999999996,100,14,0,9,5.792715549468994,14.0,100.0,100.0,100.0,0.0,1,3.6153846153846154,2.0,9.0,9,0,4,1,0.0,0.0
25,4.587666716337203,0.09175333432674407,50,2,11,0,,0.54,0.45999999999999996,100,11,0,12,5.436501979827881,12.0,100.0,100.0,100.0,0.0,1,4.8,2.0,16.0,8,0,2,1,0.0,0.0
26,4.743916567325591,0.09487833134651183,50,2,11,0,,0.4,0.6,100,18,0,12,7.4833149909973145,18.0,100.0,100.0,100.0,0.0,1,4.8,2.0,11.0,8,0,2,1,0.0,0.0
27,4.587666716337203,0.09175333432674407,50,2,13,0,,0.5,0.5,100,14,0,11,6.018490314483643,14.0,100.0,100.0,100.0,0.0,1,4.083333333333333,2.0,8.0,9,0,3,1,0.0,0.0
28,4.587666716337203,0.09175333432674407,50,2,15,0,,0.62,0.38,100,12,0,7,4.921607971191406,12.0,100.0,100.0,100.0,0.0,1,3.4285714285714284,2.0,8.0,9,0,5,1,0.0,0.0
29,4.587666716337203,0.09175333432674407,50,2,14,0,,0.5,0.5,100,15,0,10,6.236095905303955,15.0,100.0,100.0,100.0,0.0,1,3.5384615384615383,2.0,8.0,9,0,4,1,0.0,0.0
30,4.891999885439873,0.09783999770879745,50,2,12,0,,0.6,0.4,100,10,0,10,4.714045524597168,10.0,100.0,100.0,100.0,0.0,1,4.363636363636363,2.0,9.0,8,0,3,1,0.0,0.0
31,4.587666716337203,0.09175333432674407,50,2,14,0,,0.6,0.4,100,9,0,11,4.784233570098877,11.0,100.0,100.0,100.0,0.0,1,3.5384615384615383,2.0,8.0,9,0,4,1,0.0,0.0
32,4.891999885439873,0.09783999770879745,50,2,16,0,,0.58,0.42000000000000004,100,11,0,10,4.966554641723633,11.0,100.0,100.0,100.0,0.0,1,3.2666666666666666,2.0,8.0,10,0,5,1,0.0,0.0
33,4.587666716337203,0.09175333432674407,50,2,12,0,,0.56,0.43999999999999995,100,12,0,10,5.249338626861572,12.0,100.0,100.0,100.0,0.0,1,4.181818181818182,2.0,9.0,8,0,3,1,0.0,0.0
34,4.587666716337203,0.09175333432674407,50,2,13,0,,0.56,0.43999999999999995,100,12,0,10,5.249338626861572,12.0,100.0,100.0,100.0,0.0,1,4.0,2.0,11.0,8,0,4,1,0.0,0.0
35,4.456400984168052,0.08912801968336105,50,2,15,0,,0.52,0.48,100,15,0,9,6.164413928985596,15.0,100.0,100.0,100.0,0.0,1,3.5,2.0,9.0,10,0,4,1,0.0,0.0
36,4.587666716337203,0.09175333432674407,50,2,14,0,,0.5,0.5,100,14,0,11,6.018490314483643,14.0,100.0,100.0,100.0,0.0,1,3.769230769230769,2.0,10.0,10,0,3,1,0.0,0.0
37,4.587666716337203,0.09175333432674407,50,2,14,0,,0.54,0.45999999999999996,100,13,0,10,5.557777404785156,13.0,100.0,100.0,100.0,0.0,1,3.6923076923076925,2.0,11.0,9,0,4,1,0.0,0.0
38,4.456400984168052,0.08912801968336105,50,2,14,0,,0.44,0.56,100,17,0,11,7.0395708084106445,17.0,100.0,100.0,100.0,0.0,1,3.769230769230769,2.0,8.0,9,0,4,1,0.0,0.0
39,4.587666716337203,0.09175333432674407,50,2,16,0,,0.54,0.45999999999999996,100,13,0,10,5.557777404785156,13.0,100.0,100.0,100.0,0.0,1,3.2666666666666666,2.0,8.0,11,0,4,1,0.0,0.0
40,4.587666716337203,0.09175333432674407,50,2,16,0,,0.54,0.45999999999999996,100,14,0,9,5.792715549468994,14.0,100.0,100.0,100.0,0.0,1,3.2666666666666666,2.0,9.0,11,0,4,1,0.0,0.0
41,4.743916567325591,0.09487833134651183,50,2,12,0,,0.48,0.52,100,15,0,11,6.342099189758301,15.0,100.0,100.0,100.0,0.0,1,4.454545454545454,3.0,11.0,8,0,3,1,0.0,0.0
42,4.456400984168052,0.08912801968336105,50,2,16,0,,0.5,0.5,100,16,0,9,6.548961162567139,16.0,100.0,100.0,100.0,0.0,1,3.2666666666666666,2.0,9.0,11,0,4,1,0.0,0.0
43,4.456400984168052,0.08912801968336105,50,2,14,0,,0.48,0.52,100,15,0,11,6.342099189758301,15.0,100.0,100.0,100.0,0.0,1,3.769230769230769,2.0,9.0,10,0,3,1,0.0,0.0
44,4.891999885439873,0.09783999770879745,50,2,17,0,,0.6,0.4,100,13,0,7,5.312459468841553,13.0,100.0,100.0,100.0,0.0,1,3.0625,2.0,8.0,11,0,5,1,0.0,0.0
45,4.587666716337203,0.09175333432674407,50,2,11,0,,0.58,0.42000000000000004,100,9,0,12,5.099019527435303,12.0,100.0,100.0,100.0,0.0,1,4.7,2.0,11.0,7,0,3,1,0.0,0.0
46,4.587666716337203,0.09175333432674407,50,2,15,0,,0.54,0.45999999999999996,100,12,0,11,5.436502456665039,12.0,100.0,100.0,100.0,0.0,1,3.4285714285714284,2.0,8.0,11,0,3,1,0.0,0.0
47,4.891999885439873,0.09783999770879745,50,2,14,0,,0.62,0.38,100,11,0,8,4.642796039581299,11.0,100.0,100.0,100.0,0.0,1,3.6923076923076925,2.0,8.0,8,0,5,1,0.0,0.0
48,4.743916567325591,0.09487833134651183,50,2,14,0,,0.48,0.52,100,14,0,12,6.182412147521973,14.0,100.0,100.0,100.0,0.0,1,3.769230769230769,2.0,11.0,11,0,2,1,0.0,0.0
49,4.456400984168052,0.08912801968336105,50,2,15,0,,0.56,0.43999999999999995,100,15,0,7,6.12825870513916,15.0,100.0,100.0,100.0,0.0,1,3.5,2.0,8.0,9,0,5,1,0.0,0.0
50,4.456400984168052,0.08912801968336105,50,2,15,0,,0.52,0.48,100,15,0,9,6.164413928985596,15.0,100.0,100.0,100.0,0.0,1,3.5,2.0,8.0,10,0,4,1,0.0,0.0
51,4.587666716337203,0.09175333432674407,50,2,10,0,,0.36,0.64,100,20,0,12,8.219218254089355,20.0,100.0,100.0,100.0,0.0,1,5.333333333333333,2.0,13.0,7,0,2,1,0.0,0.0
52,4.587666716337203,0.09175333432674407,50,2,13,0,,0.48,0.52,100,15,0,11,6.342099189758301,15.0,100.0,100.0,100.0,0.0,1,3.9166666666666665,3.0,8.0,8,0,4,1,0.0,0.0
53,4.587666716337203,0.09175333432674407,50,2,13,0,,0.46,0.54,100,14,0,13,6.377042293548584,14.0,100.0,100.0,100.0,0.0,1,3.9166666666666665,2.0,13.0,11,0,1,1,0.0,0.0
54,4.587666716337203,0.09175333432674407,50,2,13,0,,0.52,0.48,100,12,0,12,5.656854152679443,12.0,100.0,100.0,100.0,0.0,1,4.0,2.0,8.0,9,0,3,1,0.0,0.0
55,4.587666716337203,0.09175333432674407,50,2,15,0,,0.54,0.45999999999999996,100,12,0,11,5.436502456665039,12.0,100.0,100.0,100.0,0.0,1,3.4285714285714284,2.0,12.0,11,0,3,1,0.0,0.0
56,4.891999885439873,0.09783999770879745,50,2,15,0,,0.52,0.48,100,13,0,11,5.715476036071777,13.0,100.0,100.0,100.0,0.0,1,3.5,2.0,8.0,11,0,3,1,0.0,0.0
57,4.743916567325591,0.09487833134651183,50,2,15,0,,0.52,0.48,100,15,0,9,6.164413928985596,15.0,100.0,100.0,100.0,0.0,1,3.357142857142857,2.0,8.0,9,0,5,1,0.0,0.0
58,4.587666716337203,0.09175333432674407,50,2,11,0,,0.4,0.6,100,17,0,13,7.257180213928223,17.0,100.0,100.0,100.0,0.0,1,4.8,2.0,16.0,9,0,1,1,0.0,0.0
59,4.891999885439873,0.09783999770879745,50,2,12,0,,0.6,0.4,100,10,0,10,4.714045524597168,10.0,100.0,100.0,100.0,0.0,1,4.363636363636363,2.0,11.0,8,0,3,1,0.0,0.0
60,4.891999885439873,0.09783999770879745,50,2,10,0,,0.54,0.45999999999999996,100,10,0,13,5.557777404785156,13.0,100.0,100.0,100.0,0.0,1,5.444444444444445,2.0,11.0,7,0,2,1,0.0,0.0
61,4.587666716337203,0.09175333432674407,50,2,12,0,,0.54,0.45999999999999996,100,12,0,11,5.436502456665039,12.0,100.0,100.0,100.0,0.0,1,4.181818181818182,2.0,12.0,8,0,3,1,0.0,0.0
62,4.587666716337203,0.09175333432674407,50,2,15,0,,0.58,0.42000000000000004,100,11,0,10,4.966554641723633,11.0,100.0,100.0,100.0,0.0,1,3.5,2.0,8.0,10,0,4,1,0.0,0.0
63,4.587666716337203,0.09175333432674407,50,2,12,0,,0.46,0.54,100,15,0,12,6.480740547180176,15.0,100.0,100.0,100.0,0.0,1,4.454545454545454,2.0,16.0,9,0,2,1,0.0,0.0
64,4.587666716337203,0.09175333432674407,50,2,12,0,,0.44,0.56,100,16,0,12,6.79869270324707,16.0,100.0,100.0,100.0,0.0,1,4.363636363636363,2.0,8.0,9,0,2,1,0.0,0.0
65,4.891999885439873,0.09783999770879745,50,2,12,0,,0.54,0.45999999999999996,100,11,0,12,5.436501979827881,12.0,100.0,100.0,100.0,0.0,1,4.2727272727272725,2.0,11.0,8,0,3,1,0.0,0.0
