episode,reward,reward_per_step,steps,rooms,charges,full_coverage,full_coverage_step,time_in_C,time_out_C,min_battery,hab1_visits,hab2_visits,hab3_visits,room_std,room_spread,recharge_battery_mean,recharge_battery_min,recharge_battery_max,recharge_battery_std,first_recharge_step,recharge_gap_mean,recharge_gap_min,recharge_gap_max,recharge_from_hab1,recharge_from_hab2,recharge_from_hab3,recharge_from_other,mean_action_elapsed_s,episode_elapsed_s
1,2.6999995410442352,0.053999990820884705,50,2,13,0,,0.28,0.72,100,21,0,15,8.83176040649414,21.0,100.0,100.0,100.0,0.0,7,3.5833333333333335,2.0,5.0,8,0,5,0,0.0,0.0
2,2.5040811598300934,0.050081623196601865,50,2,10,0,,0.24,0.76,100,24,0,14,9.843215942382812,24.0,100.0,100.0,100.0,0.0,10,4.444444444444445,2.0,9.0,6,0,4,0,0.0,0.0
3,2.6999995410442352,0.053999990820884705,50,2,10,0,,0.24,0.76,100,21,0,17,9.104333877563477,21.0,100.0,100.0,100.0,0.0,7,4.222222222222222,2.0,8.0,7,0,3,0,0.0,0.0
4,2.6999995410442352,0.053999990820884705,50,2,13,0,,0.3,0.7,100,21,0,14,8.730533599853516,21.0,100.0,100.0,100.0,0.0,4,3.4166666666666665,2.0,5.0,11,0,2,0,0.0,0.0
5,2.5040811598300934,0.050081623196601865,50,2,10,0,,0.26,0.74,100,26,0,11,10.656244277954102,26.0,100.0,100.0,100.0,0.0,4,4.888888888888889,3.0,8.0,8,0,2,0,0.0,0.0
6,2.6999995410442352,0.053999990820884705,50,2,14,0,,0.34,0.6599999999999999,100,20,0,13,8.286535263061523,20.0,100.0,100.0,100.0,0.0,4,3.5384615384615383,2.0,5.0,11,0,3,0,0.0,0.0
7,2.5040811598300934,0.050081623196601865,50,2,8,0,,0.18,0.8200000000000001,100,28,0,13,11.440669059753418,28.0,100.0,100.0,100.0,0.0,4,6.428571428571429,3.0,20.0,5,0,3,0,0.0,0.0
8,2.5040811598300934,0.050081623196601865,50,2,11,0,,0.26,0.74,100,22,0,15,9.177266120910645,22.0,100.0,100.0,100.0,0.0,4,3.3,2.0,6.0,10,0,1,0,0.0,0.0
9,2.6999995410442352,0.053999990820884705,50,2,14,0,,0.32,0.6799999999999999,100,20,0,14,8.379870414733887,20.0,100.0,100.0,100.0,0.0,4,3.5384615384615383,2.0,7.0,12,0,2,0,0.0,0.0
10,2.5040811598300934,0.050081623196601865,50,2,12,0,,0.32,0.6799999999999999,100,22,0,12,8.99382495880127,22.0,100.0,100.0,100.0,0.0,4,4.090909090909091,2.0,8.0,9,0,3,0,0.0,0.0
11,2.6999995410442352,0.053999990820884705,50,2,13,0,,0.28,0.72,100,21,0,15,8.83176040649414,21.0,100.0,100.0,100.0,0.0,4,3.4166666666666665,2.0,5.0,10,0,3,0,0.0,0.0
