episode,reward,reward_per_step,steps,rooms,charges,full_coverage,full_coverage_step,time_in_C,time_out_C,min_battery,hab1_visits,hab2_visits,hab3_visits,room_std,room_spread,recharge_battery_mean,recharge_battery_min,recharge_battery_max,recharge_battery_std,first_recharge_step,recharge_gap_mean,recharge_gap_min,recharge_gap_max,recharge_from_hab1,recharge_from_hab2,recharge_from_hab3,recharge_from_other,mean_action_elapsed_s,episode_elapsed_s
1,3.3122448176145554,0.06624489635229111,50,3,10,1,18.0,0.32,0.6799999999999999,100.0,2,14,18,6.79869270324707,16.0,100.0,100.0,100.0,0.0,4,5.111111111111111,2.0,10.0,0,5,5,0,3.1020000000001744,155.10000000000872
2,3.630612075328827,0.07261224150657654,50,3,11,1,22.0,0.26,0.74,100.0,3,15,19,6.79869270324707,16.0,100.0,100.0,100.0,0.0,4,4.6,2.0,9.0,1,6,4,0,2.914000000000662,145.7000000000331
3,3.0806917148828505,0.06161383429765701,50,3,12,1,19.0,0.36,0.64,100.0,2,13,17,6.342099189758301,15.0,100.0,100.0,100.0,0.0,4,3.909090909090909,2.0,7.0,1,8,3,0,3.017000000000686,150.8500000000343
4,2.9509342658519744,0.059018685317039486,50,3,13,1,19.0,0.36,0.64,100.0,2,12,18,6.599663257598877,16.0,100.0,100.0,100.0,0.0,4,3.5,2.0,7.0,1,8,4,0,2.8599999999980925,142.99999999990462
5,3.630612075328827,0.07261224150657654,50,3,11,1,19.0,0.3,0.7,100.0,2,14,19,7.133645057678223,17.0,100.0,100.0,100.0,0.0,4,4.1,2.0,10.0,1,8,2,0,3.112999999997169,155.64999999985844
6,3.630612075328827,0.07261224150657654,50,3,10,1,19.0,0.3,0.7,100.0,2,15,18,6.9442219734191895,16.0,100.0,100.0,100.0,0.0,4,4.666666666666667,2.0,11.0,1,7,2,0,2.929999999997335,146.49999999986676
7,3.0806917148828505,0.06161383429765701,50,3,10,1,22.0,0.34,0.6599999999999999,100.0,3,15,15,5.656854152679443,12.0,100.0,100.0,100.0,0.0,4,4.777777777777778,2.0,13.0,1,8,1,0,2.673999999997568,133.6999999998784
8,2.6395154941082,0.052790309882164,50,3,12,1,19.0,0.36,0.64,100.0,1,13,18,7.133645057678223,17.0,100.0,100.0,100.0,0.0,4,4.090909090909091,2.0,7.0,0,6,6,0,2.8119999999974423,140.59999999987213
9,3.630612075328827,0.07261224150657654,50,3,12,1,19.0,0.32,0.6799999999999999,100.0,2,14,18,6.79869270324707,16.0,100.0,100.0,100.0,0.0,4,4.181818181818182,2.0,8.0,1,6,5,0,2.519999999997708,125.9999999998854
10,3.0806917148828505,0.06161383429765701,50,3,12,1,19.0,0.36,0.64,100.0,1,16,15,6.847546100616455,15.0,100.0,100.0,100.0,0.0,4,4.0,2.0,7.0,1,8,3,0,2.453999999997768,122.6999999998884
11,2.6395154941082,0.052790309882164,50,3,10,1,19.0,0.34,0.6599999999999999,100.0,1,14,18,7.257180213928223,17.0,100.0,100.0,100.0,0.0,4,4.444444444444445,2.0,6.0,0,5,5,0,2.829999999997426,141.4999999998713
12,3.630612075328827,0.07261224150657654,50,3,11,1,19.0,0.32,0.6799999999999999,100.0,1,14,19,7.586537837982178,18.0,100.0,100.0,100.0,0.0,4,4.1,2.0,12.0,0,7,4,0,2.817999999997437,140.89999999987185
13,3.630612075328827,0.07261224150657654,50,3,10,1,19.0,0.26,0.74,100.0,1,19,17,8.055364608764648,18.0,100.0,100.0,100.0,0.0,8,4.666666666666667,2.0,8.0,0,7,3,0,2.9559999999973114,147.79999999986558
14,2.9509342658519744,0.059018685317039486,50,3,11,1,19.0,0.32,0.6799999999999999,100.0,2,13,19,7.0395708084106445,17.0,100.0,100.0,100.0,0.0,5,4.1,2.0,7.0,1,5,5,0,2.637000000002181,131.85000000010905
15,2.374269941151141,0.04748539882302282,50,3,11,1,19.0,0.42,0.5800000000000001,93.0,2,10,17,6.12825870513916,15.0,99.54545454545455,95.0,100.0,1.4373989364401722,4,4.1,2.0,8.0,1,6,4,0,2.4580000000089424,122.90000000044711
16,3.0806917148828505,0.06161383429765701,50,3,9,1,19.0,0.38,0.62,100.0,1,14,16,6.649979114532471,15.0,100.0,100.0,100.0,0.0,6,5.125,3.0,7.0,1,5,3,0,2.522000000009175,126.10000000045875
