episode,reward,reward_per_step,steps,rooms,charges,full_coverage,full_coverage_step,time_in_C,time_out_C,min_battery,hab1_visits,hab2_visits,hab3_visits,room_std,room_spread,recharge_battery_mean,recharge_battery_min,recharge_battery_max,recharge_battery_std,first_recharge_step,recharge_gap_mean,recharge_gap_min,recharge_gap_max,recharge_from_hab1,recharge_from_hab2,recharge_from_hab3,recharge_from_other,mean_action_elapsed_s,episode_elapsed_s
1,6.774999938905239,0.13549999877810479,50,3,8,1,28,0.18,0.8200000000000001,100,4,21,16,7.133645057678223,17.0,100.0,100.0,100.0,0.0,2,3.857142857142857,3.0,7.0,4,1,3,0,7.3610000000011135,368.05000000005566
2,6.455739574432373,0.12911479148864746,50,3,9,1,25,0.22,0.78,100,3,21,15,7.4833149909973145,18.0,100.0,100.0,100.0,0.0,2,3.75,3.0,5.0,3,2,4,0,7.486999999995382,374.34999999976907
3,5.923195244669914,0.11846390489339828,50,3,8,1,25,0.24,0.76,100,4,21,13,6.944222450256348,17.0,100.0,100.0,100.0,0.0,3,4.142857142857143,3.0,5.0,3,2,3,0,6.294999999994275,314.74999999971374
4,5.923195244669914,0.11846390489339828,50,3,6,1,25,0.18,0.8200000000000001,100,4,24,13,8.178563117980957,20.0,100.0,100.0,100.0,0.0,5,4.2,3.0,6.0,3,1,2,0,6.64099999999396,332.049999999698
5,6.09999980032444,0.1219999960064888,50,3,7,1,23,0.18,0.8200000000000001,100,7,23,11,6.79869270324707,16.0,100.0,100.0,100.0,0.0,2,4.333333333333333,4.0,6.0,4,2,1,0,6.710999999993897,335.5499999996948
6,6.774999938905239,0.13549999877810479,50,3,8,1,27,0.22,0.78,100,4,20,15,6.68331241607666,16.0,100.0,100.0,100.0,0.0,2,3.7142857142857144,2.0,5.0,3,1,4,0,5.029999999999436,251.4999999999718
7,6.09999980032444,0.1219999960064888,50,3,7,1,24,0.18,0.8200000000000001,100,7,23,11,6.79869270324707,16.0,100.0,100.0,100.0,0.0,2,4.333333333333333,3.0,7.0,4,2,1,0,5.397000000019634,269.8500000009817
8,6.09999980032444,0.1219999960064888,50,3,8,1,24,0.22,0.78,100,3,25,11,9.092121124267578,22.0,100.0,100.0,100.0,0.0,2,3.5714285714285716,3.0,6.0,3,1,4,0,7.402000000026928,370.1000000013464
9,5.548441694974899,0.11096883389949799,50,3,7,1,23,0.2,0.8,100,4,26,10,9.285592079162598,22.0,100.0,100.0,100.0,0.0,2,4.5,3.0,9.0,3,1,3,0,7.006000000025487,350.3000000012744
10,6.774999938905239,0.13549999877810479,50,3,8,1,25,0.22,0.78,100,7,20,12,5.3541259765625,13.0,100.0,100.0,100.0,0.0,2,4.142857142857143,3.0,6.0,5,2,1,0,6.695000000024356,334.7500000012178
11,5.5756787088513375,0.11151357417702674,50,3,8,1,24,0.22,0.78,100,6,21,12,6.164413928985596,15.0,100.0,100.0,100.0,0.0,2,4.714285714285714,3.0,8.0,4,2,2,0,6.912000000025146,345.6000000012573
12,6.25850087583065,0.125170017516613,50,3,6,1,29,0.16,0.84,100,7,22,13,6.164413928985596,15.0,100.0,100.0,100.0,0.0,2,4.8,3.0,6.0,4,0,2,0,5.739000000020878,286.9500000010439
13,4.993749961256981,0.09987499922513962,50,3,7,1,22,0.18,0.8200000000000001,100,1,29,11,11.585431098937988,28.0,100.0,100.0,100.0,0.0,2,2.6666666666666665,2.0,3.0,1,0,6,0,6.18200000002249,309.1000000011245
14,6.774999938905239,0.13549999877810479,50,3,5,1,26,0.16,0.84,100,7,21,14,5.715476036071777,14.0,100.0,100.0,100.0,0.0,5,5.5,4.0,7.0,4,1,0,0,3.2520000000118308,162.60000000059154
15,6.25850087583065,0.125170017516613,50,3,5,1,27,0.16,0.84,100,8,22,12,5.887840747833252,14.0,100.0,100.0,100.0,0.0,5,6.5,5.0,8.0,4,1,0,0,3.8930000000141627,194.65000000070813
16,6.774999938905239,0.13549999877810479,50,3,7,1,29,0.2,0.8,100,7,21,12,5.792715549468994,14.0,100.0,100.0,100.0,0.0,4,4.5,3.0,6.0,5,1,1,0,6.528000000023749,326.40000000118744
17,6.021814482212067,0.12043628964424133,50,3,5,1,26,0.16,0.84,100,8,25,9,7.788880825042725,17.0,100.0,100.0,100.0,0.0,5,4.5,3.0,6.0,5,0,0,0,5.170000000018808,258.5000000009404
18,6.774999938905239,0.13549999877810479,50,3,6,1,28,0.14,0.86,100,7,21,15,5.734883785247803,14.0,100.0,100.0,100.0,0.0,5,4.8,3.0,8.0,4,1,1,0,5.958000000021675,297.90000000108375
19,6.774999938905239,0.13549999877810479,50,3,7,1,28,0.22,0.78,100,5,20,14,6.164413928985596,15.0,100.0,100.0,100.0,0.0,4,4.166666666666667,3.0,6.0,3,1,3,0,5.434000000019768,271.70000000098844
