episode,reward,reward_per_step,steps,rooms,charges,full_coverage,full_coverage_step,time_in_C,time_out_C,min_battery,hab1_visits,hab2_visits,hab3_visits,room_std,room_spread,recharge_battery_mean,recharge_battery_min,recharge_battery_max,recharge_battery_std,first_recharge_step,recharge_gap_mean,recharge_gap_min,recharge_gap_max,recharge_from_hab1,recharge_from_hab2,recharge_from_hab3,recharge_from_other,mean_action_elapsed_s,episode_elapsed_s
1,3.4843148270785598,0.0696862965415712,50,3,10,1,18,0.26,0.74,73.0,5,22,10,7.133645057678223,17.0,93.2,74.0,100.0,10.11731189595339,1,5.222222222222222,2.0,13.0,3,3,3,1,3.35699999999964,167.849999999982
2,2.777812481373549,0.05555624962747098,50,3,14,1,16,0.38,0.62,81.0,5,16,10,4.496912479400635,11.0,94.85714285714286,82.0,100.0,7.209687360540309,1,3.4615384615384617,2.0,8.0,5,3,5,1,2.853000000000301,142.65000000001504
3,3.911141735613346,0.07822283471226692,50,3,16,1,18,0.36,0.64,100.0,6,16,10,4.109609603881836,10.0,100.0,100.0,100.0,0.0,1,3.1333333333333333,2.0,6.0,6,6,3,1,3.012000000000685,150.60000000003424
4,3.911141735613346,0.07822283471226692,50,3,16,1,19,0.38,0.62,93.0,5,18,8,5.557777404785156,13.0,99.5625,93.0,100.0,1.6944302139657448,1,3.1333333333333333,2.0,9.0,5,4,6,1,2.940000000000669,147.00000000003345
5,3.781383839547634,0.07562767679095268,50,3,14,1,16,0.34,0.6599999999999999,100.0,5,15,13,4.320493698120117,10.0,100.0,100.0,100.0,0.0,1,3.6923076923076925,2.0,7.0,5,4,4,1,2.9880000000006794,149.40000000003397
6,3.911141735613346,0.07822283471226692,50,3,15,1,20,0.32,0.6799999999999999,100.0,5,18,11,5.312459468841553,13.0,100.0,100.0,100.0,0.0,1,3.357142857142857,2.0,6.0,5,5,4,1,3.0060000000011087,150.30000000005543
7,3.911141735613346,0.07822283471226692,50,3,14,1,18,0.32,0.6799999999999999,100.0,4,18,12,5.734883785247803,14.0,100.0,100.0,100.0,0.0,1,3.769230769230769,2.0,6.0,4,7,2,1,3.036000000000803,151.80000000004014
8,3.814893567764738,0.07629787135529476,50,3,12,1,18,0.36,0.64,71.0,7,16,9,3.858612298965454,9.0,95.83333333333333,75.0,100.0,8.008675851155976,1,4.363636363636363,2.0,12.0,4,4,3,1,3.9269999999964282,196.34999999982142
9,3.781383839547634,0.07562767679095268,50,3,12,1,19,0.32,0.6799999999999999,100.0,7,17,10,4.189935207366943,10.0,100.0,100.0,100.0,0.0,1,4.363636363636363,2.0,8.0,4,3,4,1,2.705999999997539,135.29999999987695
10,3.781383839547634,0.07562767679095268,50,3,15,1,19,0.34,0.6599999999999999,100.0,5,18,10,5.3541259765625,13.0,100.0,100.0,100.0,0.0,1,3.4285714285714284,2.0,6.0,4,5,5,1,2.720999999997525,136.04999999987626
11,3.6771525794803885,0.07354305158960778,50,3,13,1,18,0.3,0.7,68.0,3,20,12,6.944222450256348,17.0,96.6923076923077,72.0,100.0,8.165448929055753,1,4.083333333333333,2.0,9.0,3,6,3,1,3.6389999999966904,181.94999999983452
12,3.1456198331713665,0.06291239666342734,50,3,16,1,20,0.38,0.62,100.0,5,19,7,6.182412147521973,14.0,100.0,100.0,100.0,0.0,1,3.2,2.0,6.0,5,5,5,1,2.927999999997337,146.39999999986685
13,3.781383839547634,0.07562767679095268,50,3,16,1,19,0.36,0.64,100.0,5,17,10,4.921607494354248,12.0,100.0,100.0,100.0,0.0,1,3.2,2.0,6.0,5,4,6,1,2.9759999999972933,148.79999999986467
14,3.911141735613346,0.07822283471226692,50,3,15,1,18,0.38,0.62,100.0,5,18,8,5.557777404785156,13.0,100.0,100.0,100.0,0.0,1,3.4285714285714284,2.0,11.0,3,5,6,1,3.083999999997195,154.19999999985976
15,3.781383839547634,0.07562767679095268,50,3,13,1,18,0.3,0.7,100.0,7,16,12,3.6817870140075684,9.0,100.0,100.0,100.0,0.0,1,4.0,2.0,7.0,5,5,2,1,2.4479999999977737,122.39999999988868
16,3.781383839547634,0.07562767679095268,50,3,16,1,19,0.36,0.64,100.0,5,18,9,5.436501979827881,13.0,100.0,100.0,100.0,0.0,1,3.2,2.0,6.0,5,5,5,1,2.7899999999974625,139.49999999987313
17,3.911141735613346,0.07822283471226692,50,3,14,1,17,0.3,0.7,100.0,4,22,9,7.586537837982178,18.0,100.0,100.0,100.0,0.0,1,3.6153846153846154,2.0,6.0,3,7,3,1,3.026999999997247,151.34999999986235
18,3.781383839547634,0.07562767679095268,50,3,13,1,18,0.38,0.62,100.0,6,15,10,3.6817870140075684,9.0,100.0,100.0,100.0,0.0,1,3.9166666666666665,2.0,7.0,5,3,4,1,2.828999999997427,141.44999999987135
19,3.911141735613346,0.07822283471226692,50,3,15,1,19,0.34,0.6599999999999999,100.0,4,17,12,5.3541259765625,13.0,100.0,100.0,100.0,0.0,1,3.5,2.0,6.0,4,5,5,1,3.0989999999971816,154.94999999985907
20,2.917221214626914,0.058344424292538284,50,3,14,1,19,0.46,0.54,72.0,4,16,7,5.099019527435303,12.0,95.0,76.0,100.0,8.211490207542807,1,3.3076923076923075,2.0,10.0,3,4,6,1,4.811999999995623,240.59999999978118
21,3.781383839547634,0.07562767679095268,50,3,13,1,20,0.34,0.6599999999999999,100.0,4,18,11,5.715476036071777,14.0,100.0,100.0,100.0,0.0,1,4.0,2.0,7.0,4,5,3,1,3.0089999999972634,150.44999999986317
22,3.366005604416131,0.06732011208832261,50,3,16,1,18,0.32,0.6799999999999999,100.0,6,18,10,4.988876819610596,12.0,100.0,100.0,100.0,0.0,1,3.2666666666666666,2.0,6.0,6,5,4,1,3.068999999997209,153.44999999986044
23,3.034408714626914,0.06068817429253828,50,3,13,1,18,0.36,0.64,69.0,5,19,8,6.018490314483643,14.0,94.76923076923077,73.0,100.0,8.432116680642904,1,4.083333333333333,2.0,8.0,4,4,4,1,3.0209999999972523,151.04999999986262
24,3.034408714626914,0.06068817429253828,50,3,13,1,17,0.32,0.6799999999999999,71.0,5,19,10,5.792715549468994,14.0,95.38461538461539,74.0,100.0,7.927929805814199,1,4.083333333333333,2.0,8.0,5,5,2,1,3.3539999999969496,167.69999999984748
25,3.781383839547634,0.07562767679095268,50,3,15,1,19,0.34,0.6599999999999999,100.0,6,16,11,4.082482814788818,10.0,100.0,100.0,100.0,0.0,1,3.5,2.0,12.0,4,4,6,1,2.8349999999974216,141.74999999987108
