episode,reward,reward_per_step,steps,rooms,charges,full_coverage,full_coverage_step,time_in_C,time_out_C,min_battery,hab1_visits,hab2_visits,hab3_visits,room_std,room_spread,recharge_battery_mean,recharge_battery_min,recharge_battery_max,recharge_battery_std,first_recharge_step,recharge_gap_mean,recharge_gap_min,recharge_gap_max,recharge_from_hab1,recharge_from_hab2,recharge_from_hab3,recharge_from_other,mean_action_elapsed_s,episode_elapsed_s
1,4.611833916157484,0.09223667832314968,50,3,9,1,25,0.3,0.7,95.0,17,9,9,3.771235942840576,8.0,99.55555555555556,96.0,100.0,1.257078722109418,1,6.0,2.0,13.0,5,0,3,1,3.0479999999996856,152.3999999999843
2,3.8829422441019013,0.07765884488203803,50,3,8,1,23,0.42,0.5800000000000001,58.0,13,9,7,2.4944381713867188,6.0,87.25,61.0,100.0,16.618889854620253,1,6.428571428571429,2.0,11.0,2,1,4,1,3.2490000000002164,162.45000000001082
3,3.8618732684105623,0.07723746536821124,50,3,7,1,24,0.3,0.7,84.0,16,8,11,3.2998316287994385,8.0,97.57142857142857,87.0,100.0,4.531071864901059,1,7.833333333333333,3.0,12.0,3,1,2,1,2.5500000000005802,127.50000000002902
4,4.611833944097161,0.09223667888194323,50,3,11,1,23,0.32,0.6799999999999999,96.0,14,10,10,1.885617971420288,4.0,99.54545454545455,97.0,100.0,0.9875254992000196,1,4.8,3.0,7.0,7,0,3,1,2.5860000000005865,129.3000000000293
5,4.3383094182401685,0.08676618836480338,50,3,8,1,24,0.3,0.7,57.0,15,9,11,2.4944381713867188,6.0,95.0,60.0,100.0,13.228756555322953,1,7.0,2.0,16.0,3,1,3,1,3.2490000000007386,162.45000000003694
6,4.611833916157484,0.09223667832314968,50,3,10,1,23,0.42,0.5800000000000001,96.0,15,9,5,4.109609127044678,10.0,99.8,98.0,100.0,0.6,1,5.444444444444445,3.0,9.0,6,1,2,1,2.8260000000007506,141.30000000003753
7,4.3107612317591695,0.08621522463518339,50,3,9,1,22,0.36,0.64,56.0,14,9,9,2.357022523880005,5.0,90.66666666666667,66.0,100.0,13.944333775567927,1,5.625,3.0,9.0,4,1,3,1,3.0000000000012803,150.000000000064
8,4.476050476373711,0.08952100952747422,50,3,8,1,23,0.38,0.62,54.0,13,7,11,2.4944381713867188,6.0,87.125,54.0,100.0,17.772433007329074,1,5.571428571428571,3.0,9.0,4,0,3,1,3.161999999999289,158.09999999996444
9,1.7666667029261571,0.035333334058523146,50,3,9,1,22,0.32,0.6799999999999999,68.0,13,11,10,1.247219204902649,3.0,93.77777777777777,69.0,100.0,11.726302607365469,1,6.125,3.0,9.0,5,0,3,1,2.7149999999975307,135.74999999987654
10,3.561752436687237,0.07123504873374474,50,3,9,1,22,0.36,0.64,51.0,14,9,9,2.357022523880005,5.0,88.77777777777777,54.0,100.0,15.809826605119698,1,5.875,3.0,10.0,4,1,3,1,2.9099999999973534,145.49999999986767
11,4.476050476373711,0.08952100952747422,50,3,9,1,27,0.26,0.74,60.0,15,12,10,2.054804563522339,5.0,93.88888888888889,61.0,100.0,12.65301408487712,1,6.125,2.0,12.0,2,2,4,1,3.203999999997086,160.1999999998543
12,4.3107612317591695,0.08621522463518339,50,3,6,1,28,0.38,0.62,41.0,15,7,9,3.399346351623535,8.0,82.83333333333333,41.0,100.0,24.660472195172762,1,8.6,5.0,16.0,1,2,2,1,3.680999999996652,184.0499999998326
13,3.275859384313226,0.06551718768626452,50,3,10,1,22,0.34,0.6599999999999999,83.0,15,10,8,2.943920373916626,7.0,97.8,86.0,100.0,4.445222154178573,1,5.333333333333333,4.0,7.0,5,1,3,1,2.4449999999977763,122.24999999988881
14,3.275859384313226,0.06551718768626452,50,3,10,1,24,0.36,0.64,83.0,14,9,9,2.357022523880005,5.0,98.4,85.0,100.0,4.476605857119878,1,5.111111111111111,2.0,11.0,2,1,6,1,2.876999999997383,143.84999999986917
15,4.3383094182401685,0.08676618836480338,50,3,9,1,27,0.4,0.6,52.0,17,5,8,5.099019527435303,12.0,94.11111111111111,52.0,100.0,14.969928704977146,1,5.625,2.0,10.0,4,0,4,1,3.3659999999969386,168.29999999984693
16,4.741591714434326,0.09483183428868651,50,3,9,1,29,0.34,0.6599999999999999,94.0,13,8,12,2.1602468490600586,5.0,99.55555555555556,97.0,100.0,0.9558139185602919,1,5.875,2.0,13.0,4,1,3,1,2.786999999997465,139.34999999987326
17,4.611833916157484,0.09223667832314968,50,3,10,1,22,0.3,0.7,93.0,15,12,8,2.8674418926239014,7.0,99.1,95.0,100.0,1.8138357147217055,1,5.444444444444445,2.0,10.0,5,1,3,1,2.4509999999977707,122.54999999988854
18,4.611833944097161,0.09223667888194323,50,3,10,1,22,0.36,0.64,100.0,16,8,8,3.771235942840576,8.0,100.0,100.0,100.0,0.0,1,5.333333333333333,3.0,8.0,7,0,2,1,2.465999999997757,123.29999999988786
19,4.3107612317591695,0.08621522463518339,50,3,6,1,27,0.32,0.6799999999999999,59.0,12,11,11,0.471404492855072,1.0,93.16666666666667,59.0,100.0,15.279797846248565,1,9.8,3.0,26.0,2,1,2,1,3.047999999997228,152.3999999998614
20,3.4057179941899243,0.06811435988379849,50,3,9,1,22,0.46,0.54,56.0,12,9,6,2.4494898319244385,6.0,87.44444444444444,58.0,100.0,15.979925678530487,1,5.75,2.0,10.0,3,2,3,1,3.0299999999972442,151.4999999998622
21,4.02452257875767,0.0804904515751534,50,3,6,1,22,0.38,0.62,57.0,13,9,9,1.885617971420288,4.0,83.66666666666667,57.0,100.0,17.987650084309387,1,8.2,5.0,11.0,2,2,1,1,2.6249999999976126,131.24999999988063
22,4.3107612317591695,0.08621522463518339,50,3,11,1,22,0.34,0.6599999999999999,56.0,15,10,8,2.943920373916626,7.0,92.27272727272727,66.0,100.0,13.184639196572716,1,4.9,2.0,9.0,5,1,4,1,3.0329999999972417,151.64999999986208
23,4.027162513025104,0.08054325026050208,50,3,9,1,29,0.28,0.72,85.0,17,8,11,3.7416574954986572,9.0,98.33333333333333,85.0,100.0,4.714045207910317,1,5.875,2.0,12.0,3,1,4,1,2.663999999997577,133.19999999987886
24,3.100078134313226,0.06200156268626453,50,3,10,1,34,0.4,0.6,73.0,15,6,9,3.7416574954986572,9.0,97.0,73.0,100.0,8.049844718999243,1,4.777777777777778,2.0,12.0,2,1,6,1,2.5439999999976863,127.19999999988431
25,4.0271625269949425,0.08054325053989884,50,3,11,1,23,0.38,0.62,86.0,15,8,8,3.2998316287994385,7.0,99.0909090909091,91.0,100.0,2.5745095015465993,1,4.4,2.0,7.0,5,0,5,1,2.69399999999755,134.6999999998775
26,5.046286227694344,0.10092572455388688,50,3,8,1,23,0.32,0.6799999999999999,64.0,13,13,8,2.357022523880005,5.0,95.5,64.0,100.0,11.905880899790658,1,6.428571428571429,2.0,11.0,2,1,4,1,3.005999999997266,150.2999999998633
27,5.046286227694344,0.10092572455388688,50,3,7,1,29,0.34,0.6599999999999999,62.0,13,8,12,2.1602468490600586,5.0,90.28571428571429,69.0,100.0,13.122655281331332,1,6.833333333333333,3.0,11.0,2,2,2,1,2.2709999999979344,113.54999999989673
28,4.7590607684105635,0.09518121536821127,50,3,10,1,22,0.38,0.62,57.0,15,10,6,3.6817867755889893,9.0,89.8,60.0,100.0,15.778466338652816,1,4.666666666666667,2.0,14.0,3,1,5,1,2.8799999999973807,143.99999999986903
29,4.3107612317591695,0.08621522463518339,50,3,6,1,27,0.3,0.7,54.0,19,7,9,5.249338626861572,12.0,86.5,54.0,100.0,19.354155453889827,1,8.4,6.0,11.0,2,1,2,1,3.1019999999971786,155.09999999985894
30,4.7590607684105635,0.09518121536821127,50,3,9,1,28,0.34,0.6599999999999999,56.0,20,6,7,6.377042293548584,14.0,90.66666666666667,56.0,100.0,17.486502731472,1,5.125,2.0,14.0,3,0,5,1,3.1679999999957453,158.39999999978727
