episode,reward,reward_per_step,steps,rooms,charges,full_coverage,full_coverage_step,time_in_C,time_out_C,min_battery,hab1_visits,hab2_visits,hab3_visits,room_std,room_spread,recharge_battery_mean,recharge_battery_min,recharge_battery_max,recharge_battery_std,first_recharge_step,recharge_gap_mean,recharge_gap_min,recharge_gap_max,recharge_from_hab1,recharge_from_hab2,recharge_from_hab3,recharge_from_other,mean_action_elapsed_s,episode_elapsed_s
1,4.413877562135458,0.08827755124270915,50,3,12,1,27,0.3,0.7,100.0,15,12,8,2.8674418926239014,7.0,100.0,100.0,100.0,0.0,8,3.6363636363636362,2.0,7.0,2,7,3,0,2.861999999999725,143.09999999998627
2,4.364897966831922,0.08729795933663845,50,3,13,1,26,0.32,0.6799999999999999,100.0,13,10,11,1.2472190856933594,3.0,100.0,100.0,100.0,0.0,8,3.3333333333333335,2.0,5.0,6,5,2,0,2.9520000000001163,147.60000000000582
3,4.660185223817825,0.0932037044763565,50,3,8,1,23,0.18,0.8200000000000001,100.0,17,14,10,2.8674418926239014,7.0,100.0,100.0,100.0,0.0,10,4.857142857142857,3.0,8.0,3,4,1,0,3.1980000000007283,159.9000000000364
4,4.799074113741517,0.09598148227483033,50,3,12,1,26,0.24,0.76,100.0,16,11,11,2.357022523880005,5.0,100.0,100.0,100.0,0.0,10,3.5454545454545454,3.0,5.0,5,5,2,0,3.201000000000729,160.05000000003645
5,4.413877562135458,0.08827755124270915,50,3,13,1,27,0.34,0.6599999999999999,100.0,14,10,9,2.1602468490600586,5.0,100.0,100.0,100.0,0.0,10,3.1666666666666665,2.0,4.0,3,7,3,0,3.0840000000007013,154.20000000003506
6,4.4518518470227715,0.08903703694045544,50,3,9,1,26,0.2,0.8,100.0,18,15,7,4.642796039581299,11.0,100.0,100.0,100.0,0.0,8,5.125,2.0,11.0,6,2,1,0,2.9220000000008692,146.10000000004345
7,4.799074113741517,0.09598148227483033,50,3,8,1,27,0.24,0.76,100.0,18,12,8,4.109609127044678,10.0,100.0,100.0,100.0,0.0,9,5.714285714285714,3.0,9.0,2,4,2,0,2.6340000000012096,131.70000000006047
8,4.891666693054139,0.09783333386108278,50,3,7,1,30,0.24,0.76,100.0,17,10,11,3.0912060737609863,7.0,100.0,100.0,100.0,0.0,10,6.166666666666667,2.0,11.0,2,2,3,0,2.486999999998717,124.34999999993585
9,4.266938776224851,0.08533877552449702,50,3,9,1,27,0.36,0.64,100.0,15,11,6,3.6817867755889893,9.0,100.0,100.0,100.0,0.0,8,5.125,3.0,10.0,3,5,1,0,2.7119999999975333,135.59999999987667
10,4.364897966831922,0.08729795933663845,50,3,11,1,23,0.32,0.6799999999999999,100.0,14,11,9,2.054804563522339,5.0,100.0,100.0,100.0,0.0,8,4.0,2.0,8.0,4,3,4,0,2.9639999999973043,148.1999999998652
