episode,reward,reward_per_step,steps,rooms,charges,full_coverage,full_coverage_step,time_in_C,time_out_C,min_battery,hab1_visits,hab2_visits,hab3_visits,room_std,room_spread,recharge_battery_mean,recharge_battery_min,recharge_battery_max,recharge_battery_std,first_recharge_step,recharge_gap_mean,recharge_gap_min,recharge_gap_max,recharge_from_hab1,recharge_from_hab2,recharge_from_hab3,recharge_from_other,mean_action_elapsed_s,episode_elapsed_s
1,4.87959186732769,0.0975918373465538,50,3,13,1,15,0.34,0.6599999999999999,100.0,8,8,17,4.242640495300293,9.0,100.0,100.0,100.0,0.0,2,3.8333333333333335,2.0,7.0,6,3,4,0,2.8049999999997324,140.2499999999866
2,4.87959186732769,0.0975918373465538,50,3,14,1,15,0.32,0.6799999999999999,100.0,11,7,16,3.6817867755889893,9.0,100.0,100.0,100.0,0.0,2,3.6923076923076925,2.0,7.0,6,7,1,0,3.1710000000002516,158.55000000001257
3,4.092802834808826,0.08185605669617653,50,3,14,1,16,0.32,0.6799999999999999,100.0,8,6,20,6.182412147521973,14.0,100.0,100.0,100.0,0.0,2,3.6923076923076925,2.0,7.0,6,5,3,0,3.093000000000704,154.6500000000352
4,4.7571428790688515,0.09514285758137703,50,3,13,1,15,0.32,0.6799999999999999,100.0,11,7,16,3.6817867755889893,9.0,100.0,100.0,100.0,0.0,2,3.9166666666666665,3.0,5.0,6,6,1,0,3.20400000000073,160.20000000003648
5,4.092802834808826,0.08185605669617653,50,3,14,1,22,0.36,0.64,100.0,12,6,14,3.399346113204956,8.0,100.0,100.0,100.0,0.0,2,3.6923076923076925,2.0,6.0,8,5,1,0,3.2220000000007327,161.10000000003663
6,5.246666716337204,0.10493333432674408,50,3,13,1,15,0.34,0.6599999999999999,100.0,9,6,18,5.099019527435303,12.0,100.0,100.0,100.0,0.0,2,3.5833333333333335,2.0,6.0,6,5,2,0,2.7960000000009235,139.80000000004617
7,4.092802834808826,0.08185605669617653,50,3,12,1,19,0.28,0.72,100.0,12,8,16,3.265986442565918,8.0,100.0,100.0,100.0,0.0,4,4.181818181818182,2.0,7.0,5,5,2,0,3.0210000000014112,151.05000000007055
8,4.87959186732769,0.0975918373465538,50,3,8,1,19,0.18,0.8200000000000001,100.0,15,7,19,4.988876819610596,12.0,100.0,100.0,100.0,0.0,4,6.142857142857143,2.0,16.0,6,2,0,0,3.0629999999972415,153.14999999986208
9,4.092802834808826,0.08185605669617653,50,3,11,1,19,0.26,0.74,100.0,13,6,18,4.921607971191406,12.0,100.0,100.0,100.0,0.0,2,4.8,2.0,8.0,8,2,1,0,3.2099999999970805,160.49999999985403
10,4.092802834808826,0.08185605669617653,50,3,13,1,21,0.34,0.6599999999999999,100.0,11,7,15,3.265986442565918,8.0,100.0,100.0,100.0,0.0,4,3.8333333333333335,2.0,7.0,8,3,2,0,3.4859999999968294,174.29999999984148
11,4.87959186732769,0.0975918373465538,50,3,14,1,28,0.3,0.7,100.0,11,6,18,4.921607971191406,12.0,100.0,100.0,100.0,0.0,2,3.4615384615384617,2.0,8.0,10,4,0,0,3.050999999997225,152.54999999986126
